mode,mu,sr_weight,plain_weight,residual_power
1,9249.2668,1,1,0.075965525
2,6523.1216,1,0.70525823,0.015689696
3,5271.1189,1,0.56989586,0.0033991737
4,2060.0546,1,0.22272626,0.0085276502
5,1918.1709,1,0.20738626,0.02063913
6,567.52638,1,0.061359067,3.5587529
7,146.59373,1,0.015849227,3.0720096
8,93.3813,1,0.010096076,0.017477669
9,82.904859,1,0.0089633979,0.092974982
10,68.509804,1,0.0074070524,0.00040347214
11,57.935635,1,0.0062638083,0.027709089
12,36.999641,1,0.0040002782,0.12967385
13,18.153169,1,0.0019626603,2.2810404
14,10.721534,1,0.0011591767,0.0065856172
15,6.6015676,1,0.00071373956,0.443777
16,6.205179,1,0.00067088334,0.00017375011
17,4.6885526,1,0.00050691072,5.8813973e-05
18,4.2357347,1,0.00045795356,0.55751296
19,3.8790533,1,0.00041939035,0.097642186
20,3.5860616,1,0.00038771306,0.76925313
21,2.7288881,1,0.00029503832,1.1692782
22,2.2911896,1,0.0002477158,0.0015389615
23,1.9197376,1,0.00020755566,0.0018170447
24,1.5157143,1,0.000163874,0.86603539
25,1.4229839,1,0.0001538483,0.013617104
26,1.2953985,1,0.00014005418,0.064936786
27,1.0808983,1,0.00011686313,0.2174523
28,1.0360615,1,0.00011201552,0.0097227462
29,0.91319492,1,9.87316e-05,0.10588871
30,0.82176919,1,8.8846955e-05,0.038442424
31,0.68854305,1,7.4442987e-05,0.0053935965
32,0.62272147,1,6.7326576e-05,0.01588269
33,0.60237963,1,6.5127284e-05,0.11192465
34,0.55700087,1,6.0221083e-05,1.0459415
35,0.48992464,1,5.2969025e-05,1.5145998
36,0.47435462,1,5.1285645e-05,0.063926272
37,0.42880572,1,4.6361049e-05,1.067236
38,0.39477949,1,4.2682247e-05,0.7958974
39,0.30156828,1,3.260456e-05,4.1814905e-05
40,0.29601868,1,3.2004556e-05,0.16416401
41,0.25834176,1,2.7931053e-05,0.034848222
42,0.24788577,1,2.6800586e-05,0.37833066
43,0.21314918,1,2.3044981e-05,0.18943991
44,0.20139734,1,2.1774411e-05,0.11925884
45,0.19116942,1,2.0668603e-05,0.0011179833
46,0.18260705,1,1.9742867e-05,0.43294467
47,0.17797621,1,1.9242196e-05,0.28782901
48,0.15096458,1,1.6321788e-05,0.044844788
49,0.14767105,1,1.5965703e-05,0.24206732
50,0.12653212,1,1.3680232e-05,0.00062267736
51,0.11693539,1,1.2642666e-05,1.4173033
52,0.10375731,1,1.1217896e-05,0.47588003
53,0.10071473,1,1.0888942e-05,0.91653384
54,0.095962852,1,1.0375185e-05,0.35401331
55,0.082078743,1,8.874081e-06,0.25579253
56,0.07868565,1,8.5072311e-06,0.085275338
57,0.075890225,1,8.204999e-06,1.1965271
58,0.071842944,1,7.7674205e-06,0.10529577
59,0.066873371,1,7.2301267e-06,0.012872504
60,0.057708232,1,6.2392223e-06,0.0084091016
61,0.056878243,1,6.1494867e-06,0.29209021
62,0.055018141,1,5.9483786e-06,0.20880479
63,0.053315257,1,5.7642685e-06,0.042247667
64,0.051534629,1,5.5717528e-06,0.17574252
65,0.048779166,1,5.2738414e-06,0.27198947
66,0.045231537,1,4.8902835e-06,0.070494361
67,0.042240256,1,4.5668762e-06,0.0095178318
68,0.040731729,1,4.4037792e-06,0.025978206
69,0.039824937,1,4.3057399e-06,0.0036047121
70,0.033364751,1,3.607286e-06,0.2227077
71,0.031983096,1,3.4579061e-06,0.063933701
72,0.030357998,1,3.2822059e-06,0.026319117
73,0.027988464,1,3.0260197e-06,0.031478855
74,0.026885715,1,2.9067942e-06,0.037610783
75,0.023333256,1,2.5227141e-06,0.0010062978
76,0.022536896,1,2.4366143e-06,0.21238884
77,0.022180088,1,2.3980374e-06,1.1450211
78,0.020801886,1,2.2490308e-06,0.11514378
79,0.019267148,1,2.0831e-06,0.085831879
80,0.018274145,1,1.9757398e-06,1.2102065
