r,J_learned,J_learned_std,count,J_exact
13.305017,6.0472076,0.40980991,205,-2.4859825
16.456129,6.6740749,0.099567068,205,-1.8760384
17.98809,6.9440291,0.072998578,205,-1.6063965
19.338073,7.1695806,0.049653366,205,-1.3809983
20.367069,7.3346209,0.04391423,204,-1.2161218
21.239701,7.4702706,0.036052092,205,-1.0806296
21.984727,7.5830161,0.025748872,205,-0.96790268
22.624594,7.677512,0.027146419,205,-0.87314756
23.220279,7.7643115,0.024361682,204,-0.78657238
23.820085,7.8499459,0.024374458,205,-0.70093084
24.429518,7.9353671,0.027075127,205,-0.61543063
25.037795,8.0193333,0.019558296,205,-0.5315595
25.522527,8.0851562,0.018356312,205,-0.4657367
26.017946,8.1515611,0.022021677,204,-0.39936256
26.520764,8.2180265,0.017521665,205,-0.33290064
27.006933,8.2814963,0.018986412,205,-0.26948053
27.498506,8.3448261,0.017420454,205,-0.20617299
27.996462,8.4080659,0.018010945,204,-0.14285874
28.461158,8.4664254,0.016524609,205,-0.084494245
28.909576,8.5221155,0.016980584,205,-0.028817146
29.377717,8.5796141,0.014795863,205,0.028651253
29.820402,8.6333094,0.016814478,205,0.082391423
30.311282,8.6922597,0.015797092,204,0.14131306
30.773429,8.7471578,0.016531426,205,0.1961578
31.283697,8.8070161,0.017482562,205,0.25602301
31.802436,8.8671886,0.016099691,205,0.3161577
32.316959,8.9261245,0.017492241,204,0.37510007
32.855242,8.9869971,0.019306281,205,0.43603316
33.410999,9.0492384,0.018585071,205,0.49817977
34.000548,9.1144056,0.018315184,205,0.5632781
34.66482,9.1866954,0.023022046,205,0.6356354
35.328642,9.2580411,0.019192518,204,0.70692365
36.00187,9.3292727,0.021365933,205,0.77821139
36.744981,9.4068443,0.024219307,205,0.85575261
37.63019,9.4977343,0.030393152,205,0.94660269
38.677469,9.6032786,0.025574881,204,1.0520328
39.664184,9.7006958,0.030261549,205,1.1494102
40.966714,9.8265661,0.043837635,205,1.275177
42.965745,10.013773,0.067876056,205,1.4623814
47.818015,10.440222,0.27795066,205,1.8903072
