index,eigenvalue
1,3.7133185
2,0.66816004
3,0.31749383
4,0.15196402
5,0.11738321
6,0.09277716
7,0.082626042
8,0.078350222
9,0.041091843
10,0.0296083
11,0.024042364
12,0.012092289
13,0.0097249551
14,0.0061879452
15,0.0052615844
16,0.0049892602
17,0.0032940392
18,0.0029812466
19,0.0022947384
20,0.0020250648
21,0.0017479723
22,0.0016013312
23,0.0014136624
24,0.00089756936
25,0.00080291001
26,0.00075746032
27,0.00068631326
28,0.00052697701
29,0.00048896223
30,0.00042129741
31,0.00040448012
32,0.0003482031
33,0.00032441042
34,0.00029876433
35,0.00028636737
36,0.00025624898
37,0.00023434081
38,0.00022116002
39,0.00020981833
40,0.00020023854
41,0.00018125916
42,0.00017291457
43,0.00016005984
44,0.00014710026
45,0.00013701207
46,0.00012757808
47,0.00012362729
48,0.00011834769
49,0.00011149385
50,0.00011046686
51,0.00010447918
52,0.00010285459
53,9.6718139e-05
54,8.7637073e-05
55,7.9828033e-05
56,7.7390156e-05
57,7.4603726e-05
58,7.0708625e-05
59,6.670476e-05
60,6.6325161e-05
61,5.8616219e-05
62,5.7332188e-05
63,4.9181471e-05
64,4.8499731e-05
65,4.6565509e-05
66,4.4082391e-05
67,3.9293154e-05
68,3.59038e-05
69,3.5744486e-05
70,3.2882651e-05
71,3.1013495e-05
72,2.9002458e-05
73,2.6973093e-05
74,2.6095505e-05
75,2.503856e-05
76,2.3736004e-05
77,2.2869045e-05
78,2.1674356e-05
79,2.1374321e-05
80,2.0309481e-05
81,1.9232894e-05
82,1.8740612e-05
83,1.8308481e-05
84,1.7776996e-05
85,1.6254394e-05
86,1.6031426e-05
87,1.5625676e-05
88,1.4165999e-05
89,1.3866843e-05
90,1.368271e-05
91,1.3141274e-05
92,1.2370567e-05
93,1.1541474e-05
94,1.1424639e-05
95,1.1075431e-05
96,1.0635032e-05
97,9.9077832e-06
98,9.5192909e-06
99,9.3293456e-06
100,9.1084939e-06
101,8.8717177e-06
102,8.4118593e-06
103,8.3147344e-06
104,7.9054816e-06
105,7.5588996e-06
106,7.2618578e-06
107,6.9892496e-06
108,6.9668106e-06
109,6.6714724e-06
110,6.5523448e-06
111,6.2231842e-06
112,6.1070361e-06
113,5.8970588e-06
114,5.8507649e-06
115,5.7986758e-06
116,5.5014125e-06
117,5.2903091e-06
118,5.2655951e-06
119,5.0782128e-06
120,5.0229311e-06
121,4.8407223e-06
122,4.6436097e-06
123,4.5170205e-06
124,4.3629411e-06
125,4.1787377e-06
126,4.1108501e-06
127,4.0417033e-06
128,3.8844674e-06
129,3.7846441e-06
130,3.6246792e-06
131,3.5914971e-06
132,3.5305718e-06
133,3.4482535e-06
134,3.362649e-06
135,3.3300957e-06
136,3.1869247e-06
137,3.0115926e-06
138,3.0009051e-06
139,2.947126e-06
140,2.8754353e-06
141,2.7142619e-06
142,2.7057716e-06
143,2.6191184e-06
144,2.5991722e-06
145,2.5218576e-06
146,2.4167268e-06
147,2.3083342e-06
148,2.2190421e-06
149,2.1849146e-06
150,2.1662086e-06
151,2.1279497e-06
152,2.0875906e-06
153,2.0391469e-06
154,1.9645257e-06
155,1.9438883e-06
156,1.8847589e-06
157,1.8345521e-06
158,1.7214883e-06
159,1.7028986e-06
160,1.6718989e-06
161,1.5787054e-06
162,1.5259024e-06
163,1.477502e-06
164,1.4697573e-06
165,1.42561e-06
166,1.4136787e-06
167,1.397901e-06
168,1.3605348e-06
169,1.3284471e-06
170,1.2971679e-06
171,1.2353198e-06
172,1.2145534e-06
173,1.1898315e-06
174,1.1593955e-06
175,1.1298099e-06
176,1.0949934e-06
177,1.0761197e-06
178,1.0623407e-06
179,1.0055349e-06
180,9.854543e-07
181,9.676247e-07
182,9.5032276e-07
183,9.224162e-07
184,8.8459192e-07
185,8.6482209e-07
186,8.3912236e-07
187,8.0595937e-07
188,8.0008565e-07
189,7.8852829e-07
190,7.7446851e-07
191,7.5195012e-07
192,7.3539418e-07
193,7.2517112e-07
194,7.0636135e-07
195,6.8894221e-07
196,6.8183833e-07
197,6.692299e-07
198,6.6113268e-07
199,6.3395645e-07
200,6.214469e-07
201,6.1450861e-07
202,5.9791821e-07
203,5.7443734e-07
204,5.5938893e-07
205,5.5214301e-07
206,5.3653741e-07
207,5.284907e-07
208,5.0891512e-07
209,4.9776192e-07
210,4.9229919e-07
211,4.7762619e-07
212,4.7485826e-07
213,4.6377893e-07
214,4.5289037e-07
215,4.4694803e-07
216,4.2976178e-07
217,4.1376007e-07
218,4.0350324e-07
219,3.9904341e-07
220,3.9155397e-07
221,3.8918176e-07
222,3.8617578e-07
223,3.8264203e-07
224,3.8054047e-07
225,3.6554894e-07
226,3.536174e-07
227,3.4883372e-07
228,3.4165217e-07
229,3.319499e-07
230,3.3110736e-07
231,3.1826287e-07
232,3.1353654e-07
233,3.0991451e-07
234,3.0345046e-07
235,3.0167099e-07
236,2.9201025e-07
237,2.8476651e-07
238,2.8232272e-07
239,2.8011625e-07
240,2.6779156e-07
241,2.6704052e-07
242,2.5923418e-07
243,2.5718458e-07
244,2.5415405e-07
245,2.4918985e-07
246,2.4535104e-07
247,2.4414409e-07
248,2.3753704e-07
249,2.3084062e-07
250,2.2692921e-07
251,2.2395921e-07
252,2.155385e-07
253,2.1070033e-07
254,2.0614262e-07
255,2.0350635e-07
256,1.9824234e-07
257,1.9587783e-07
258,1.9287392e-07
259,1.9171831e-07
260,1.851677e-07
261,1.8492965e-07
262,1.8046257e-07
263,1.7781444e-07
264,1.7545469e-07
265,1.7047438e-07
266,1.6761634e-07
267,1.6694316e-07
268,1.6167667e-07
269,1.5956633e-07
270,1.5872845e-07
271,1.5446206e-07
272,1.5114603e-07
273,1.4883439e-07
274,1.4743552e-07
275,1.4245801e-07
276,1.4123536e-07
277,1.3816245e-07
278,1.3791445e-07
279,1.3477382e-07
280,1.3205875e-07
281,1.3096816e-07
282,1.2743069e-07
283,1.265358e-07
284,1.2612711e-07
285,1.2460566e-07
286,1.2318287e-07
287,1.1975279e-07
288,1.1632897e-07
289,1.15021e-07
290,1.1207841e-07
291,1.1008571e-07
292,1.0722992e-07
293,1.0650924e-07
294,1.0514929e-07
295,1.0249149e-07
296,1.0067577e-07
297,9.9136259e-08
298,9.7931892e-08
299,9.7873413e-08
300,9.5520142e-08
301,9.3486315e-08
302,9.2178792e-08
303,9.0020639e-08
304,8.9426704e-08
305,8.8098267e-08
306,8.7764924e-08
307,8.5244616e-08
308,8.4684821e-08
309,8.0151205e-08
310,7.9736039e-08
311,7.8201338e-08
312,7.7256236e-08
313,7.4346898e-08
314,7.3783173e-08
315,7.2793958e-08
316,7.181842e-08
317,7.1160915e-08
318,6.9991654e-08
319,6.8961528e-08
320,6.7084669e-08
321,6.604732e-08
322,6.4971465e-08
323,6.3245639e-08
324,6.2585586e-08
325,6.1696728e-08
326,6.1591279e-08
327,6.0158005e-08
