r,J_learned,J_learned_std,count,J_exact
1.9904654,1.5491811,0.26709352,205,-1.529982
2.9023443,1.9630959,0.060266934,205,-1.1333042
3.3497298,2.1339834,0.044478567,205,-0.96318639
3.7194949,2.2654416,0.030856495,205,-0.83214617
4.0126114,2.3640827,0.026426608,204,-0.73364062
4.2654883,2.4457127,0.020621649,205,-0.65209891
4.4768619,2.5117498,0.016916987,205,-0.58619521
4.6802387,2.5734199,0.018361876,205,-0.52459514
4.8723339,2.6301038,0.016332826,204,-0.4679479
5.0511276,2.6815842,0.014573879,205,-0.41649238
5.2260473,2.7308282,0.014017198,205,-0.36727773
5.3859441,2.7749026,0.012154692,205,-0.32322016
5.5460507,2.818189,0.012876643,205,-0.27995734
5.712052,2.8622486,0.012076859,204,-0.23596583
5.8620772,2.901283,0.010014159,205,-0.1969354
5.9995729,2.9364676,0.010031871,205,-0.16174905
6.1315609,2.9697409,0.0099051786,205,-0.12848056
6.2807216,3.0067968,0.010219685,204,-0.091463601
6.4263833,3.0423436,0.011393722,205,-0.055889731
6.5787197,3.0789943,0.010745036,205,-0.019273084
6.7410671,3.1173616,0.011217646,205,0.01911112
6.89229,3.1525492,0.0088621302,205,0.05429201
7.0286913,3.1838487,0.0093596086,204,0.085565621
7.1910459,3.2204739,0.010315936,205,0.1222397
7.3489832,3.2556572,0.0095285798,205,0.15736016
7.4962296,3.2878994,0.010338279,205,0.18962495
7.6612892,3.3235171,0.00999751,204,0.22526123
7.8420756,3.3619121,0.011587505,205,0.26366836
8.0260454,3.4003869,0.011979354,205,0.30210397
8.2130141,3.4387956,0.011820877,205,0.34051947
8.4126551,3.4791384,0.010733788,205,0.38084393
8.6093748,3.5181862,0.01087176,204,0.41990094
8.8201841,3.5592909,0.012855369,205,0.4610354
9.0419038,3.6017943,0.012407986,205,0.50352409
9.3009977,3.6503925,0.016126135,205,0.55220754
9.6114446,3.7074289,0.018596803,204,0.60922639
9.9871546,3.7746269,0.019203032,205,0.67641217
10.414262,3.8486027,0.024311723,205,0.75050658
11.037533,3.9525304,0.035984995,205,0.85457771
12.596299,4.1898762,0.142738,205,1.0962428
