r,J_learned,J_learned_std,count,J_exact
0.28094019,0.22079499,0.068347964,205,-0.70212638
0.48863087,0.3616093,0.028510088,205,-0.55186392
0.60562496,0.43416349,0.016447666,205,-0.47620767
0.69551305,0.48620091,0.014363687,205,-0.42173535
0.77685246,0.53069952,0.012532558,204,-0.37487721
0.8532607,0.57183476,0.011619266,205,-0.33277409
0.92402383,0.60678958,0.01034751,205,-0.29530196
0.98955519,0.63973546,0.0094724777,205,-0.26180962
1.045721,0.66578997,0.0085224087,204,-0.23397042
1.098373,0.69099614,0.0084805004,205,-0.2085584
1.1484102,0.71240259,0.0092959386,205,-0.18499256
1.1954736,0.73319147,0.0085308125,205,-0.16332294
1.2443266,0.75417842,0.0090270321,205,-0.1413152
1.2908634,0.7733198,0.0087194031,204,-0.12079194
1.3412298,0.79516656,0.0090540679,205,-0.099044379
1.3872826,0.8136951,0.00892239,205,-0.079564966
1.4329195,0.83049559,0.010097221,205,-0.060628723
1.4734883,0.84641081,0.010038818,204,-0.044091284
1.5172511,0.86292936,0.01033925,205,-0.026553228
1.5612561,0.87979712,0.010784441,205,-0.0092229352
1.6087192,0.89777042,0.010062547,205,0.0091386497
1.655976,0.91391578,0.010479361,205,0.027091507
1.6995964,0.92909359,0.011379193,204,0.043381564
1.7470096,0.94715774,0.01214486,205,0.06079219
1.7952587,0.96349455,0.013120911,205,0.078203963
1.8472011,0.98122316,0.013277116,205,0.096615756
1.9003301,1.0004306,0.014789646,204,0.11510386
1.9537898,1.0168609,0.014015169,205,0.13336829
2.0137487,1.0384116,0.016506732,205,0.15346399
2.0714487,1.057828,0.016545049,205,0.17242863
2.1344178,1.0749571,0.017933781,205,0.19272273
2.2023596,1.0985744,0.018069452,204,0.21416719
2.2810175,1.1241561,0.019729135,205,0.23843287
2.3564966,1.148163,0.021516975,205,0.26117703
2.4438445,1.1727492,0.024177455,205,0.2868677
2.5512359,1.206853,0.024358032,204,0.31757493
2.6843541,1.2483338,0.027389168,205,0.35437449
2.8359562,1.2911384,0.031755856,205,0.39469801
3.0554596,1.3605084,0.038803871,205,0.45034328
3.5372141,1.4949302,0.08866488,205,0.56259244
