index,eigenvalue
1,3.2654572
2,1.7693755
3,1.3396488
4,0.33889209
5,0.28263599
6,0.27044787
7,0.14834724
8,0.059210566
9,0.055156491
10,0.043131609
11,0.029849316
12,0.02590352
13,0.010340658
14,0.0068779382
15,0.0059708705
16,0.0049989301
17,0.0039539911
18,0.0025012465
19,0.0022483464
20,0.0016883462
21,0.0012497752
22,0.00096779667
23,0.00093982104
24,0.00075973436
25,0.00067685243
26,0.00057322916
27,0.00047102714
28,0.00043968437
29,0.00038422942
30,0.00034717474
31,0.00032517608
32,0.00030751619
33,0.00028395564
34,0.00026396129
35,0.00025214777
36,0.00022425582
37,0.00020615077
38,0.0001838067
39,0.00017884205
40,0.0001764012
41,0.00016060912
42,0.00014518352
43,0.00013063292
44,0.00011870421
45,0.00011126655
46,0.00010557205
47,9.8696021e-05
48,9.0488146e-05
49,8.5733148e-05
50,7.8715031e-05
51,7.0899991e-05
52,6.9146853e-05
53,6.4115447e-05
54,6.2834403e-05
55,5.7300747e-05
56,5.2431768e-05
57,4.8965114e-05
58,4.7425534e-05
59,4.3919041e-05
60,4.2046428e-05
61,3.8767988e-05
62,3.6504939e-05
63,3.5834797e-05
64,3.2163138e-05
65,3.1574039e-05
66,3.113191e-05
67,2.8498509e-05
68,2.5419429e-05
69,2.4960803e-05
70,2.4371342e-05
71,2.1369338e-05
72,1.963196e-05
73,1.9431741e-05
74,1.8950433e-05
75,1.7392702e-05
76,1.6838749e-05
77,1.5627041e-05
78,1.4609322e-05
79,1.4361312e-05
80,1.3294349e-05
81,1.2157484e-05
82,1.168637e-05
83,1.133799e-05
84,1.09518e-05
85,1.0420501e-05
86,9.9572133e-06
87,9.6454919e-06
88,9.353532e-06
89,9.2490423e-06
90,8.736037e-06
91,7.9483807e-06
92,7.8022289e-06
93,7.5658958e-06
94,7.2324955e-06
95,7.0013661e-06
96,6.8329321e-06
97,6.1573814e-06
98,5.8968695e-06
99,5.6404948e-06
100,5.3292822e-06
101,5.1070118e-06
102,4.7920219e-06
103,4.6423537e-06
104,4.4693625e-06
105,4.2362565e-06
106,4.1117022e-06
107,3.941882e-06
108,3.8084352e-06
109,3.7613272e-06
110,3.6133741e-06
111,3.4870665e-06
112,3.335958e-06
113,3.1339087e-06
114,2.9922347e-06
115,2.9091975e-06
116,2.8543678e-06
117,2.75454e-06
118,2.7237196e-06
119,2.6033881e-06
120,2.5144897e-06
121,2.4355624e-06
122,2.3196703e-06
123,2.2888259e-06
124,2.1775526e-06
125,2.0970963e-06
126,2.054174e-06
127,2.0065456e-06
128,1.9098529e-06
129,1.8164038e-06
130,1.7862457e-06
131,1.6989776e-06
132,1.6723304e-06
133,1.6288171e-06
134,1.61545e-06
135,1.543339e-06
136,1.4452602e-06
137,1.4027063e-06
138,1.3885069e-06
139,1.3417346e-06
140,1.3006808e-06
141,1.2834373e-06
142,1.222168e-06
143,1.1992864e-06
144,1.1302646e-06
145,1.0820564e-06
146,1.0665821e-06
147,1.0562417e-06
148,1.0287988e-06
149,1.0184001e-06
150,9.7003727e-07
151,9.3901692e-07
152,9.0641434e-07
153,8.7222986e-07
154,8.5508311e-07
155,8.5007192e-07
156,8.2503657e-07
157,7.7314249e-07
158,7.5600416e-07
159,7.4642718e-07
160,7.0889136e-07
161,6.6853278e-07
162,6.6559945e-07
163,6.2905318e-07
164,6.0839562e-07
165,5.9688916e-07
166,5.8029367e-07
167,5.7217728e-07
168,5.5428475e-07
169,5.2900915e-07
170,5.052243e-07
171,4.9670069e-07
172,4.9627191e-07
173,4.8503846e-07
174,4.6666449e-07
175,4.5583609e-07
176,4.5287075e-07
177,4.3710401e-07
178,4.1794335e-07
179,4.0975197e-07
180,4.0479641e-07
181,3.8897772e-07
182,3.8441206e-07
183,3.7575399e-07
184,3.7467118e-07
185,3.5743589e-07
186,3.4729176e-07
187,3.308869e-07
188,3.2906671e-07
189,3.2342048e-07
190,3.1332951e-07
191,3.0649294e-07
192,3.0383443e-07
193,2.9129017e-07
194,2.8296302e-07
195,2.7097653e-07
196,2.6865295e-07
197,2.6137379e-07
198,2.5971562e-07
199,2.4952178e-07
200,2.4684347e-07
201,2.4132094e-07
202,2.3356384e-07
203,2.2686724e-07
204,2.2114414e-07
205,2.1766918e-07
206,2.0827954e-07
207,2.0763253e-07
208,1.998618e-07
209,1.9595795e-07
210,1.9083202e-07
211,1.8456343e-07
212,1.7786813e-07
213,1.765384e-07
214,1.7398381e-07
215,1.7160721e-07
216,1.6714229e-07
217,1.6227958e-07
218,1.5920084e-07
219,1.5677851e-07
220,1.5448748e-07
221,1.5112924e-07
222,1.4651625e-07
223,1.4392905e-07
224,1.428459e-07
225,1.3934262e-07
226,1.3468952e-07
227,1.3123375e-07
228,1.2832138e-07
229,1.2597842e-07
230,1.2025047e-07
231,1.1884462e-07
232,1.1492807e-07
233,1.1402385e-07
234,1.1370602e-07
235,1.0854659e-07
236,1.0706969e-07
237,1.0375367e-07
238,1.0201019e-07
239,1.0010576e-07
240,9.8312511e-08
241,9.5289642e-08
242,9.4131851e-08
243,9.0824267e-08
244,8.8730309e-08
245,8.6431145e-08
246,8.3628453e-08
247,8.3273293e-08
248,8.0748959e-08
249,7.9805336e-08
250,7.9042961e-08
251,7.7275655e-08
252,7.5329312e-08
253,7.4822029e-08
254,7.3244484e-08
255,7.1559148e-08
256,6.9728397e-08
257,6.9100616e-08
258,6.5542977e-08
259,6.4851617e-08
260,6.399338e-08
261,6.1950746e-08
262,6.1466137e-08
263,5.9123981e-08
264,5.7582525e-08
265,5.6169061e-08
266,5.5258852e-08
267,5.4591424e-08
268,5.3213191e-08
269,5.1820332e-08
270,5.108174e-08
271,5.030131e-08
272,5.0013093e-08
273,4.9772562e-08
274,4.8839223e-08
275,4.6405769e-08
276,4.4722589e-08
277,4.4090283e-08
278,4.3150124e-08
279,4.2680758e-08
280,4.2055672e-08
281,4.1439748e-08
282,3.9880196e-08
283,3.9766539e-08
284,3.8420944e-08
285,3.7568955e-08
286,3.6869696e-08
287,3.6530989e-08
288,3.6020326e-08
289,3.5037306e-08
290,3.468465e-08
291,3.4518057e-08
292,3.3768139e-08
293,3.3246715e-08
294,3.2996182e-08
295,3.2029897e-08
296,3.1673208e-08
297,3.0852247e-08
298,3.0309236e-08
299,2.9979882e-08
300,2.9254931e-08
301,2.847721e-08
302,2.8223575e-08
303,2.7976892e-08
304,2.7165737e-08
305,2.665135e-08
306,2.5815423e-08
307,2.5775917e-08
308,2.5319883e-08
309,2.4668064e-08
310,2.4370603e-08
311,2.3667315e-08
312,2.3171364e-08
313,2.2968464e-08
314,2.1905002e-08
315,2.1776631e-08
316,2.1281148e-08
317,2.1223675e-08
318,2.0494871e-08
319,2.0267496e-08
320,2.0100938e-08
321,1.9942367e-08
322,1.9366427e-08
323,1.8834515e-08
324,1.8317396e-08
325,1.8041187e-08
326,1.7529041e-08
327,1.7367545e-08
328,1.7027149e-08
329,1.6437793e-08
330,1.6394793e-08
331,1.611822e-08
332,1.5899741e-08
333,1.5805983e-08
334,1.5643921e-08
335,1.5208065e-08
