r,J_learned,J_learned_std,count,J_exact
0.28125914,0.1572809,0.05888358,205,-0.70483444
0.49699734,0.29075858,0.028924719,205,-0.54921639
0.61951185,0.36376791,0.018123707,205,-0.47055293
0.70873287,0.41366116,0.015082092,205,-0.41692562
0.79027003,0.45852569,0.014259079,204,-0.37031122
0.86381822,0.49668464,0.012549763,205,-0.33005051
0.92490356,0.5272286,0.011243446,205,-0.29780183
0.98997106,0.5591299,0.012715245,205,-0.26455761
1.0487179,0.58751605,0.011128999,204,-0.23546352
1.0998787,0.61128676,0.010814647,205,-0.21079812
1.1534843,0.63490883,0.011654254,205,-0.18559052
1.2058373,0.65780677,0.011477297,205,-0.1615705
1.2510647,0.6772944,0.0096208023,205,-0.14127439
1.2991022,0.69774169,0.014060021,204,-0.12015898
1.3446978,0.71879473,0.014311749,205,-0.10052115
1.3872626,0.73469355,0.011958194,205,-0.082530323
1.431386,0.75293303,0.012283287,205,-0.06421622
1.4730941,0.76945928,0.013665301,204,-0.047207667
1.5205954,0.78637247,0.012555225,205,-0.028182534
1.5694862,0.80629496,0.011225026,205,-0.0089717512
1.6157992,0.8235797,0.012419454,205,0.0088919748
1.6625914,0.84094563,0.015112721,205,0.026622164
1.7114468,0.85802004,0.010971695,204,0.044804663
1.7610582,0.87611108,0.012136872,205,0.062936336
1.8100977,0.89407157,0.013501149,205,0.080541558
1.8647163,0.91460297,0.014866937,205,0.099791638
1.9136767,0.93144002,0.014286981,204,0.11673804
1.9684555,0.95053524,0.013762109,205,0.13536409
2.0285312,0.96936885,0.01278435,205,0.15540006
2.0878065,0.99062483,0.014248159,205,0.17478329
2.1546753,1.0138865,0.015107229,205,0.19620789
2.224257,1.0339473,0.015176629,204,0.21802484
2.2992877,1.0587216,0.015960096,205,0.24102888
2.3828003,1.0858196,0.015345818,205,0.26602617
2.4703343,1.1122056,0.017472074,205,0.29157323
2.5677159,1.1437477,0.018653017,204,0.31924787
2.6896551,1.1792601,0.018372375,205,0.35285528
2.8475127,1.2250737,0.022437225,205,0.39474915
3.0647997,1.2890938,0.025903551,205,0.44968675
3.5430129,1.4273115,0.089932347,205,0.56091269
