r,J_learned,J_learned_std,count,J_exact
0.29320803,0.26980084,0.074168983,205,-0.69426256
0.4788113,0.40641376,0.026525637,205,-0.56014992
0.59988111,0.48531136,0.021197539,205,-0.48145918
0.69889317,0.54549842,0.014443447,205,-0.42141154
0.77880749,0.59140818,0.014450817,204,-0.37544531
0.8515086,0.63151456,0.010509562,205,-0.33538771
0.92131106,0.6685087,0.010266091,205,-0.2983807
0.98486859,0.70106351,0.0078770575,205,-0.26583578
1.0348701,0.72595608,0.006343477,204,-0.24095649
1.0847485,0.75010213,0.0078526948,205,-0.21674026
1.137151,0.77492376,0.0062140781,205,-0.19191483
1.183827,0.79652069,0.0058726629,205,-0.17030967
1.2324057,0.8184884,0.0067807695,205,-0.14830869
1.2832105,0.84097167,0.0062342581,204,-0.12580593
1.3332397,0.86260356,0.0061291087,205,-0.10413077
1.3818097,0.88314989,0.0055340875,205,-0.083527909
1.4292747,0.90282333,0.0059674832,205,-0.06379575
1.4747412,0.92134871,0.0053830704,204,-0.045252652
1.5228551,0.94052702,0.0053475773,205,-0.025997221
1.5675189,0.95800829,0.0048137487,205,-0.0084484683
1.6110859,0.97480794,0.0052251644,205,0.0083776947
1.6596445,0.99316045,0.0049660152,205,0.026803996
1.7036136,1.0094672,0.0048168739,204,0.043200771
1.7504396,1.0265982,0.0051126216,205,0.060372272
1.8021295,1.0451552,0.0053892473,205,0.078991169
1.8486762,1.0615725,0.0046842501,205,0.095465894
1.9016909,1.0799019,0.0057170629,204,0.11390515
1.9627263,1.1006525,0.0055125297,205,0.13472139
2.0211456,1.1200365,0.0057906493,205,0.15424761
2.0817784,1.1397791,0.0056963991,205,0.17411832
2.1405167,1.1585327,0.0058987806,205,0.19299884
2.2156077,1.1820127,0.0065706175,204,0.21662786
2.2876362,1.2040472,0.0065161562,205,0.23878031
2.35815,1.2251205,0.0064173642,205,0.26000172
2.4405506,1.2491407,0.0073509826,205,0.28424299
2.5287845,1.2742406,0.0081271407,204,0.30956496
2.6345956,1.3033944,0.0091938479,205,0.33910935
2.7720105,1.3402016,0.011914565,205,0.37621963
2.9768653,1.3923015,0.018012694,205,0.42910536
3.4602329,1.5030256,0.067795087,205,0.54381245
