index,eigenvalue
1,2.6165738
2,1.3310172
3,1.2518624
4,0.27328369
5,0.24748727
6,0.2177387
7,0.16010719
8,0.057226301
9,0.051122789
10,0.038083393
11,0.029061927
12,0.027856441
13,0.008476939
14,0.0070196296
15,0.0058380873
16,0.0039166202
17,0.0034337177
18,0.0019715259
19,0.0018231698
20,0.0012263481
21,0.0011081971
22,0.0010350575
23,0.00082145222
24,0.00071818222
25,0.00055724968
26,0.0005243828
27,0.0004154776
28,0.00034810777
29,0.00031413786
30,0.00028266689
31,0.0002573832
32,0.00024465367
33,0.00022005052
34,0.0002093373
35,0.00018215519
36,0.00017620188
37,0.00015994912
38,0.00015854168
39,0.00015249355
40,0.00014174591
41,0.00013299925
42,0.00011541812
43,0.0001037561
44,9.9507035e-05
45,9.5372734e-05
46,9.1096082e-05
47,8.8170319e-05
48,8.2158727e-05
49,7.3284157e-05
50,7.1458713e-05
51,6.3258077e-05
52,5.9939063e-05
53,5.8540976e-05
54,5.3744785e-05
55,4.4694475e-05
56,4.2390462e-05
57,4.0114092e-05
58,3.8647138e-05
59,3.7280314e-05
60,3.5047323e-05
61,3.3143894e-05
62,3.1449515e-05
63,2.9918675e-05
64,2.7268796e-05
65,2.6623673e-05
66,2.4449001e-05
67,2.3891696e-05
68,2.1014542e-05
69,1.9286957e-05
70,1.7964395e-05
71,1.7156748e-05
72,1.5465402e-05
73,1.5117444e-05
74,1.4266372e-05
75,1.3951487e-05
76,1.2224785e-05
77,1.1928612e-05
78,1.1124457e-05
79,1.0728775e-05
80,1.0380577e-05
81,9.7955787e-06
82,9.2137982e-06
83,8.7820135e-06
84,8.1391377e-06
85,7.8052912e-06
86,7.5387483e-06
87,7.1868211e-06
88,7.0582698e-06
89,6.8897531e-06
90,6.6724566e-06
91,6.1894966e-06
92,5.9091746e-06
93,5.4600279e-06
94,5.4468917e-06
95,5.1094162e-06
96,5.078526e-06
97,4.8936126e-06
98,4.742166e-06
99,4.5288636e-06
100,4.488546e-06
101,4.1333508e-06
102,3.9379687e-06
103,3.9017253e-06
104,3.6196675e-06
105,3.5260047e-06
106,3.4139453e-06
107,3.2508579e-06
108,3.1615849e-06
109,3.042258e-06
110,2.9407161e-06
111,2.7929173e-06
112,2.629499e-06
113,2.4919307e-06
114,2.4312807e-06
115,2.2933253e-06
116,2.2095208e-06
117,2.1853295e-06
118,2.1572436e-06
119,2.0648125e-06
120,2.0090788e-06
121,1.8690375e-06
122,1.8107927e-06
123,1.771526e-06
124,1.7155754e-06
125,1.6387958e-06
126,1.6351565e-06
127,1.5954528e-06
128,1.550636e-06
129,1.4979483e-06
130,1.4559894e-06
131,1.4358875e-06
132,1.3289323e-06
133,1.2716591e-06
134,1.2318391e-06
135,1.2042233e-06
136,1.1540762e-06
137,1.1311767e-06
138,1.0677885e-06
139,1.0134096e-06
140,9.7719132e-07
141,9.6638979e-07
142,9.4209168e-07
143,9.2574776e-07
144,8.8677158e-07
145,8.5178536e-07
146,8.2504753e-07
147,8.0167021e-07
148,7.7818435e-07
149,7.5630564e-07
150,7.4993923e-07
151,7.1973379e-07
152,6.9097382e-07
153,6.6399617e-07
154,6.3491022e-07
155,6.2634837e-07
156,6.1631602e-07
157,5.6857912e-07
158,5.6122944e-07
159,5.4357795e-07
160,5.3928827e-07
161,5.3320393e-07
162,5.2120381e-07
163,5.0588578e-07
164,4.7919488e-07
165,4.728047e-07
166,4.6900024e-07
167,4.4537639e-07
168,4.3786054e-07
169,4.3294824e-07
170,4.1286901e-07
171,4.0536167e-07
172,3.9247224e-07
173,3.8804847e-07
174,3.7476216e-07
175,3.559951e-07
176,3.4763098e-07
177,3.4261934e-07
178,3.3273127e-07
179,3.2250574e-07
180,3.1254422e-07
181,3.0608767e-07
182,2.9427514e-07
183,2.8867382e-07
184,2.8210316e-07
185,2.7332802e-07
186,2.6854121e-07
187,2.644677e-07
188,2.592421e-07
189,2.5322154e-07
190,2.4974501e-07
191,2.4560863e-07
192,2.3353246e-07
193,2.2747761e-07
194,2.1894009e-07
195,2.1191968e-07
196,2.0850381e-07
197,2.0211533e-07
198,1.9489179e-07
199,1.9288712e-07
200,1.8942166e-07
201,1.8337847e-07
202,1.7561689e-07
203,1.7330521e-07
204,1.682949e-07
205,1.6639066e-07
206,1.6450349e-07
207,1.5889313e-07
208,1.5498187e-07
209,1.5265688e-07
210,1.4706627e-07
211,1.4605258e-07
212,1.3788656e-07
213,1.3648933e-07
214,1.3217194e-07
215,1.3031079e-07
216,1.2892444e-07
217,1.2541672e-07
218,1.2327477e-07
219,1.2110046e-07
220,1.1459038e-07
221,1.1130416e-07
