r,J_learned,J_learned_std,count,J_exact
0.31495521,0.2874629,0.080050924,205,-0.67994424
0.51018287,0.42877,0.027202563,205,-0.54151606
0.6304238,0.50563321,0.018844231,205,-0.46490682
0.7230936,0.56102158,0.013499235,205,-0.40962553
0.80248642,0.60609741,0.011346236,204,-0.36457975
0.87291748,0.64443447,0.010337825,205,-0.32624943
0.93541396,0.67727689,0.0094701353,205,-0.29342555
0.99826499,0.70925991,0.0090092266,205,-0.2614675
1.0551925,0.73737901,0.0073867945,204,-0.23337726
1.1058211,0.76174172,0.0065497841,205,-0.20904131
1.154557,0.78463148,0.0064409255,205,-0.18616167
1.203098,0.80693051,0.0062912027,205,-0.16388227
1.2537947,0.82968985,0.0065728842,205,-0.14113145
1.2995708,0.84981135,0.0053286591,204,-0.12102429
1.343166,0.86859273,0.0058308811,205,-0.1022438
1.3871618,0.88719813,0.0050104414,205,-0.083641646
1.4291567,0.90464317,0.0052888608,205,-0.066202616
1.4758017,0.92365547,0.0056275399,204,-0.047182532
1.521802,0.94206398,0.0053848032,205,-0.028773087
1.5704648,0.96118091,0.0055585219,205,-0.0096600416
1.620367,0.98041224,0.005317467,205,0.0095676189
1.6688077,0.99873202,0.0053746853,205,0.02788502
1.7154343,1.0160563,0.0049141917,204,0.045205113
1.7615419,1.0329049,0.0046300019,205,0.06204241
1.8108663,1.0506084,0.0048602462,205,0.079745923
1.8532688,1.0655843,0.0047499008,205,0.09471847
1.9087112,1.0848392,0.0056097183,204,0.11396328
1.958451,1.1018077,0.0046318755,205,0.13091903
2.0099086,1.119057,0.0051855351,205,0.14816289
2.0687424,1.1384177,0.0059538521,205,0.16752103
2.1364456,1.1602319,0.006393301,205,0.18934338
2.2090168,1.1831126,0.0058122247,204,0.2122178
2.2786118,1.2045784,0.0060626183,205,0.23367328
2.3531499,1.2270541,0.0068602914,205,0.25615335
2.4355382,1.2513031,0.007814102,205,0.28042676
2.5288626,1.2780913,0.0083235913,204,0.3072288
2.6464846,1.3108527,0.010849237,205,0.34001677
2.7986597,1.3516901,0.013387741,205,0.38090145
2.9987235,1.4029488,0.017592306,205,0.43222835
3.4942352,1.5171713,0.072448458,205,0.54904865
