r,J_learned,J_learned_std,count
27.445531,270.2636,4.2849772,3072
31.609953,271.08581,4.2337896,3072
33.809107,271.26571,4.288883,3072
35.559268,271.6525,4.219361,3072
37.145471,271.81918,4.2384433,3072
38.568436,271.85258,4.2480652,3072
39.895153,272.08245,4.1645368,3072
41.191878,272.2043,4.2697539,3072
42.473789,272.26787,4.2337418,3072
43.742477,272.43579,4.2903953,3072
44.98092,272.35402,4.388004,3072
46.27541,272.54191,4.125683,3072
47.623797,272.52941,4.3729821,3072
49.015005,272.49459,4.3776098,3072
50.411794,272.67005,4.2756034,3072
51.899387,272.79251,4.3877928,3072
53.450607,272.54827,4.5454271,3072
55.039622,272.39702,4.4126686,3072
56.650795,272.30819,4.5032115,3072
58.284275,272.34484,4.4309628,3072
59.932329,272.28319,4.4592999,3072
61.637128,272.1927,4.2689556,3072
63.298973,271.99158,4.3317916,3072
64.938649,272.07467,4.3643743,3072
66.556495,271.93325,4.3558065,3072
68.125637,272.02399,4.3156666,3072
69.725148,271.95965,4.2903771,3072
71.349404,272.25841,4.2914807,3072
72.968942,272.21593,4.1692349,3072
74.54351,272.2231,4.2815248,3072
76.137398,272.32186,4.1926308,3072
77.793464,272.34718,4.1061026,3072
79.481746,272.72602,4.1901931,3072
81.284047,272.85805,4.1316152,3072
83.169905,272.88057,4.1095302,3072
85.157214,273.15445,4.0907381,3072
87.364722,273.33851,4.0131967,3072
90.043004,273.84636,3.9613568,3072
93.65989,274.43267,3.8347072,3072
100.34969,275.69375,3.8071185,3072
