r,J_learned,J_learned_std,count
2.1046206,29.627828,1.9261853,3072
3.2816865,29.866135,1.9227241,3072
3.9295644,29.924036,1.964437,3072
4.425448,30.068702,1.9429073,3072
4.8315709,30.113181,1.945951,3072
5.1930031,30.221802,1.9650153,3072
5.5293631,30.226923,1.9747111,3072
5.8361163,30.187836,1.9637512,3072
6.1280793,30.29492,1.9334192,3072
6.3981222,30.321339,2.0455794,3072
6.6693246,30.380927,2.0064007,3072
6.9350712,30.332963,2.021005,3072
7.1938947,30.438228,1.973617,3072
7.4423608,30.45464,1.9923076,3072
7.6841721,30.436861,1.9955919,3072
7.9311438,30.492015,2.000422,3072
8.1742317,30.493552,1.9513845,3072
8.4134884,30.474435,1.9858463,3072
8.6521201,30.587844,2.0248304,3072
8.8970875,30.531476,1.9509715,3072
9.1452682,30.635752,1.9551462,3072
9.3860998,30.636511,1.9848376,3072
9.6328865,30.645872,1.9619774,3072
9.8837939,30.6873,1.9663641,3072
10.14578,30.679456,1.9354901,3072
10.407138,30.821135,1.9287463,3072
10.679772,30.860702,1.9746151,3072
10.9626,30.879535,1.945947,3072
11.257993,30.922716,1.883677,3072
11.561295,30.97288,1.9029683,3072
11.877485,31.005326,1.9195453,3072
12.212889,31.00053,1.8653718,3072
12.576875,31.167823,1.82395,3072
12.969997,31.281577,1.8725501,3072
13.410266,31.332725,1.8121069,3072
13.89809,31.576912,1.8343138,3072
14.453481,31.694526,1.8410285,3072
15.17501,31.910149,1.8104129,3072
16.187373,32.303762,1.7454213,3072
18.367903,33.241286,1.824184,3072
