r,J_learned,J_learned_std,count
2.6038435,35.454347,1.72489,768
3.6801533,35.758597,1.76008,768
4.2594124,35.865048,1.8009444,768
4.705988,35.973159,1.8276362,768
5.087201,36.026452,1.7727969,768
5.4279885,36.084703,1.754602,768
5.7381631,36.180716,1.8096675,768
6.0277465,36.281424,1.7083513,768
6.3044449,36.309891,1.8290371,768
6.5748532,36.287217,1.7751016,768
6.8325283,36.252094,1.7688469,768
7.086543,36.309159,1.8661746,768
7.324322,36.464029,1.7883778,768
7.5459921,36.41606,1.7450857,768
7.7883968,36.419169,1.764875,768
8.0320713,36.424426,1.8799669,768
8.2752629,36.385652,1.77726,768
8.517439,36.429862,1.7702869,768
8.7571574,36.513598,1.7854271,768
9.0082224,36.514237,1.7530439,768
9.2468075,36.587965,1.719307,768
9.4728993,36.523603,1.7519873,768
9.7197622,36.538821,1.6311608,768
9.9760706,36.537948,1.782769,768
10.219454,36.588823,1.7459409,768
10.488087,36.531623,1.8632471,768
10.764017,36.635463,1.7300457,768
11.026634,36.591098,1.6909467,768
11.306216,36.742417,1.6908625,768
11.609499,36.6777,1.6816892,768
11.931576,36.731164,1.6840547,768
12.261325,36.800065,1.7334832,768
12.60498,36.92193,1.5958326,768
12.98926,36.995512,1.6527516,768
13.38495,37.078445,1.5900211,768
13.840887,37.104932,1.5704516,768
14.378526,37.321063,1.5371509,768
15.032019,37.401835,1.5268754,768
15.915236,37.698044,1.4390065,768
17.833722,38.382823,1.3971057,768
