mode,mu,sr_weight,plain_weight,residual_power
1,35142.192,1,1,0.00056586731
2,27811.995,1,0.7914132,0.00029290053
3,25521.147,1,0.72622523,0.00086464617
4,6253.7207,1,0.17795477,0.00039954235
5,5711.7146,1,0.16253154,0.00053052031
6,4268.5961,1,0.12146641,4.278841e-05
7,2291.9312,1,0.065218787,0.00040880287
8,2022.7089,1,0.057557847,0.0046894912
9,1897.1211,1,0.053984141,0.00011272879
10,1778.6841,1,0.050613919,0.0014508667
11,1620.318,1,0.046107482,0.00020052755
12,1557.6747,1,0.044324914,0.0010706688
13,1323.5521,1,0.037662765,0.0006214623
14,1261.5102,1,0.035897311,1.8268562e-05
15,1197.3915,1,0.03407276,0.0010899475
16,1006.1885,1,0.028631921,0.0002810386
17,882.54514,1,0.025113548,5.1739794e-05
18,867.74472,1,0.02469239,8.222886e-05
19,748.0667,1,0.021286853,0.00018481708
20,711.98389,1,0.020260087,1.0933273e-05
21,658.72023,1,0.018744426,2.3028163e-06
22,637.95142,1,0.018153433,0.00029109193
23,596.2116,1,0.016965692,0.00091091573
24,523.60493,1,0.014899609,0.0013798723
25,504.33192,1,0.01435118,0.00068563649
26,471.19692,1,0.013408296,0.00046177795
27,455.83403,1,0.012971133,0.001425673
28,434.07431,1,0.012351942,0.0046692482
29,413.34185,1,0.011761983,0.0014420575
30,388.80144,1,0.011063665,0.0010198476
31,372.03044,1,0.010586432,1.6724048e-05
32,362.04588,1,0.010302313,1.3299892e-05
33,352.8276,1,0.01004,0.00014635251
34,334.17605,1,0.0095092546,4.6764822e-06
35,301.40721,1,0.0085767902,0.00033686817
36,276.22249,1,0.0078601382,8.4813656e-05
37,271.33026,1,0.0077209257,1.8036379e-05
38,256.09989,1,0.0072875331,2.0067844e-05
39,237.02486,1,0.0067447373,2.7191067e-05
40,223.67604,1,0.0063648856,7.7737163e-07
41,210.93161,1,0.0060022324,0.0022877981
42,192.78364,1,0.0054858172,0.0018632923
43,191.26074,1,0.0054424817,7.0053336e-05
44,175.84748,1,0.0050038846,0.0013773359
45,174.39628,1,0.0049625898,0.0066559362
46,167.10475,1,0.0047551031,0.0013587211
47,163.4433,1,0.0046509136,0.00085398774
48,156.11966,1,0.0044425134,0.00017023209
49,150.76549,1,0.004290156,0.00064055658
50,146.16231,1,0.0041591689,0.0095746201
51,136.7072,1,0.003890116,0.00012685205
52,135.29416,1,0.0038499066,0.00082113071
53,126.73546,1,0.0036063617,0.0074689727
54,125.50937,1,0.0035714725,9.7228595e-05
55,122.35861,1,0.003481815,0.00076381049
56,120.45041,1,0.0034275156,1.1432261e-07
57,115.82737,1,0.0032959632,0.00078772477
58,114.62644,1,0.0032617897,0.0062803868
59,106.07443,1,0.0030184352,0.001413024
60,104.53835,1,0.0029747247,0.0013131041
61,100.68919,1,0.0028651938,0.00082056786
62,97.926015,1,0.0027865653,0.00030217555
63,96.527768,1,0.0027467771,0.00017664321
64,93.735967,1,0.0026673341,0.0019784373
65,92.686982,1,0.0026374843,0.0001255355
66,90.321624,1,0.0025701761,2.2858528e-06
67,86.442896,1,0.0024598037,0.00018764457
68,84.619444,1,0.0024079159,0.0052752208
69,83.677738,1,0.0023811189,0.00049398722
70,81.895137,1,0.0023303935,0.00017019359
71,79.189492,1,0.0022534021,0.00010650363
72,77.740481,1,0.0022121693,0.0010521112
73,75.789213,1,0.0021566444,0.0005027414
74,72.882616,1,0.0020739348,5.4498513e-05
75,71.224414,1,0.0020267493,6.661762e-06
76,68.776827,1,0.0019571012,0.0010206213
77,66.539823,1,0.0018934454,0.000655636
78,66.141982,1,0.0018821245,0.00036336992
79,64.692882,1,0.0018408892,0.0017774784
80,63.609957,1,0.0018100737,0.0022172312
81,62.618415,1,0.0017818585,1.9724022e-06
82,61.518094,1,0.001750548,0.0014920723
83,60.90223,1,0.0017330231,0.0060771346
84,59.327045,1,0.0016881999,0.00040855053
85,56.10025,1,0.0015963788,8.3919413e-05
86,54.65457,1,0.0015552407,0.00054025154
87,53.521092,1,0.0015229867,0.0027103794
88,52.242592,1,0.0014866059,5.6833114e-05
89,52.083976,1,0.0014820924,0.00093908595
90,51.056294,1,0.0014528489,0.00081457296
91,48.668258,1,0.0013848953,0.00013753089
92,48.267347,1,0.0013734871,0.00030370388
93,48.096731,1,0.0013686321,0.00020397889
94,46.913466,1,0.0013349613,0.0011060336
95,46.181173,1,0.0013141233,0.00035610284
96,45.546809,1,0.0012960719,0.0013235317
97,44.958751,1,0.0012793383,1.6326437e-05
98,43.638393,1,0.0012417664,0.0022640265
99,43.223366,1,0.0012299564,2.6428086e-05
100,42.398609,1,0.0012064873,9.9431206e-06
101,41.377306,1,0.0011774253,0.00099681682
102,40.767093,1,0.0011600612,0.00038182666
103,40.145396,1,0.0011423703,0.0012174964
104,39.492347,1,0.0011237872,0.0022950518
105,38.907147,1,0.0011071349,0.00027674301
106,37.123516,1,0.0010563802,0.00047312026
107,36.966327,1,0.0010519073,0.0022725119
108,36.537868,1,0.0010397151,0.00080673485
109,36.028376,1,0.0010252171,0.00043843035
110,35.298571,1,0.0010044499,0.0045355629
111,35.082815,1,0.00099831036,0.00042384198
112,34.731989,1,0.00098832733,0.00068625785
113,34.17428,1,0.00097245727,0.0017574178
114,33.170799,1,0.00094390237,8.4898599e-05
115,32.4799,1,0.00092424227,0.0001224757
116,31.515208,1,0.00089679117,0.0029608852
117,30.834406,1,0.00087741838,0.0004148146
118,30.258963,1,0.00086104368,1.0951892e-05
119,29.89145,1,0.00085058582,0.00058777111
120,29.637095,1,0.00084334792,5.2048327e-05
121,28.979527,1,0.00082463629,0.0012835776
122,28.619599,1,0.00081439423,0.0022873481
123,28.461453,1,0.00080989407,0.00019796072
124,27.339751,1,0.00077797512,0.0035692869
125,27.17565,1,0.00077330549,7.5814897e-05
126,26.794781,1,0.00076246754,0.00013626051
127,26.696213,1,0.00075966269,0.0017375183
128,26.297147,1,0.00074830696,0.00026431696
129,25.902821,1,0.00073708607,3.2908495e-05
130,25.58342,1,0.00072799726,1.1285778e-05
131,24.999334,1,0.00071137662,3.8248792e-05
132,24.586797,1,0.00069963754,0.00050458607
133,24.153909,1,0.00068731936,0.00043174179
134,23.913113,1,0.00068046731,7.4335704e-06
135,23.659969,1,0.00067326388,0.0017627202
136,23.535586,1,0.00066972445,0.00060906881
137,22.809823,1,0.00064907229,0.0017108504
138,22.463511,1,0.00063921769,0.0011557731
139,22.375199,1,0.00063670469,0.00031300229
140,22.059782,1,0.00062772924,0.0015911393
141,21.669442,1,0.00061662179,3.5828693e-05
142,21.513447,1,0.00061218282,6.2394909e-05
143,21.224805,1,0.00060396929,0.00056973764
144,20.801067,1,0.00059191149,0.00071514828
145,20.559699,1,0.00058504316,9.5788285e-05
146,20.547615,1,0.0005846993,5.8301457e-05
147,20.401196,1,0.00058053282,0.0037534689
148,19.636624,1,0.0005587763,0.00033816629
149,19.529092,1,0.00055571638,1.323209e-06
150,19.169058,1,0.00054547132,0.00077470743
151,18.892414,1,0.00053759919,0.0012232981
152,18.669736,1,0.0005312627,3.8004441e-06
153,18.466301,1,0.00052547379,0.00023187451
154,18.250506,1,0.00051933316,0.00014741208
155,18.109868,1,0.0005153312,0.00021389816
156,17.799534,1,0.00050650039,0.0037115245
157,17.696145,1,0.00050355836,5.2240939e-05
158,17.553277,1,0.00049949294,0.00013115319
159,17.360672,1,0.00049401221,0.0055082158
160,17.158431,1,0.00048825727,0.00036720357
161,16.725495,1,0.00047593774,0.0008406912
162,16.456446,1,0.00046828171,0.0011270478
