index,eigenvalue
1,31.603421
2,29.542648
3,24.647625
4,4.7200117
5,4.3593578
6,0.78822375
7,0.53707029
8,0.42361458
9,0.35753124
10,0.25137452
11,0.19787866
12,0.17699172
13,0.16358561
14,0.15648304
15,0.14992621
16,0.13452179
17,0.12884212
18,0.098640032
19,0.095590846
20,0.087558488
21,0.082132852
22,0.077638066
23,0.074441306
24,0.07167634
25,0.069661623
26,0.066489885
27,0.0636782
28,0.059396065
29,0.056230907
30,0.050541725
31,0.048869185
32,0.047773257
33,0.045510902
34,0.040673178
35,0.03895288
36,0.037706428
37,0.036445642
38,0.036308576
39,0.034785146
40,0.034102328
41,0.032731051
42,0.031359457
43,0.03023208
44,0.028853244
45,0.02798187
46,0.02738983
47,0.026274669
48,0.024919711
49,0.024478578
50,0.023942624
51,0.02264206
52,0.022430879
53,0.021908341
54,0.021246591
55,0.021125639
56,0.020397464
57,0.019844154
58,0.019788121
59,0.019124115
60,0.01852833
61,0.018169305
62,0.017880312
63,0.017585034
64,0.017001363
65,0.016732228
66,0.016392125
67,0.01585435
68,0.015535303
69,0.015182266
70,0.014937038
71,0.01459306
72,0.014361693
73,0.013937437
74,0.013922747
75,0.013479013
76,0.013344936
77,0.012877109
78,0.012716254
79,0.012296256
80,0.012123766
81,0.011972942
82,0.011822198
83,0.01141089
84,0.011251962
85,0.011060262
86,0.010710984
87,0.01058535
88,0.010456605
89,0.010190343
90,0.0098848046
91,0.0098049261
92,0.0095821521
93,0.0094549585
94,0.009203786
95,0.0091241354
96,0.0088155103
97,0.0087518456
98,0.0085742534
99,0.0083540244
100,0.0083153348
101,0.00819543
102,0.008065243
103,0.0079421773
104,0.0077263821
105,0.0076771192
106,0.0075684351
107,0.0074716934
108,0.00733114
109,0.0072169943
110,0.0071243733
111,0.0070197724
112,0.0069831639
113,0.0068951629
114,0.0067456868
115,0.0067262774
116,0.0066330885
117,0.0064649869
118,0.0064516366
119,0.0063533291
120,0.0062776164
121,0.0061539599
122,0.0060851553
123,0.0059507667
124,0.0059165893
125,0.005835716
126,0.0057323468
127,0.0056361313
128,0.0056025073
129,0.0055276839
130,0.0054682845
131,0.0054200814
132,0.0053081645
133,0.0052917432
134,0.0051165484
135,0.0050685915
136,0.0049989788
137,0.0049934041
138,0.0048883881
139,0.004861181
140,0.0047219323
141,0.0046897763
142,0.0046378467
143,0.0045534231
144,0.0044958428
145,0.004428923
146,0.004407377
147,0.0043272562
148,0.0042728627
149,0.0042456827
150,0.0042230154
151,0.0042060862
152,0.0040708648
153,0.0040458853
154,0.00400815
155,0.0039957455
156,0.0039355303
157,0.0038902509
158,0.003846146
159,0.0038054192
160,0.0037643797
161,0.0036965429
162,0.0036840368
163,0.0036279458
164,0.0036156507
165,0.0036024473
166,0.0035028341
167,0.0034849852
168,0.003442762
169,0.0034186893
170,0.0033613567
171,0.0033438216
172,0.0032938297
173,0.0032486708
174,0.0032254444
175,0.0031777689
176,0.0031569117
