r,J_learned,J_learned_std,count
0.44077929,9.9527184,0.83969987,3072
0.72802422,10.092087,0.86520086,3072
0.89333589,10.163888,0.84719928,3072
1.0221427,10.231587,0.82868923,3072
1.1294676,10.229638,0.8543251,3072
1.2240228,10.250632,0.85527418,3072
1.3111547,10.291599,0.84953507,3072
1.3934683,10.298747,0.87738522,3072
1.4691418,10.286769,0.86941239,3072
1.543249,10.352376,0.8369061,3072
1.6121075,10.351084,0.87134071,3072
1.6787164,10.388246,0.85831218,3072
1.7422449,10.3534,0.85287918,3072
1.8051927,10.368143,0.84917167,3072
1.8677144,10.429111,0.85597085,3072
1.9309979,10.3529,0.85291912,3072
1.9915178,10.410452,0.85092204,3072
2.0517455,10.426489,0.84819727,3072
2.1135351,10.441429,0.82727077,3072
2.1743963,10.46633,0.83708858,3072
2.2355068,10.437961,0.85649479,3072
2.296566,10.456261,0.82708386,3072
2.3597474,10.518311,0.8154514,3072
2.4246944,10.496763,0.82425892,3072
2.490024,10.518838,0.80697733,3072
2.556679,10.558251,0.80329541,3072
2.6241175,10.533698,0.79589711,3072
2.6943138,10.571162,0.78183671,3072
2.7668147,10.589054,0.76926953,3072
2.84392,10.630358,0.76014868,3072
2.9271986,10.653454,0.77180456,3072
3.0142304,10.681215,0.74219279,3072
3.1067967,10.711357,0.74239085,3072
3.2052567,10.721594,0.73479144,3072
3.3147575,10.78861,0.71233543,3072
3.4415416,10.858911,0.71804332,3072
3.5854196,10.920658,0.71749968,3072
3.7671251,11.016025,0.67463126,3072
4.0144782,11.158898,0.67364869,3072
4.5654434,11.440072,0.6524517,3072
