r,J_learned,J_learned_std,count
0.45492731,10.165361,0.79880464,768
0.73281149,10.308044,0.8107031,768
0.90168052,10.388829,0.80409656,768
1.0256024,10.396635,0.83162382,768
1.1299006,10.437124,0.80524874,768
1.2228586,10.425672,0.82188652,768
1.30713,10.474288,0.818727,768
1.3866729,10.42132,0.80378919,768
1.4615639,10.467642,0.79685554,768
1.5338023,10.51343,0.81619991,768
1.6051683,10.479532,0.83716431,768
1.6715229,10.59173,0.81677245,768
1.7342877,10.533153,0.82746753,768
1.7983966,10.527745,0.83939456,768
1.8647711,10.549617,0.82130789,768
1.9279892,10.522839,0.82740186,768
1.9881656,10.573271,0.84199824,768
2.0471155,10.52972,0.83009759,768
2.1085109,10.651674,0.82296434,768
2.1711505,10.605759,0.82122642,768
2.2359642,10.564243,0.81694372,768
2.2981222,10.621411,0.80690555,768
2.3616405,10.580662,0.7850915,768
2.4265287,10.691377,0.807526,768
2.4905114,10.675748,0.7839002,768
2.5561474,10.785582,0.77236154,768
2.6248676,10.727635,0.77833757,768
2.6958937,10.709063,0.75599551,768
2.7698535,10.748988,0.72705496,768
2.8476034,10.801833,0.77726312,768
2.9295515,10.843249,0.75555445,768
3.0142505,10.853733,0.74756628,768
3.1039733,10.866809,0.74842087,768
3.2021733,10.912433,0.72639967,768
3.3084831,10.966992,0.7158158,768
3.4266899,10.991804,0.71391279,768
3.573358,11.066512,0.70925167,768
3.7477127,11.145647,0.69863006,768
4.0074647,11.318191,0.67506909,768
4.569218,11.605653,0.64654493,768
