index,eigenvalue
1,108.0821
2,22.861419
3,21.038401
4,17.132871
5,9.2943163
6,7.8395017
7,6.4937366
8,6.2583403
9,5.3514908
10,5.1324861
11,4.9756794
12,4.4310889
13,3.8381392
14,3.7396281
15,3.0683981
16,2.73902
17,2.6322509
18,2.5637074
19,2.3099859
20,2.1239324
21,1.7668165
22,1.600562
23,1.4793109
24,1.3913325
25,1.3714867
26,1.3010407
27,1.1912746
28,1.1207417
29,1.0426374
30,1.0094981
31,0.96369443
32,0.87235695
33,0.82538065
34,0.80666549
35,0.78032225
36,0.70411845
37,0.68739278
38,0.66204854
39,0.63988494
40,0.59703276
41,0.59128281
42,0.55899845
43,0.54128252
44,0.53343277
45,0.50974228
46,0.4971096
47,0.47449168
48,0.45092407
49,0.42909743
50,0.40953019
51,0.40491364
52,0.37750169
53,0.36581671
54,0.35826906
55,0.34845814
56,0.33408733
57,0.31421884
58,0.30501012
59,0.29298668
60,0.28849948
61,0.28174295
62,0.2734383
63,0.26973001
64,0.26556897
65,0.25919465
66,0.25565613
67,0.24358518
68,0.23763547
69,0.22631763
70,0.22045512
71,0.21627486
72,0.21065666
73,0.20018233
74,0.19543042
75,0.19396925
76,0.18802985
77,0.17957194
78,0.17714765
79,0.17249357
80,0.16966595
81,0.16699666
82,0.16538855
83,0.16079678
84,0.15782924
85,0.15380547
86,0.1506159
87,0.14635124
88,0.1418939
89,0.14048975
90,0.13769276
91,0.13423238
92,0.13267486
93,0.13045201
94,0.12847478
95,0.12666275
96,0.12336437
97,0.12089848
98,0.11816553
99,0.11652568
100,0.11335599
101,0.11206346
102,0.11085938
103,0.10950672
104,0.10558478
105,0.10501717
106,0.10313302
107,0.10168482
108,0.099606381
109,0.097676161
110,0.095195164
111,0.093347832
112,0.092217431
113,0.090394287
114,0.087510799
115,0.086539682
116,0.086317083
117,0.085303129
118,0.083266824
119,0.082077031
120,0.081476477
121,0.080837824
122,0.079901934
123,0.078532803
124,0.076490607
125,0.074834274
126,0.07453422
127,0.073850873
128,0.073227978
129,0.071958835
130,0.071114173
131,0.070272548
132,0.069615491
133,0.068934473
134,0.067762899
135,0.067229649
136,0.066606582
137,0.066047741
138,0.06444993
139,0.064181539
140,0.063478452
141,0.062749377
142,0.061833344
143,0.061098062
144,0.05996612
145,0.059537202
146,0.058457038
147,0.05770504
148,0.056814244
149,0.055958702
150,0.055708746
151,0.054903984
152,0.054470227
153,0.053495798
154,0.053106893
155,0.052702592
156,0.052334017
157,0.051899935
158,0.050573846
159,0.050379262
160,0.049283952
161,0.048769251
162,0.047993688
163,0.047911985
164,0.047716642
165,0.047202909
166,0.046399272
167,0.046077256
168,0.045427255
169,0.044824661
170,0.044288313
171,0.04412521
172,0.043946734
173,0.04328565
174,0.04308864
175,0.042544867
176,0.042087741
177,0.04147001
178,0.041245468
179,0.040737334
180,0.040463529
181,0.039900868
182,0.039568199
183,0.03931604
184,0.039203649
185,0.03875615
186,0.037933842
187,0.037812515
188,0.03748928
189,0.037050425
190,0.036929125
191,0.036735367
192,0.036258194
193,0.035950818
194,0.035844227
195,0.035356185
196,0.034904175
197,0.034694131
198,0.03425696
199,0.033636505
200,0.033327365
201,0.032955304
202,0.032650056
203,0.032465324
204,0.032260706
205,0.0321364
206,0.031881659
207,0.031644164
208,0.031457995
209,0.030978759
210,0.03048666
211,0.030205918
212,0.029936701
213,0.029881593
214,0.029428767
215,0.02934808
216,0.029083168
217,0.028863778
218,0.028656266
219,0.028544067
220,0.02820701
221,0.027859029
222,0.027378577
223,0.027236395
224,0.026801113
225,0.026534675
226,0.026454176
227,0.026432788
228,0.026165758
229,0.02600287
230,0.025645338
231,0.025426399
232,0.025204504
233,0.025124327
234,0.024905684
235,0.024783222
236,0.024636783
237,0.024326326
238,0.02421306
239,0.024098519
240,0.024030688
241,0.023757612
242,0.023522645
243,0.023366915
244,0.02321336
245,0.022998666
246,0.022846624
247,0.022669069
248,0.022378017
249,0.022103476
250,0.021937846
251,0.021882308
252,0.021706885
253,0.021373179
254,0.021297002
255,0.021113606
256,0.021032889
257,0.020874281
258,0.020734717
259,0.020583096
260,0.020441038
261,0.020345704
262,0.020043978
263,0.019962388
264,0.019862044
265,0.019773404
266,0.01966608
267,0.019593814
268,0.019306844
269,0.019264393
270,0.019149251
271,0.018801802
272,0.018651236
273,0.01851799
274,0.018440254
275,0.018164115
276,0.018108626
277,0.018052619
278,0.017904487
279,0.017806043
280,0.017707659
281,0.017503194
282,0.017408995
283,0.017369209
284,0.017293251
285,0.017110244
286,0.017045993
287,0.016871856
288,0.016631992
289,0.016593053
290,0.016444065
291,0.01637658
292,0.016286834
293,0.016126845
294,0.016102298
295,0.015998275
296,0.015899179
297,0.015821381
298,0.015755432
299,0.015638312
300,0.015472098
301,0.015360253
302,0.015307834
303,0.015197729
304,0.015093458
305,0.015032622
306,0.014871335
307,0.014761041
308,0.014666215
309,0.014516994
310,0.014408609
311,0.014300879
312,0.014160809
313,0.014065734
314,0.013986976
315,0.013912854
316,0.013888487
317,0.013824823
318,0.013733107
319,0.013672451
320,0.013577309
321,0.013395196
322,0.013272047
323,0.013219149
324,0.013130588
325,0.013109012
326,0.012968994
327,0.01290661
328,0.012875163
329,0.012769082
330,0.012630329
331,0.012524813
332,0.012480162
333,0.01240342
334,0.012327682
335,0.012269205
336,0.012168221
337,0.012143504
338,0.01205749
339,0.011999859
340,0.011981662
341,0.011893698
342,0.011762564
343,0.011709571
344,0.011648941
345,0.011588347
346,0.011554096
347,0.011497595
348,0.011404945
349,0.011338292
350,0.011269145
351,0.011242096
352,0.01119025
353,0.011077004
354,0.011039277
355,0.010966428
356,0.010892548
357,0.01085307
358,0.010763024
359,0.010731824
360,0.01060472
361,0.010545757
362,0.010502504
363,0.010447388
364,0.010404009
365,0.010350847
366,0.010278598
367,0.010135363
368,0.010130439
369,0.010079689
370,0.010026474
371,0.0099908198
372,0.0098522741
373,0.0098018415
374,0.0097761352
375,0.0097417612
376,0.0096671302
377,0.009639593
378,0.0095872261
379,0.0095348248
380,0.0094629001
381,0.0094186884
382,0.0093782307
383,0.0093430087
384,0.009324049
385,0.0092646669
386,0.0091593359
387,0.0091181943
388,0.0090716771
389,0.0090260605
390,0.0089656071
391,0.0089159157
392,0.0088380429
393,0.0087779652
394,0.0087606684
395,0.008744879
396,0.0087389035
397,0.0086440789
398,0.0085864261
399,0.0085812593
400,0.0085511183
401,0.0085105806
402,0.0084690142
403,0.0084317413
404,0.0083933428
405,0.0083299038
406,0.0082701216
407,0.0082534657
408,0.0081661239
409,0.0081155126
410,0.0080831
411,0.0080718255
412,0.0080424869
413,0.007998399
414,0.0079228591
415,0.0078807877
416,0.0078332514
417,0.007816109
418,0.0077646158
419,0.0077083835
420,0.0076865069
421,0.0076722744
422,0.0076427011
423,0.0075986239
424,0.0075529099
425,0.0074894732
426,0.0074174681
427,0.0073988757
428,0.0073606157
429,0.007324647
430,0.0072865089
431,0.0072712893
432,0.0072298179
433,0.0071946784
434,0.0071817235
435,0.0071294939
436,0.007121763
437,0.0070730788
438,0.0070636062
439,0.0070547188
440,0.0069980076
441,0.0069337136
442,0.0068681847
443,0.0068356828
444,0.0068297807
445,0.006809094
446,0.0067644145
447,0.006728348
448,0.0066808652
449,0.006653561
450,0.006640034
451,0.006599975
452,0.0065759218
453,0.0065453993
454,0.0065127716
455,0.0064771855
456,0.0064548871
457,0.0064121188
458,0.0063889694
459,0.0063599197
460,0.0063387272
461,0.0062864986
462,0.0062676022
463,0.0062349235
464,0.0062161902
465,0.0061753476
466,0.0061596629
467,0.0061074312
468,0.0060827229
469,0.0060512813
470,0.0060185504
471,0.0060147331
472,0.0059824079
473,0.0059698366
474,0.0059675386
475,0.0059306182
476,0.0059102645
477,0.0058686321
478,0.0058361313
479,0.0058240509
480,0.0058006088
481,0.0057582389
482,0.0057207345
483,0.0057079988
484,0.0056824425
485,0.0056459735
486,0.0056246158
487,0.0055791437
488,0.005562082
489,0.0055483567
490,0.0055340694
491,0.0054958147
492,0.0054671668
493,0.0054198009
494,0.0054080215
495,0.0053883474
496,0.0053706434
497,0.0053584352
498,0.00531851
499,0.0053095554
500,0.0052667761
501,0.0052286443
502,0.005219219
503,0.0052077809
504,0.0051641234
505,0.0051475735
506,0.0051289095
507,0.0051229114
508,0.0050784213
509,0.0050711001
510,0.0050349258
511,0.0050251516
512,0.0050046096
513,0.0049826814
514,0.0049539797
515,0.0049268616
516,0.0049220814
517,0.0049076546
518,0.0048860465
519,0.0048629916
520,0.0048217969
521,0.0048068046
522,0.0047674015
523,0.0047462678
524,0.0047346561
525,0.0047240256
526,0.0047186927
527,0.0046890342
528,0.0046704422
529,0.0046472646
530,0.0046292509
531,0.004621445
532,0.0046016374
533,0.0045922755
534,0.0045562785
535,0.0045460454
536,0.0045118327
537,0.0044918733
538,0.0044717118
539,0.0044606051
540,0.0044463132
541,0.0044329205
542,0.0044159668
543,0.0044062531
544,0.0043759344
545,0.00435044
546,0.0043328391
547,0.0043214158
548,0.0043087678
549,0.0042730067
550,0.0042397014
551,0.0042323667
552,0.0042251062
553,0.0042099178
554,0.0041969303
555,0.0041618715
556,0.0041526574
557,0.0041473788
558,0.0041451353
559,0.0040964922
560,0.0040928007
561,0.0040682669
562,0.0040638435
563,0.0040417908
564,0.0040261177
565,0.0040154909
566,0.004000246
567,0.0039767562
568,0.0039578893
569,0.0039455337
570,0.0039104286
571,0.0038999196
572,0.0038900088
573,0.0038729567
574,0.0038618108
575,0.0038492338
576,0.0038349551
577,0.0038157657
578,0.0037967378
579,0.0037853709
580,0.0037751317
581,0.0037518494
582,0.0037364504
583,0.0037203907
584,0.0037018912
585,0.0036907762
586,0.0036792143
587,0.0036636264
588,0.0036466492
589,0.0036429628
590,0.0036267188
591,0.0036104492
592,0.0035999648
593,0.0035989441
594,0.0035619489
595,0.0035581071
596,0.0035274428
597,0.0035160871
598,0.0035098616
599,0.0035016017
600,0.0034913826
601,0.0034774492
602,0.0034755802
603,0.0034696927
604,0.0034464267
605,0.0034325546
606,0.0034156673
607,0.0033921345
608,0.0033888668
609,0.0033722588
610,0.0033602263
611,0.0033525027
612,0.0033336138
613,0.0033164474
614,0.003306114
615,0.0032951803
616,0.003291514
617,0.0032817491
618,0.0032690358
619,0.0032651207
