r,J_learned,J_learned_std,count
2.569015,36.048764,1.8064901,3072
3.6744738,36.487558,1.7484963,3072
4.2739873,36.583916,1.7859037,3072
4.7197234,36.702504,1.7283898,3072
5.0820108,36.813001,1.8002958,3072
5.4163657,36.829278,1.7782594,3072
5.7318741,36.880967,1.8242766,3072
6.0253462,37.006866,1.8243859,3072
6.3021445,36.962537,1.8086644,3072
6.56009,37.040471,1.8090512,3072
6.8178453,37.062754,1.8169668,3072
7.0609745,37.121037,1.7942111,3072
7.2990134,37.162901,1.7814802,3072
7.5319362,37.072211,1.8154722,3072
7.7688459,37.155929,1.8089397,3072
8.001848,37.096285,1.8364378,3072
8.2366256,37.110632,1.8489974,3072
8.4768567,37.143011,1.8051392,3072
8.7160216,37.10962,1.8224546,3072
8.9531103,37.274341,1.7971291,3072
9.1986613,37.18479,1.794498,3072
9.4457556,37.192583,1.7788653,3072
9.694348,37.203661,1.8298693,3072
9.9491606,37.25405,1.7773769,3072
10.20997,37.297767,1.7670611,3072
10.47072,37.288173,1.7801685,3072
10.743806,37.330005,1.7616851,3072
11.012122,37.362674,1.7203269,3072
11.298096,37.42152,1.7305949,3072
11.59864,37.469919,1.6815559,3072
11.904327,37.491753,1.7332565,3072
12.238623,37.547838,1.7082711,3072
12.58636,37.600764,1.6509319,3072
12.944322,37.657471,1.6231217,3072
13.354792,37.759765,1.6072637,3072
13.818999,37.9385,1.5842365,3072
14.370891,38.070353,1.5722806,3072
15.026272,38.215085,1.5264311,3072
15.917322,38.494826,1.4767081,3072
17.784851,39.110043,1.465814,3072
