r,J_learned,J_learned_std,count
0.40705423,7.9917015,0.95153321,3072
0.6659397,8.0693372,0.92351883,3072
0.82528326,8.1426682,0.94857228,3072
0.94767543,8.1558702,0.95071998,3072
1.0499708,8.180717,0.94100721,3072
1.1408025,8.2035267,0.95020708,3072
1.2239636,8.2494773,0.93275988,3072
1.3010457,8.2819733,0.95604046,3072
1.3765676,8.235257,0.95061542,3072
1.4489877,8.2840076,0.93965568,3072
1.517558,8.2899048,0.9449339,3072
1.5839252,8.2719801,0.98294921,3072
1.6500151,8.3063227,0.94172654,3072
1.7143506,8.3024321,0.95824614,3072
1.778017,8.26257,0.93793725,3072
1.8417441,8.3329689,0.94249418,3072
1.9039842,8.3131336,0.95366955,3072
1.9652005,8.3310029,0.94455646,3072
2.0269893,8.3398867,0.94294735,3072
2.0894367,8.3393195,0.93568016,3072
2.1526104,8.3731749,0.93786292,3072
2.2159122,8.4470159,0.95438296,3072
2.2799572,8.4102876,0.94985543,3072
2.3463922,8.4242434,0.94607267,3072
2.4133809,8.4568081,0.92672241,3072
2.4843106,8.4745341,0.92435717,3072
2.5554399,8.4592993,0.89529175,3072
2.626841,8.4944597,0.9186191,3072
2.7009775,8.5232151,0.90591464,3072
2.7808159,8.5336038,0.9142218,3072
2.8668995,8.5941621,0.90464445,3072
2.9583682,8.6134947,0.89505298,3072
3.0580329,8.6452013,0.87213345,3072
3.1668769,8.6722211,0.86948663,3072
3.2853363,8.7896326,0.88377523,3072
3.4187333,8.8240499,0.87208143,3072
3.5777316,8.8867823,0.83995676,3072
3.7753847,9.0094373,0.83892889,3072
4.0522406,9.1643957,0.81303792,3072
4.6638018,9.6258136,0.80543793,3072
