mode,mu,sr_weight,plain_weight,residual_power
1,90949.055,1,1,2003.756
2,80330.998,1,0.8832527,140.66396
3,76030.074,1,0.83596332,1214.6817
4,30497.671,1,0.33532697,35.530593
5,24748.728,1,0.27211639,248.61152
6,13689.089,1,0.15051381,641.51676
7,11213.222,1,0.12329124,839.65986
8,9628.2888,1,0.10586464,2724.9277
9,9556.1503,1,0.10507146,799.22116
10,7811.1081,1,0.085884434,1307.3716
11,7205.7103,1,0.079227984,3423.8987
12,6755.3024,1,0.074275674,1548.6453
13,5079.9116,1,0.055854474,162.813
14,4173.4921,1,0.04588824,406.29225
15,3521.2332,1,0.038716545,342.52038
16,3335.4212,1,0.036673511,576.54527
17,3001.5757,1,0.033002824,6.4964741
18,2834.7731,1,0.031168803,766.02827
19,2568.8163,1,0.028244563,162.7017
20,2495.6313,1,0.027439882,2546.931
21,2090.2802,1,0.022982979,1154.9027
22,2064.0736,1,0.022694833,16477.002
23,1867.3649,1,0.020531988,1636.1091
24,1728.7266,1,0.019007637,17917.362
25,1645.5913,1,0.01809355,11831.829
26,1506.8303,1,0.01656785,11345.176
27,1442.7306,1,0.015863063,16745.314
28,1294.361,1,0.014231714,1150.7548
29,1218.8408,1,0.013401357,2986.164
30,1169.8609,1,0.012862815,6.1499254
31,1111.3764,1,0.012219769,2258.3931
32,1044.8558,1,0.011488363,130.83721
33,1021.7149,1,0.011233926,18340.394
34,942.33098,1,0.010361086,2184.7019
35,912.4734,1,0.010032797,576.56304
36,822.62574,1,0.009044907,14.59164
37,807.87922,1,0.0088827666,17.355595
38,784.02025,1,0.0086204332,508.79054
39,767.73401,1,0.0084413633,2004.5113
40,695.88547,1,0.0076513766,14987.292
41,687.65364,1,0.0075608662,8550.5225
42,651.54598,1,0.0071638565,2661.0583
43,609.73067,1,0.0067040902,127.47187
44,592.60882,1,0.0065158327,2329.8364
45,577.21117,1,0.0063465329,24131.07
46,543.33087,1,0.0059740133,1582.5936
47,500.98674,1,0.0055084326,3074.2775
48,490.51495,1,0.0053932935,7596.2944
49,482.67475,1,0.0053070893,8226.962
50,479.09266,1,0.0052677035,419.51086
51,460.69649,1,0.0050654346,213.8205
52,437.28775,1,0.0048080516,504.32613
53,427.10339,1,0.0046960729,390.12779
54,413.96213,1,0.0045515825,2214.7327
55,401.17397,1,0.0044109746,201.73225
56,388.07097,1,0.0042669049,53356.645
