r,J_learned,J_learned_std,count
0.37986123,6.8841699,0.98224704,3072
0.67145191,6.922385,1.0179399,3072
0.84455291,6.9674939,1.013919,3072
0.9812685,6.9929945,1.0009369,3072
1.0944364,6.9940314,0.98017019,3072
1.1979863,7.0493243,0.98414445,3072
1.2910114,7.0608113,1.0208366,3072
1.3763138,7.0562206,1.0026008,3072
1.4574562,7.1021561,1.0268129,3072
1.5336581,7.0966542,0.99487342,3072
1.6072916,7.1442146,1.0300774,3072
1.6779394,7.1307588,1.0466586,3072
1.747158,7.1255262,1.0094433,3072
1.8136271,7.200364,1.0276572,3072
1.878987,7.1479486,1.0103674,3072
1.9446528,7.2230699,1.0254166,3072
2.0084818,7.2219652,1.0090909,3072
2.0719452,7.2118303,1.0198476,3072
2.1355215,7.2396978,1.0267707,3072
2.199601,7.2367564,0.99865222,3072
2.263913,7.2643919,1.0151856,3072
2.3299428,7.2862502,1.0071894,3072
2.3955919,7.3082833,1.0264387,3072
2.4640226,7.3351708,0.99648904,3072
2.5334743,7.3467883,0.98559474,3072
2.6028607,7.367425,0.98116363,3072
2.674295,7.432625,0.99116349,3072
2.7485226,7.4292393,0.98262296,3072
2.8267371,7.4687947,0.99224251,3072
2.9073423,7.5465475,0.98580757,3072
2.9938997,7.536283,0.96011461,3072
3.0870969,7.6216559,0.9631628,3072
3.1858733,7.657971,0.97660884,3072
3.2905225,7.6890405,0.96865109,3072
3.4096497,7.775354,0.9489705,3072
3.5480942,7.8268584,0.94257679,3072
3.7115664,7.9443247,0.89924206,3072
3.9117843,8.0987769,0.94327495,3072
4.1965325,8.3126049,0.8919258,3072
4.8065278,8.8594216,0.9474955,3072
