step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.9931998,0.55163863,9.5032157e+11,5.4480412,607
88,0.99206792,0.55991278,9.8088768e+11,3.8639686,648
126,0.98491154,0.55493876,9.885995e+11,3.4565732,648
179,0.99603449,0.57498995,9.9213665e+11,3.2690215,664
254,0.99221,0.57181791,9.4327491e+11,2.2623988,664
362,0.99586528,0.77118866,9.7270976e+11,1.1856337,641
514,0.99761293,0.23765652,9.1890267e+11,1.8313398,943
732,0.99980613,0.20503259,9.0068076e+11,1.5489482,1020
1041,0.99995433,0.062107559,8.1150917e+11,1.4375387,1022
1482,0.9999676,0.10536623,9.3108645e+11,1.3470605,1019
2108,0.99987318,0.092453336,9.7801557e+11,1.2668772,1006
3000,0.99998868,0.088680721,9.5280705e+11,1.2429811,1001
3500,0.9999443,0.067317467,9.9253191e+11,1.239025,1575
