mode,mu,sr_weight,plain_weight,residual_power
1,32366.283,1,1,8.3540425e-06
2,887.19251,1,0.02741101,3.8391479e-07
3,739.21997,1,0.022839198,1.8346038e-05
4,597.13399,1,0.01844926,6.4535586e-08
5,352.99918,1,0.010906386,1.3478958e-05
6,208.50933,1,0.0064421772,5.7754076e-07
7,188.44425,1,0.0058222393,5.8368681e-06
8,159.59636,1,0.004930945,6.2533981e-05
9,69.289992,1,0.0021408078,1.2980165e-06
10,60.266057,1,0.0018620012,1.5925941e-06
11,53.236097,1,0.0016448011,6.4181138e-07
12,45.402449,1,0.0014027699,1.6231271e-07
13,39.583355,1,0.0012229812,6.2511393e-07
14,30.438794,1,0.00094044761,2.3406254e-06
15,27.95892,1,0.00086382856,3.0363183e-07
16,23.205432,1,0.00071696313,1.2016259e-05
17,20.244049,1,0.00062546721,1.8769638e-05
18,17.485464,1,0.000540237,9.6877946e-06
19,15.315884,1,0.00047320491,7.7607936e-06
20,13.901459,1,0.00042950433,7.668639e-06
21,11.256883,1,0.00034779658,2.5399806e-05
22,10.42747,1,0.00032217077,3.364043e-07
23,9.1158087,1,0.00028164521,3.8006774e-06
24,7.9761465,1,0.00024643381,2.7225297e-05
25,7.0180023,1,0.00021683065,8.7585782e-08
26,6.0373027,1,0.00018653061,1.9532792e-06
27,5.8603786,1,0.0001810643,6.029127e-06
28,4.9222089,1,0.00015207829,1.5475441e-05
29,4.6412988,1,0.00014339919,1.8574152e-06
30,4.2982431,1,0.00013280002,9.2961902e-05
31,4.108581,1,0.00012694016,3.7776189e-05
32,3.8326599,1,0.0001184152,1.1533302e-06
33,3.726705,1,0.00011514158,4.3227247e-06
34,3.4791255,1,0.00010749228,1.5301909e-05
35,3.2032889,1,9.8969934e-05,1.2999223e-07
36,3.1050172,1,9.5933697e-05,1.584364e-05
37,2.8433639,1,8.7849565e-05,1.1313906e-06
38,2.6111082,1,8.0673713e-05,4.0454919e-05
39,2.4950744,1,7.708869e-05,4.7495736e-06
40,2.2177427,1,6.8520155e-05,2.1892468e-07
41,1.9433997,1,6.0043955e-05,1.5039618e-06
42,1.8491083,1,5.7130698e-05,2.3963924e-06
43,1.7918541,1,5.536175e-05,1.4849422e-06
44,1.6932478,1,5.2315175e-05,7.9412771e-06
45,1.5826362,1,4.8897681e-05,4.7457031e-06
46,1.4482505,1,4.4745653e-05,6.5442289e-06
47,1.323005,1,4.0876024e-05,1.2559357e-06
48,1.2549037,1,3.8771944e-05,8.1597551e-06
49,1.2153221,1,3.7549017e-05,2.0455782e-05
50,1.1503755,1,3.5542403e-05,4.6936271e-05
51,1.0828557,1,3.3456289e-05,1.0804592e-06
52,0.99965974,1,3.0885837e-05,1.260199e-05
53,0.94464785,1,2.918617e-05,4.2554714e-06
