r,J_learned,J_learned_std,count,J_exact
13.162144,6.0113549,0.45596449,205,-2.4857597
16.722808,6.7174713,0.096764362,205,-1.7980327
18.165126,6.9711057,0.057897143,205,-1.5462865
19.288268,7.1577696,0.052653537,205,-1.359196
20.327089,7.3243622,0.043933493,204,-1.1924929
21.176219,7.4568158,0.035216385,205,-1.0604286
21.910592,7.5683162,0.032161338,205,-0.94907275
22.60093,7.6705111,0.024621865,205,-0.84668943
23.232142,7.7624564,0.025755483,204,-0.75493432
23.827171,7.8474205,0.025316159,205,-0.66999856
24.383319,7.9255687,0.019694317,205,-0.59193032
24.875398,7.9934902,0.020737923,205,-0.5238815
25.39146,8.0638556,0.019911418,205,-0.45351814
25.863312,8.1274336,0.017552177,204,-0.39005418
26.320792,8.1881795,0.018046587,205,-0.32929589
26.776819,8.2481854,0.015555483,205,-0.26946758
27.22775,8.3065594,0.017919711,205,-0.21101261
27.706204,8.3678184,0.017002961,204,-0.14973665
28.195116,8.4296126,0.019324389,205,-0.087894776
28.661141,8.487884,0.017329721,205,-0.029657029
29.139995,8.5470776,0.016982775,205,0.029481208
29.583926,8.6012129,0.014974728,205,0.083685825
30.065748,8.6594968,0.01756003,204,0.14185742
30.532889,8.7151662,0.016166559,205,0.19761661
31.009594,8.771575,0.016613524,205,0.25388345
31.541819,8.8335719,0.021372963,205,0.3159654
32.04915,8.8920658,0.016690697,204,0.37443637
32.594477,8.9542083,0.018318279,205,0.43653649
33.116273,9.0129382,0.015319488,205,0.49524755
33.647194,9.0719523,0.019405057,205,0.55429105
34.284167,9.1419501,0.020679959,205,0.62422838
34.909183,9.2094924,0.017496807,204,0.69192417
35.61086,9.284389,0.024494457,205,0.76685927
36.457205,9.3734911,0.025702998,205,0.85579396
37.325067,9.4629745,0.027260695,205,0.94540006
38.309754,9.5627778,0.029178696,204,1.0451922
39.471225,9.6782151,0.036881837,205,1.1604424
40.8684,9.8133988,0.041943466,205,1.2957208
42.977511,10.010731,0.082028814,205,1.4933927
47.758398,10.431339,0.25530393,205,1.9151887
