r,J_learned,J_learned_std,count,J_exact
0.28613806,0.26287812,0.069939283,205,-0.69607365
0.48866305,0.41108956,0.031221841,205,-0.54983917
0.61782893,0.49476742,0.017843287,205,-0.46663248
0.70766981,0.54894807,0.013842666,205,-0.41258783
0.78373278,0.59253291,0.010199685,204,-0.36900936
0.84932272,0.62865123,0.011249591,205,-0.33289812
0.91291308,0.66249213,0.0088810154,205,-0.29909032
0.9705906,0.69219922,0.0084536387,205,-0.2693843
1.0284203,0.72115109,0.0079112306,204,-0.24046026
1.0802836,0.74643988,0.0070962907,205,-0.21521333
1.1328267,0.77139172,0.0078632122,205,-0.19026937
1.1818259,0.79414079,0.0062779455,205,-0.16755551
1.2289537,0.81551684,0.0053766586,205,-0.14618528
1.269946,0.83372703,0.005495626,204,-0.12796156
1.3183114,0.85483664,0.0064489553,205,-0.10687852
1.3674711,0.87582595,0.0058993074,205,-0.085895243
1.4173917,0.8966976,0.0060677382,205,-0.065028424
1.4655144,0.91640708,0.0053596557,204,-0.045317137
1.5109513,0.93466072,0.0051790563,205,-0.027055887
1.5576285,0.95307436,0.0056210461,205,-0.0086371317
1.6020009,0.97027374,0.0047929554,205,0.0085631583
1.6489999,0.98818221,0.0055110541,205,0.026464617
1.695444,1.0055662,0.0047103052,204,0.043845354
1.7386184,1.0214472,0.0050437839,205,0.059735967
1.7893711,1.0398084,0.0050564012,205,0.078098573
1.8380571,1.0571159,0.0050159785,205,0.095402091
1.8902479,1.0753295,0.0055951586,204,0.1136247
1.9418519,1.0930283,0.0057456595,205,0.13132168
2.0028121,1.1135274,0.0062936046,205,0.15183166
2.0617942,1.1329982,0.0053527358,205,0.17128349
2.1203919,1.1519534,0.0059142081,205,0.19024103
2.1862998,1.1728582,0.0054624571,204,0.21114271
2.2568877,1.194761,0.00687799,205,0.23305443
2.3327779,1.2177876,0.0069796094,205,0.25608858
2.4152013,1.242213,0.0072912108,205,0.28051885
2.5121645,1.2701898,0.0083032319,204,0.30851493
2.6236385,1.3013893,0.0093515564,205,0.33976103
2.7672321,1.3401805,0.013915458,205,0.37862295
2.9940672,1.3984786,0.020229175,205,0.43709246
3.4781335,1.5107237,0.066657587,205,0.55148869
