step,E_raw,E_clip,stderr,var
62,4.9469244,4.9469244,0.019376147,0.48701069
88,4.8807986,4.8807986,0.022877177,0.51297863
126,4.8038612,4.8029736,0.022717365,0.41171922
179,4.6775628,4.6700214,0.022483861,0.40390387
254,4.4290557,4.4171045,0.018724946,0.37447526
362,3.7395562,3.7238012,0.010315472,0.10320577
514,3.5861075,3.5854761,0.0029909048,0.010512917
732,3.5680921,3.5681262,0.0021495739,0.0051055714
1041,3.5636624,3.5636536,0.0017253062,0.0039808044
1482,3.5622545,3.5621378,0.001451685,0.0034316988
2108,3.5569718,3.5570132,0.0013478093,0.0022396318
3000,3.5535501,3.5534097,0.00093953063,0.00087598647
3500,3.5534845,3.5528914,0.00028411861,0.00082104672
