r,J_learned,J_learned_std,count
2.538742,35.635107,1.7533745,3072
3.6650842,36.09447,1.7666016,3072
4.2708196,36.182763,1.7766437,3072
4.7183754,36.273422,1.7692269,3072
5.1030968,36.341938,1.7601482,3072
5.4494604,36.455634,1.7806478,3072
5.7620708,36.427589,1.7633739,3072
6.0482348,36.471847,1.7426612,3072
6.3213685,36.52709,1.8291824,3072
6.584594,36.568876,1.7813233,3072
6.8392318,36.571138,1.8002721,3072
7.0870244,36.643932,1.806258,3072
7.3282386,36.592948,1.8318134,3072
7.5674592,36.671433,1.7570894,3072
7.8049202,36.685348,1.760128,3072
8.0435284,36.684687,1.8011891,3072
8.276965,36.694398,1.8262022,3072
8.5106495,36.718081,1.7944494,3072
8.7481721,36.746492,1.7533877,3072
8.9899302,36.765887,1.7508993,3072
9.2332233,36.724672,1.7945716,3072
9.4801589,36.777798,1.7531308,3072
9.7312895,36.710277,1.7620423,3072
9.9851635,36.787548,1.7504357,3072
10.239437,36.817137,1.7120986,3072
10.507261,36.862188,1.6747536,3072
10.77997,36.863417,1.7092172,3072
11.059881,36.878607,1.6988115,3072
11.344109,36.945744,1.7016572,3072
11.649868,37.000144,1.6645086,3072
11.955933,37.079536,1.6883847,3072
12.28735,37.054101,1.6294156,3072
12.62976,37.1513,1.6463798,3072
12.994039,37.249558,1.6159339,3072
13.394618,37.288605,1.565954,3072
13.860131,37.455616,1.5831139,3072
14.404392,37.596738,1.5481568,3072
15.064672,37.70094,1.5305468,3072
15.948538,37.985743,1.4528175,3072
17.808159,38.602242,1.4809471,3072
