mode,mu,sr_weight,plain_weight,residual_power
1,87800.126,1,1,0.028898631
2,75571.146,1,0.86071796,0.12736917
3,73851.531,1,0.84113241,0.028791622
4,13224.171,1,0.15061677,0.011367709
5,12217.102,1,0.13914675,0.024935056
6,1477.4339,1,0.016827241,1.8711019e-05
7,1003.2713,1,0.011426764,0.18153197
8,838.04203,1,0.0095448841,0.47762591
9,702.03563,1,0.0079958386,0.042478539
10,592.99303,1,0.0067538972,0.055008749
11,541.0118,1,0.0061618567,0.26176343
12,520.87318,1,0.0059324878,0.039287078
13,483.78925,1,0.0055101202,0.00027258803
14,462.84592,1,0.0052715861,0.0079389927
15,444.35966,1,0.0050610367,0.00018378405
16,386.87821,1,0.0044063514,0.027461254
17,368.23307,1,0.0041939924,0.044113257
18,282.51579,1,0.003217715,0.032719295
19,267.12142,1,0.0030423808,0.010428247
20,225.47183,1,0.0025680126,0.00041744004
21,219.43638,1,0.0024992718,0.0078625311
22,206.80038,1,0.002355354,0.022055997
23,187.23808,1,0.0021325491,0.0056572653
24,172.85481,1,0.0019687308,0.016754486
25,167.93833,1,0.0019127345,0.012392065
26,157.66067,1,0.001795677,0.035652062
27,152.87587,1,0.0017411805,0.32848277
28,144.82148,1,0.001649445,0.0015831015
29,134.20623,1,0.0015285425,0.090749206
30,124.95637,1,0.0014231913,0.15661009
31,120.43081,1,0.0013716473,0.050305993
32,117.82823,1,0.0013420052,0.03255252
33,110.25375,1,0.0012557357,0.045527453
34,105.19323,1,0.0011980989,0.0086628648
35,99.339485,1,0.0011314276,0.010662034
36,97.368422,1,0.0011089782,0.033169536
37,92.978944,1,0.0010589842,0.044123862
38,88.342895,1,0.0010061819,0.10650665
39,87.386696,1,0.00099529123,0.0036442694
40,85.636745,1,0.00097536016,0.036143718
41,81.703157,1,0.00093055854,0.10567216
42,78.928033,1,0.00089895124,3.8391078e-05
43,74.412126,1,0.0008475173,0.0040944158
44,72.632573,1,0.00082724907,0.10424502
45,67.888138,1,0.00077321231,0.014197417
46,65.898551,1,0.0007505519,0.15288968
47,62.534574,1,0.00071223786,0.041889321
48,61.154145,1,0.00069651546,5.9623029e-05
49,60.433368,1,0.00068830616,0.043679326
50,59.28678,1,0.0006752471,0.0043893675
51,56.678485,1,0.0006455399,0.065639229
52,55.58489,1,0.00063308439,0.0017793023
53,52.685111,1,0.00060005735,0.12038303
54,52.215481,1,0.0005947085,0.018645583
55,49.948359,1,0.0005688871,0.039078705
56,49.279726,1,0.0005612717,0.071581995
57,48.215165,1,0.00054914688,0.082930327
58,46.831792,1,0.00053339094,0.053946222
59,45.388923,1,0.00051695737,0.024431704
60,45.110174,1,0.00051378256,0.067266497
61,43.482345,1,0.0004952424,0.013908984
62,42.9207,1,0.00048884554,0.012156873
63,42.076143,1,0.00047922645,0.0012319585
64,41.435167,1,0.00047192605,0.02822732
65,40.139465,1,0.00045716864,0.17479135
66,38.977619,1,0.0004439358,0.025747784
67,38.487322,1,0.00043835156,0.057296341
68,36.948521,1,0.00042082537,0.00054952865
69,36.818782,1,0.00041934771,0.01729224
70,35.379974,1,0.0004029604,0.00018760214
71,34.404807,1,0.00039185373,0.0064277858
72,34.326995,1,0.00039096749,0.018596348
73,33.341985,1,0.00037974872,0.030652784
74,32.025912,1,0.00036475929,0.016315869
75,31.651075,1,0.00036049009,0.0010947074
76,31.341388,1,0.0003569629,0.10444995
77,30.879397,1,0.00035170105,0.0074456344
78,30.035942,1,0.00034209453,0.06880015
79,29.405103,1,0.00033490958,0.017924903
80,29.005669,1,0.00033036022,0.066348739
81,28.439884,1,0.0003239162,3.0995949e-05
82,28.029157,1,0.00031923823,0.13229283
83,27.453869,1,0.00031268599,0.00040393364
