step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.99999891,0.10508351,1.0047391e+10,4.3402156,1023
88,1,0.090349234,1.6298065e+09,4.6499496,1023
126,1,0.10030098,2.2187736e+09,4.2170673,1023
179,1,0.10951843,1.4865403e+09,4.0124298,1023
254,1,0.13850237,5.3321895e+08,3.952407,1023
362,1,0.1255549,2.8971546e+08,3.804211,1023
514,1,0.082144649,1.4662459e+08,3.8089802,1023
732,1,0.14245063,72712490,3.7473797,1023
1041,1,0.10270992,27846800,3.8292376,1023
1482,1,0.099469812,21859295,3.833077,1023
2108,1,0.083782188,12350536,3.8130961,1023
3000,1,0.077752031,6657720.1,3.8968376,1023
3500,1,0.042561508,39438282,3.9629916,2047
