step,E_raw,E_clip,stderr,var
62,20.287196,20.287196,0.023849716,0.57688689
88,20.282657,20.282657,0.019791195,0.45116334
126,20.24659,20.24659,0.021786555,0.39304621
179,20.245547,20.245547,0.013945211,0.30894657
254,20.244319,20.244809,0.01682238,0.28851932
362,20.201232,20.202701,0.016784144,0.30977397
514,20.1693,20.170849,0.015546722,0.26066111
732,20.172625,20.172625,0.011329443,0.13533371
1041,20.161968,20.158369,0.0095886479,0.08369286
1482,20.158282,20.160129,0.0082234277,0.063499204
2108,20.171608,20.173572,0.0051559946,0.039659825
3000,20.157733,20.161399,0.005766233,0.04205334
3500,20.155831,20.156713,0.0020364671,0.027861199
