r,J_learned,J_learned_std,count
0.44683362,9.6179154,0.8075875,3072
0.73220369,9.7633855,0.82642544,3072
0.89814953,9.8587178,0.83330997,3072
1.0242989,9.8819431,0.84522587,3072
1.1330527,9.9247787,0.82618681,3072
1.2266015,9.9413314,0.84344251,3072
1.312683,9.9515928,0.84929048,3072
1.3926807,9.9694745,0.8164465,3072
1.4688752,9.9662167,0.83199445,3072
1.5422191,9.9980822,0.844093,3072
1.610329,10.002275,0.81736252,3072
1.6760809,10.017178,0.85235849,3072
1.740642,10.032602,0.81710837,3072
1.8026179,10.038341,0.84542083,3072
1.8652665,10.03582,0.82927259,3072
1.9282943,10.053377,0.83981645,3072
1.9895454,10.079431,0.82934707,3072
2.0497354,10.082816,0.84060149,3072
2.1101631,10.094551,0.8176892,3072
2.1720362,10.088135,0.84263704,3072
2.2355212,10.103977,0.81463999,3072
2.2981884,10.153715,0.81932544,3072
2.3606458,10.132863,0.81461947,3072
2.4249061,10.194135,0.8160692,3072
2.48942,10.194424,0.79549271,3072
2.5556507,10.177856,0.81056991,3072
2.6233467,10.195857,0.79789022,3072
2.6937866,10.23324,0.77798106,3072
2.765786,10.23617,0.77506836,3072
2.8414879,10.277179,0.77381552,3072
2.9223918,10.28687,0.75681677,3072
3.0078391,10.371769,0.75858223,3072
3.1002852,10.379294,0.74891965,3072
3.1996062,10.411887,0.74207872,3072
3.3103162,10.466456,0.73795083,3072
3.4337721,10.476737,0.71505107,3072
3.5743083,10.578019,0.70353193,3072
3.7546522,10.667525,0.70564108,3072
4.0057147,10.808096,0.68943537,3072
4.5563883,11.130303,0.67847783,3072
