index,eigenvalue
1,354.25059
2,217.48487
3,175.76576
4,129.89853
5,60.066761
6,14.513706
7,11.511885
8,10.888568
9,4.3956836
10,3.0554131
11,2.7205198
12,2.4446784
13,2.3529083
14,1.9615812
15,1.5099444
16,1.2459318
17,0.98275484
18,0.93826266
19,0.74177154
20,0.61675578
21,0.49837453
22,0.45400855
23,0.4042949
24,0.39167974
25,0.38137801
26,0.31916864
27,0.30692868
28,0.28397102
29,0.25671047
30,0.22952179
31,0.20129852
32,0.19150956
33,0.16134253
34,0.14744837
35,0.13455107
36,0.11827516
37,0.10434668
38,0.096482408
39,0.087249976
40,0.082590705
41,0.079320515
42,0.072773454
43,0.067836718
44,0.066481388
45,0.057235071
46,0.04985779
47,0.045899222
48,0.044213194
49,0.041241488
50,0.039785729
51,0.036413447
52,0.034072692
53,0.030455502
54,0.028165601
55,0.027338076
56,0.025686419
57,0.0243478
58,0.021949628
59,0.020162619
60,0.019242681
61,0.018377804
62,0.01759861
63,0.016968757
64,0.01608577
65,0.015692031
66,0.014175494
67,0.013852437
68,0.013034719
69,0.011647141
70,0.011390224
71,0.010849087
72,0.010193799
73,0.0096581779
74,0.0092189044
75,0.0088972281
76,0.0080738218
77,0.0077671194
78,0.0073797431
79,0.0070254209
80,0.0068344213
81,0.0064393029
82,0.0059530317
83,0.0057342472
84,0.0055400519
85,0.0049841652
86,0.0049250418
87,0.004809049
88,0.0045425163
89,0.0043342189
90,0.0041962562
91,0.0039359158
92,0.0037853608
93,0.0036610715
94,0.0035013534
95,0.0034732814
96,0.0032921024
97,0.0031012846
98,0.0028013559
99,0.0026679611
100,0.0025981908
101,0.0024326004
102,0.0023938509
103,0.0023086575
104,0.0021033547
105,0.0020162324
106,0.0019530579
107,0.0019219335
108,0.0018161259
109,0.001703482
110,0.0016362374
111,0.0015214267
112,0.0014863539
113,0.0014130696
114,0.0013029121
115,0.0012112803
116,0.0011598259
117,0.0010894065
118,0.0010345895
119,0.00099642653
120,0.00096652268
121,0.00091566558
122,0.00084589106
123,0.00078672957
124,0.00074800506
125,0.00070570349
126,0.00065497489
127,0.00055205255
128,0
