step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
9,1,0.87867832,53219050,4.1260193,255
13,1,0.84728587,33816989,4.0239725,255
18,1,0.8701839,12223234,5.0719038,255
26,1,0.85315551,14721931,5.4589351,255
37,1,0.82212547,17249678,4.54902,255
53,1,0.75935944,17162898,4.179047,255
76,1,0.66523027,17681401,4.2089539,255
108,1,0.67009571,17362892,3.924658,255
155,1,0.13310517,11238533,4.1336924,255
221,1,0.11416746,10450073,4.2560846,255
315,1,0.15620595,11692062,3.6916246,255
450,1,0.14299313,5577999.5,4.3955537,255
