step,E_raw,E_clip,stderr,var
9,78.969265,78.969265,0.3451331,42.225207
13,77.547705,77.547705,0.39935268,41.764492
18,76.687548,76.687548,0.34102486,32.010467
26,75.433793,75.433793,0.27939956,23.716935
37,74.027556,74.027556,0.22070923,23.607049
53,71.791897,71.791897,0.20544749,18.56051
76,69.810316,69.810316,0.19093221,10.152287
108,67.175712,67.175712,0.15531137,5.1047886
155,66.001009,66.001009,0.055577679,1.1528982
221,65.861264,65.863762,0.07199344,1.0019826
315,65.829497,65.829497,0.056380788,0.81352748
450,65.769668,65.769668,0.053574461,0.74717195
