r,J_learned,J_learned_std,count
0.5151376,47.371954,1.7500833,423
0.85553347,47.508186,1.7572477,422
1.0406206,47.634452,1.6910116,423
1.1769184,47.650201,1.6920114,422
1.2952003,47.697508,1.5869176,422
1.4045163,47.527307,1.7756072,423
1.5087848,47.54728,1.7031166,422
1.6096264,47.521655,1.6667146,422
1.7032918,47.589355,1.8023849,423
1.7939521,47.642894,1.7156296,422
1.8771807,47.830733,1.6113459,423
1.9561643,47.666455,1.7343096,422
2.0326667,47.700057,1.7682453,422
2.117064,47.646454,1.780808,423
2.1986251,47.860236,1.6806362,422
2.2794752,47.750366,1.7251211,422
2.3621757,47.786434,1.6115533,423
2.4423093,47.642983,1.7466506,422
2.5213835,47.785736,1.6300357,423
2.6029112,47.786149,1.7347026,422
2.6758741,47.740252,1.7314404,422
2.7593495,47.84101,1.818642,423
2.8419886,47.900974,1.64216,422
2.9235365,47.793187,1.6976404,423
3.0122659,47.851631,1.6478963,422
3.1007126,47.92381,1.6326616,422
3.1912136,47.9105,1.7664582,423
3.2817889,47.97125,1.6216585,422
3.3784963,48.039254,1.557124,422
3.4783354,47.94705,1.68049,423
3.5864029,47.872609,1.7122475,422
3.6970436,48.017528,1.5845089,422
3.8210387,48.215508,1.5727927,423
3.9497258,48.165898,1.497979,422
4.0951387,48.101723,1.5379493,423
4.2526588,48.210834,1.5387286,422
4.433237,48.226762,1.6066692,422
4.6477446,48.333483,1.4524965,423
4.9373611,48.673925,1.5322733,422
5.5280543,49.18242,1.6311294,423
