mode,mu,sr_weight,plain_weight,residual_power
1,45344.076,1,1,0.34487177
2,27838.064,1,0.61392946,1.0758278
3,22498.017,1,0.49616221,3.8067234
4,16627.012,1,0.36668543,1.3304199
5,7688.5454,1,0.16956009,0.35828343
6,1857.7544,1,0.040970167,0.81239908
7,1473.5213,1,0.032496445,1.6403708
8,1393.7367,1,0.030736908,0.010413889
9,562.6475,1,0.012408401,4.4310422
10,391.09287,1,0.0086250048,0.63323578
11,348.22654,1,0.007679648,0.094310887
12,312.91884,1,0.0069009861,2.6200154
13,301.17226,1,0.0066419319,0.25351291
14,251.08239,1,0.00553727,0.00023645618
15,193.27288,1,0.0042623623,0.41988671
16,159.47927,1,0.0035170916,0.0012909652
17,125.79262,1,0.0027741798,0.12640335
18,120.09762,1,0.0026485846,2.5748471
19,94.946758,1,0.0020939176,0.032320934
20,78.944739,1,0.0017410155,2.4263483
21,63.79194,1,0.0014068418,1.4586129
22,58.113094,1,0.0012816028,1.2771319
23,51.749747,1,0.0011412681,0.14349213
24,50.135007,1,0.0011056573,0.75280682
25,48.816385,1,0.0010765769,0.079802268
26,40.853586,1,0.00090096855,0.047536913
27,39.286871,1,0.00086641684,0.5241411
28,36.348291,1,0.00080161057,7.5876007e-05
29,32.858941,1,0.00072465785,2.56147
30,29.378789,1,0.00064790798,1.1848605
31,25.76621,1,0.00056823764,0.00015818423
32,24.513224,1,0.00054060478,4.2192953
33,20.651844,1,0.00045544745,0.19032808
34,18.873392,1,0.00041622619,0.90635933
35,17.222537,1,0.00037981891,0.079908506
36,15.13922,1,0.00033387427,0.35112981
37,13.356375,1,0.00029455612,0.53814052
38,12.349748,1,0.00027235638,4.3937736
39,11.167997,1,0.00024629451,0.065009107
40,10.57161,1,0.00023314204,0.26862106
41,10.153026,1,0.00022391075,1.1166102
42,9.3150022,1,0.00020542931,0.0033833381
43,8.6830999,1,0.00019149359,2.3093005
44,8.5096177,1,0.00018766768,0.17513577
45,7.3260891,1,0.00016156662,0.98965693
46,6.3817971,1,0.00014074158,0.68514853
47,5.8751005,1,0.0001295671,0.76686751
48,5.6592889,1,0.00012480768,0.22187851
49,5.2789105,1,0.00011641897,0.30178967
50,5.0925733,1,0.00011230956,0.018476116
51,4.6609213,1,0.00010279008,0.28423027
52,4.3613046,1,9.6182456e-05,1.1663184
53,3.8983042,1,8.5971633e-05,0.055207924
54,3.6051969,1,7.9507561e-05,0.055611071
55,3.4992737,1,7.7171574e-05,0.65389232
56,3.2878617,1,7.2509178e-05,0.82729663
57,3.1165184,1,6.8730443e-05,0.095736946
58,2.8095523,1,6.1960736e-05,1.2845972
59,2.5808152,1,5.6916259e-05,0.45344518
60,2.4630632,1,5.4319405e-05,0.36077247
61,2.3523589,1,5.1877977e-05,0.11658921
62,2.2526221,1,4.9678421e-05,1.0095607
63,2.1720009,1,4.7900435e-05,0.31011163
64,2.0589785,1,4.5407884e-05,0.25916392
65,2.0085799,1,4.4296413e-05,0.024529556
66,1.8144633,1,4.0015443e-05,0.11097954
67,1.773112,1,3.9103498e-05,0.003637596
68,1.668444,1,3.6795192e-05,1.1720264
69,1.4908341,1,3.2878255e-05,1.8449897
70,1.4579487,1,3.2153014e-05,0.20999454
71,1.3886831,1,3.0625459e-05,0.54271512
72,1.3048063,1,2.8775674e-05,0.8895418
73,1.2362468,1,2.7263689e-05,0.056069529
74,1.1800198,1,2.6023681e-05,0.52813822
75,1.1388452,1,2.5115634e-05,0.14713724
76,1.0334492,1,2.2791272e-05,0.0088097188
77,0.99419128,1,2.1925494e-05,0.27343017
78,0.94460712,1,2.0831985e-05,0.18806546
79,0.89925387,1,1.9831783e-05,0.45497871
80,0.87480592,1,1.9292618e-05,0.75595466
81,0.82423078,1,1.8177254e-05,0.28982728
82,0.76198806,1,1.6804578e-05,0.24368984
83,0.73398364,1,1.618698e-05,0.75191948
84,0.70912664,1,1.5638793e-05,6.3963706e-05
85,0.63797315,1,1.4069603e-05,2.6893067
86,0.63040536,1,1.3902706e-05,0.02488934
87,0.61555827,1,1.3575274e-05,1.3097244
88,0.58144208,1,1.282289e-05,1.1869279
89,0.55478001,1,1.2234895e-05,1.2179307
90,0.5371208,1,1.1845446e-05,0.7562486
91,0.50379722,1,1.1110541e-05,0.50789999
92,0.48452618,1,1.0685545e-05,0.15627741
93,0.46861715,1,1.0334694e-05,0.6266875
94,0.44817323,1,9.883832e-06,1.4368642
95,0.44458002,1,9.8045888e-06,0.061029161
96,0.4213891,1,9.2931456e-06,0.26644828
97,0.39696443,1,8.7544938e-06,2.4918271
98,0.35857356,1,7.9078369e-06,0.32340896
99,0.34149903,1,7.5312821e-06,0.15111489
100,0.33256843,1,7.3343302e-06,0.42147198
101,0.31137285,1,6.8668914e-06,0.0086535722
102,0.30641291,1,6.757507e-06,0.17528865
103,0.29550815,1,6.5170179e-06,0.46679035
104,0.2692294,1,5.9374768e-06,0.21697765
105,0.25807774,1,5.6915427e-06,0.033557473
106,0.24999141,1,5.51321e-06,0.072697227
107,0.24600749,1,5.4253502e-06,0.25733677
108,0.23246411,1,5.12667e-06,0.11969872
109,0.21804569,1,4.8086919e-06,0.19982567
110,0.20943838,1,4.6188698e-06,0.071773423
111,0.19474262,1,4.2947754e-06,2.1547415
112,0.1902533,1,4.1957697e-06,0.51266845
113,0.18087291,1,3.9888983e-06,1.0798456
114,0.16677275,1,3.6779391e-06,0.44557982
115,0.15504388,1,3.4192752e-06,1.0228282
116,0.14845772,1,3.2740267e-06,0.040906999
117,0.13944403,1,3.0752424e-06,0.17919129
118,0.13242745,1,2.9205017e-06,0.57353901
119,0.1275426,1,2.8127731e-06,0.58683455
120,0.1237149,1,2.7283587e-06,0.16162312
121,0.11720519,1,2.5847962e-06,0.16585805
122,0.10827406,1,2.3878324e-06,0.36486128
123,0.10070139,1,2.2208278e-06,0.064336656
124,0.095744647,1,2.1115139e-06,0.75993118
125,0.090330046,1,1.9921025e-06,0.056912614
126,0.083836785,1,1.8489027e-06,0.078863124
127,0.070662727,1,1.5583673e-06,0.055236415
128,0,0,0,4.2273749e-22
