mode,mu,sr_weight,plain_weight,residual_power
1,114188.42,1,1,4.4396178e-06
2,93164.431,1,0.81588332,2.9930858e-05
3,10703.659,1,0.093736814,0.00013802042
4,7705.1366,1,0.067477388,1.6984538e-05
5,5497.2646,1,0.048142047,0.00084427941
6,5107.7168,1,0.044730601,0.00040373849
7,3474.1025,1,0.030424297,3.4009248e-06
8,2341.3145,1,0.020503956,3.2325404e-05
9,2292.3603,1,0.020075242,2.6627432e-06
10,1934.6161,1,0.016942313,1.5805564e-05
11,1871.4029,1,0.016388727,2.5565286e-06
12,1285.933,1,0.011261501,8.8728295e-06
13,1121.5062,1,0.0098215399,9.5432787e-05
14,936.63093,1,0.0082025033,1.1518306e-05
15,580.46758,1,0.0050834188,7.5978451e-06
16,520.04984,1,0.0045543131,0.00022810251
17,475.7868,1,0.0041666815,1.176916e-06
18,380.0029,1,0.0033278584,9.6262529e-06
19,319.08473,1,0.0027943702,8.4086305e-05
20,273.43388,1,0.0023945849,2.087487e-06
21,251.76623,1,0.0022048315,9.598505e-05
22,202.46354,1,0.0017730654,7.3798652e-05
23,191.15524,1,0.0016740335,1.1095833e-05
24,164.88265,1,0.0014439524,6.5728141e-05
25,149.0174,1,0.0013050132,6.298699e-05
26,137.03175,1,0.0012000494,0.00012754482
27,127.12852,1,0.0011133223,4.7518833e-07
28,120.43738,1,0.0010547249,8.6785101e-05
29,109.9504,1,0.00096288573,0.00013254982
30,88.431582,1,0.00077443561,4.1103889e-05
31,86.624342,1,0.00075860878,9.7051385e-06
32,84.385844,1,0.00073900524,0.00045283765
33,78.483123,1,0.00068731243,0.00014345676
34,77.393458,1,0.00067776973,0.00019185021
35,69.496723,1,0.00060861443,1.3309508e-05
36,68.242236,1,0.00059762832,1.1216021e-05
37,61.454032,1,0.00053818093,8.9290983e-06
38,59.003838,1,0.00051672346,3.3648617e-05
39,53.528127,1,0.00046877017,1.3749114e-05
40,50.347518,1,0.00044091612,4.180236e-05
41,46.940653,1,0.00041108066,8.8812166e-05
42,38.322752,1,0.00033560978,0.00010560496
43,37.282061,1,0.00032649598,3.2826431e-05
44,33.985937,1,0.00029763032,2.325306e-05
45,32.61527,1,0.00028562676,5.6449599e-05
46,30.624018,1,0.00026818846,0.00016807364
47,29.35084,1,0.00025703866,3.5479908e-05
48,28.434591,1,0.00024901466,7.4623071e-06
49,27.680733,1,0.00024241278,1.3769648e-05
50,25.662054,1,0.00022473428,4.0198296e-05
51,25.521551,1,0.00022350383,3.3965615e-05
52,23.83209,1,0.00020870846,2.2136896e-05
53,22.706737,1,0.00019885323,7.8506182e-05
