index,eigenvalue
1,2.228895
2,1.0207407
3,0.33136451
4,0.17560087
5,0.16602984
6,0.10814474
7,0.095419764
8,0.075083935
9,0.037042522
10,0.025793684
11,0.016085391
12,0.0144727
13,0.012461927
14,0.0080694432
15,0.0067721418
16,0.0052781705
17,0.0037410105
18,0.0024838944
19,0.002188828
20,0.0018787069
21,0.0015951218
22,0.0014191532
23,0.0013048127
24,0.0012703224
25,0.00097374667
26,0.00087853125
27,0.00077141168
28,0.00067245688
29,0.00054405624
30,0.00048655034
31,0.00039707784
32,0.00032368527
33,0.00030260013
34,0.00028373878
35,0.00026087867
36,0.00023106636
37,0.00022292116
38,0.00019676691
39,0.00016587227
40,0.00016228759
41,0.00014780071
42,0.00012951029
43,0.00012224799
44,0.00011531094
45,0.00010514414
46,0.0001016848
47,9.4411302e-05
48,9.080133e-05
49,8.1086972e-05
50,7.3903283e-05
51,6.911108e-05
52,6.6427537e-05
53,5.9447901e-05
54,5.2924693e-05
55,5.1701633e-05
56,4.7606589e-05
57,4.6480035e-05
58,4.3182838e-05
59,4.0703886e-05
60,3.9094602e-05
61,3.703354e-05
62,3.392906e-05
63,3.0012733e-05
64,2.9181021e-05
65,2.7890805e-05
66,2.5212839e-05
67,2.4374184e-05
68,2.27122e-05
69,2.1873139e-05
70,1.9786975e-05
71,1.8212506e-05
72,1.7298181e-05
73,1.6756288e-05
74,1.5562002e-05
75,1.4850562e-05
76,1.413978e-05
77,1.3514666e-05
78,1.2769917e-05
79,1.2164109e-05
80,1.1543739e-05
81,1.138584e-05
82,1.0529137e-05
83,1.0023944e-05
84,9.8521153e-06
85,9.3197895e-06
86,8.9218585e-06
87,8.5972962e-06
88,8.3784895e-06
89,7.9794916e-06
90,7.5674941e-06
91,7.2245315e-06
92,6.8407502e-06
93,6.3710076e-06
94,6.3512906e-06
95,5.9821378e-06
96,5.7913756e-06
97,5.6304246e-06
98,5.2470007e-06
99,4.8529289e-06
100,4.6457169e-06
101,4.6158764e-06
102,4.3304783e-06
103,4.1527151e-06
104,3.9973709e-06
105,3.9176109e-06
106,3.7546152e-06
107,3.3967051e-06
108,3.2394287e-06
109,3.1330831e-06
110,3.0760651e-06
111,2.865302e-06
112,2.8156149e-06
113,2.6824981e-06
114,2.6589536e-06
115,2.493546e-06
116,2.311661e-06
117,2.2316358e-06
118,2.1582103e-06
119,2.1192449e-06
120,2.0004592e-06
121,1.9160066e-06
122,1.8777687e-06
123,1.8040535e-06
124,1.7850157e-06
125,1.7307309e-06
126,1.6887579e-06
127,1.5658672e-06
128,1.4868027e-06
129,1.3844579e-06
130,1.3700739e-06
131,1.3159307e-06
132,1.2695084e-06
133,1.2222043e-06
134,1.1918642e-06
135,1.1481207e-06
136,1.0650028e-06
137,1.0537363e-06
138,1.003084e-06
139,9.5931078e-07
140,9.3621574e-07
141,9.2400172e-07
142,9.0084687e-07
143,8.6524475e-07
144,8.4370294e-07
145,8.1373182e-07
146,7.8313086e-07
147,7.7016828e-07
148,7.5648287e-07
149,7.2910267e-07
150,7.1441122e-07
151,6.9799294e-07
152,6.6160128e-07
153,6.4096938e-07
154,6.3162642e-07
155,5.9923646e-07
156,5.8272257e-07
157,5.6194909e-07
158,5.3956466e-07
159,5.1791497e-07
160,5.0973653e-07
161,4.8741351e-07
162,4.8183451e-07
163,4.7827858e-07
164,4.6462427e-07
165,4.3240565e-07
166,4.1420561e-07
167,4.1227014e-07
168,4.0510755e-07
169,3.880357e-07
170,3.8227136e-07
171,3.7090607e-07
172,3.5056695e-07
173,3.4285288e-07
174,3.2955861e-07
175,3.2258813e-07
176,3.116858e-07
177,3.0583723e-07
178,3.016977e-07
179,2.9760897e-07
180,2.8454917e-07
181,2.807964e-07
182,2.7287493e-07
183,2.6160942e-07
184,2.5660435e-07
185,2.5367637e-07
186,2.4136269e-07
187,2.4013938e-07
188,2.3452409e-07
189,2.2432649e-07
190,2.1663039e-07
191,2.1176511e-07
192,2.0590401e-07
193,2.0160961e-07
194,1.9345572e-07
195,1.8802862e-07
196,1.8074492e-07
197,1.7843221e-07
198,1.7217127e-07
199,1.6748282e-07
200,1.6477455e-07
201,1.5869258e-07
202,1.4921684e-07
203,1.464474e-07
204,1.4400688e-07
205,1.4123415e-07
206,1.3746253e-07
207,1.3316704e-07
208,1.2759991e-07
209,1.2516089e-07
210,1.2169268e-07
211,1.1755164e-07
212,1.1580781e-07
213,1.1543606e-07
214,1.1152987e-07
215,1.1093483e-07
216,1.1012503e-07
217,1.0799259e-07
218,1.0705381e-07
219,1.023872e-07
220,9.6822175e-08
221,9.5098845e-08
222,9.2096563e-08
223,8.9286537e-08
224,8.6581392e-08
225,8.4050354e-08
226,8.2545064e-08
227,8.0617032e-08
228,7.885049e-08
229,7.6686045e-08
230,7.5136176e-08
231,7.40532e-08
232,7.2755405e-08
233,7.1979092e-08
234,6.9544361e-08
235,6.8662852e-08
236,6.570574e-08
237,6.4778963e-08
238,6.3307128e-08
239,6.1524229e-08
240,6.0684619e-08
241,5.8889311e-08
242,5.627525e-08
243,5.5584691e-08
244,5.4862566e-08
245,5.4177861e-08
246,5.2595164e-08
247,5.1586078e-08
248,5.0521017e-08
249,4.9622513e-08
250,4.8595852e-08
251,4.7440719e-08
252,4.6812392e-08
253,4.4382816e-08
254,4.351186e-08
255,4.2436669e-08
256,4.1654634e-08
257,4.0340115e-08
258,3.9461798e-08
259,3.9348401e-08
260,3.8572312e-08
261,3.765882e-08
262,3.7023783e-08
263,3.6541694e-08
264,3.4816392e-08
265,3.4482663e-08
266,3.3370943e-08
267,3.3274919e-08
268,3.1853192e-08
269,3.147672e-08
270,3.0989097e-08
271,3.0835339e-08
272,3.0115782e-08
273,2.8817117e-08
274,2.8491914e-08
275,2.769262e-08
276,2.7311546e-08
277,2.5761005e-08
278,2.4844991e-08
279,2.4565653e-08
280,2.3771024e-08
281,2.3352007e-08
282,2.3131908e-08
283,2.2766005e-08
284,2.2454785e-08
285,2.2073451e-08
286,2.1700523e-08
287,2.1284356e-08
288,2.0250626e-08
289,2.0032248e-08
290,1.9345528e-08
291,1.8507413e-08
292,1.8294177e-08
293,1.800819e-08
294,1.767755e-08
295,1.7433127e-08
296,1.7086809e-08
297,1.6835889e-08
298,1.6257701e-08
299,1.6199333e-08
300,1.6049001e-08
301,1.5692005e-08
302,1.5107969e-08
303,1.4751555e-08
304,1.4288386e-08
305,1.4205002e-08
306,1.3905266e-08
307,1.3679286e-08
308,1.3306217e-08
309,1.2877231e-08
310,1.2866178e-08
311,1.2453088e-08
312,1.2277017e-08
313,1.2029675e-08
314,1.1577894e-08
315,1.1511985e-08
316,1.1296529e-08
317,1.1068782e-08
318,1.0948901e-08
319,1.0836926e-08
320,1.0454959e-08
321,1.0181138e-08
322,1.0007039e-08
323,9.9079365e-09
324,9.5687337e-09
325,9.5477248e-09
326,9.2535769e-09
327,8.9878616e-09
328,8.8194896e-09
329,8.7141138e-09
330,8.5563008e-09
331,8.4856416e-09
332,8.3428141e-09
333,8.2428864e-09
334,7.8875525e-09
335,7.7932146e-09
336,7.5636044e-09
337,7.4578622e-09
338,7.3682274e-09
339,7.167569e-09
340,7.1467657e-09
341,6.8699821e-09
342,6.7677764e-09
343,6.7106197e-09
344,6.3435417e-09
345,6.2471201e-09
346,6.1067653e-09
347,6.1004491e-09
348,5.9547485e-09
349,5.8642878e-09
350,5.6956118e-09
351,5.6169691e-09
352,5.5064565e-09
353,5.44001e-09
354,5.3808302e-09
355,5.2796077e-09
356,5.1134418e-09
357,5.0089446e-09
358,4.9195225e-09
359,4.8425155e-09
360,4.7732828e-09
361,4.6752109e-09
362,4.5763533e-09
363,4.4956034e-09
364,4.3724104e-09
365,4.2576302e-09
366,4.1815057e-09
367,4.0746611e-09
368,4.0108411e-09
369,3.8915128e-09
370,3.8735356e-09
371,3.7874633e-09
372,3.7127713e-09
373,3.6507649e-09
374,3.5554864e-09
375,3.5360318e-09
376,3.4703406e-09
377,3.3471224e-09
378,3.3077092e-09
379,3.2720195e-09
380,3.2244426e-09
381,3.0989007e-09
382,3.0802626e-09
383,2.9811076e-09
384,2.9315313e-09
385,2.8795725e-09
386,2.8315922e-09
387,2.8174341e-09
388,2.7739802e-09
389,2.6880198e-09
390,2.6669414e-09
391,2.6013205e-09
392,2.595087e-09
393,2.5130522e-09
394,2.4802896e-09
395,2.4373517e-09
396,2.362299e-09
397,2.3532387e-09
398,2.2698768e-09
399,2.2430303e-09
400,2.1845247e-09
401,2.1757292e-09
402,2.1368759e-09
403,2.0927722e-09
404,2.0632332e-09
405,1.9816015e-09
406,1.9630884e-09
407,1.9389862e-09
408,1.9087407e-09
409,1.8753534e-09
410,1.8345187e-09
411,1.7906624e-09
412,1.761722e-09
413,1.7374897e-09
414,1.6956092e-09
415,1.6546795e-09
416,1.6197369e-09
417,1.5877717e-09
418,1.5763125e-09
419,1.5489687e-09
420,1.4853727e-09
421,1.4579673e-09
422,1.4557039e-09
423,1.4022615e-09
424,1.3800499e-09
425,1.3514089e-09
426,1.3364477e-09
427,1.2949198e-09
428,1.2801158e-09
429,1.2552502e-09
430,1.24204e-09
431,1.2157017e-09
432,1.1850035e-09
433,1.1597775e-09
434,1.1500296e-09
435,1.1392855e-09
436,1.1224325e-09
437,1.0969866e-09
438,1.04814e-09
439,1.0476882e-09
440,1.0383391e-09
441,1.0180318e-09
442,9.875295e-10
443,9.7102568e-10
444,9.6674286e-10
445,9.5559199e-10
446,9.3782179e-10
447,9.1864009e-10
448,8.9227276e-10
449,8.7589589e-10
450,8.6588822e-10
451,8.4841495e-10
452,8.3453382e-10
453,8.1651073e-10
454,8.055041e-10
455,7.8405518e-10
456,7.6491623e-10
457,7.5038356e-10
458,7.3354105e-10
459,7.1968299e-10
460,7.0695084e-10
461,6.9357069e-10
462,6.874882e-10
463,6.7807267e-10
464,6.6652348e-10
465,6.4966879e-10
466,6.4736435e-10
467,6.4032452e-10
468,6.1579172e-10
469,5.9789756e-10
470,5.8846452e-10
471,5.8231221e-10
472,5.7606527e-10
473,5.5905903e-10
474,5.5577715e-10
475,5.4553114e-10
476,5.405622e-10
477,5.2773183e-10
478,5.2508998e-10
479,5.0890286e-10
480,5.0044125e-10
481,4.8816628e-10
482,4.8248952e-10
483,4.7467104e-10
484,4.6023312e-10
485,4.5981502e-10
486,4.5530058e-10
487,4.4373512e-10
488,4.3039711e-10
489,4.2083929e-10
490,4.1819957e-10
491,4.1032377e-10
492,4.0246891e-10
493,3.9461365e-10
494,3.9327674e-10
495,3.8652177e-10
496,3.8541747e-10
497,3.795216e-10
498,3.7092425e-10
499,3.5754138e-10
500,3.4565513e-10
501,3.4449037e-10
502,3.4319453e-10
503,3.382602e-10
504,3.3327044e-10
505,3.3004076e-10
506,3.2288806e-10
507,3.1653814e-10
508,3.1097718e-10
509,3.0550381e-10
510,3.0281453e-10
511,2.9312929e-10
512,2.8866861e-10
513,2.8430029e-10
514,2.8379869e-10
515,2.7441549e-10
516,2.72645e-10
517,2.6804399e-10
518,2.6260434e-10
519,2.5828429e-10
520,2.543709e-10
521,2.5279822e-10
522,2.4887671e-10
523,2.4339844e-10
524,2.3682073e-10
525,2.3354352e-10
526,2.2815514e-10
527,2.2446482e-10
528,2.2012372e-10
529,2.1348936e-10
530,2.1146658e-10
531,2.0934734e-10
532,2.026535e-10
533,1.9930983e-10
534,1.9703553e-10
535,1.9296602e-10
536,1.9117872e-10
537,1.8963895e-10
538,1.8286871e-10
539,1.7842837e-10
540,1.7671373e-10
