r,J_learned,J_learned_std,count,J_exact
0.53944656,0.35099796,0.10572844,52,-0.90577167
0.85062446,0.52487603,0.035459753,51,-0.70650514
1.018728,0.61287407,0.022485198,51,-0.61072258
1.1410748,0.67528736,0.025422758,51,-0.54531406
1.2655551,0.7356442,0.023220694,51,-0.48205871
1.3765338,0.78629614,0.019955343,52,-0.42820254
1.4638337,0.82086938,0.019279652,51,-0.3873817
1.5536752,0.86617959,0.024406522,51,-0.34669294
1.6380655,0.89909512,0.025830661,51,-0.30961796
1.708166,0.93302497,0.025029834,51,-0.27961706
1.7778551,0.9582141,0.019644933,51,-0.25047261
1.8522824,0.9860057,0.023563277,52,-0.22006094
1.9273181,1.0165083,0.024520388,51,-0.19011279
2.0045116,1.0473665,0.026491795,51,-0.16001472
2.0763352,1.0732134,0.025638395,51,-0.13262891
2.1489889,1.0974499,0.02421723,51,-0.10550664
2.2224057,1.1224899,0.021924746,51,-0.078667247
2.2891078,1.1475734,0.024945146,52,-0.05475747
2.3428582,1.1686456,0.026454746,51,-0.03580741
2.4095146,1.1896057,0.02308148,51,-0.012687019
2.483688,1.2252205,0.029765178,51,0.012563709
2.547141,1.2375401,0.027569747,51,0.033780432
2.6120144,1.2597783,0.027272787,52,0.055118331
2.6869127,1.2866376,0.025589285,51,0.079323997
2.7496149,1.3024497,0.021356902,51,0.099246042
2.8232366,1.3260447,0.027864282,51,0.12225325
2.8925441,1.3467016,0.028486662,51,0.14354549
2.9794807,1.3755546,0.023646802,51,0.16976895
3.072471,1.4060661,0.029113247,52,0.1972443
3.1642376,1.4377821,0.037256745,51,0.22380009
3.2494422,1.4589151,0.036206806,51,0.24798044
3.3641931,1.4968783,0.031706505,51,0.27985123
3.469828,1.5281216,0.029958618,51,0.30851573
3.5743493,1.5589383,0.035150678,51,0.33627018
3.6767815,1.585793,0.030162863,52,0.36290799
3.8265014,1.6288384,0.026799021,51,0.40088909
4.023469,1.6849012,0.040784537,51,0.44922852
4.2488424,1.748203,0.028402328,51,0.50242843
4.5047015,1.8223779,0.036360978,51,0.56030962
5.1292106,2.0039836,0.12044814,52,0.69168132
