r,J_learned,J_learned_std,count,J_exact
67.049021,15.859595,0.67505717,205,-4.6694001
86.081927,17.065757,0.19653442,205,-3.0086791
92.673161,17.555374,0.12417832,205,-2.4916195
96.914337,17.879303,0.082531577,205,-2.1721029
100.41513,18.134708,0.075590995,204,-1.9155652
103.17528,18.335633,0.058740009,205,-1.7176491
105.68198,18.512793,0.048101559,205,-1.5410858
107.82467,18.662188,0.04682201,205,-1.3924754
110.07331,18.813792,0.051287883,204,-1.2387345
112.24605,18.955414,0.080505802,205,-1.0922753
114.18269,19.088077,0.048758865,205,-0.96341492
115.88224,19.203408,0.040385325,205,-0.85160286
117.4016,19.300755,0.041615431,205,-0.75263028
119.13202,19.412717,0.041197548,204,-0.64101639
120.69911,19.514504,0.038569379,205,-0.54093376
122.29312,19.616483,0.035239987,205,-0.44008384
123.82958,19.714424,0.038990981,205,-0.34376526
125.38303,19.802769,0.073228059,204,-0.2472523
126.98695,19.909606,0.042030761,205,-0.14850587
128.64006,20.007563,0.052995954,205,-0.047670459
130.21389,20.105757,0.044025737,205,0.047460625
131.72651,20.194315,0.046864806,205,0.13810719
133.33766,20.280952,0.082153669,204,0.23382963
134.87311,20.377236,0.05143382,205,0.3242726
136.2395,20.464345,0.047070388,205,0.404127
137.80079,20.543667,0.073364622,205,0.49465733
139.33246,20.632964,0.064048238,204,0.58274236
140.86439,20.712706,0.066691944,205,0.67013363
142.3097,20.80388,0.059628328,205,0.75194437
144.09111,20.896904,0.099028575,205,0.85194222
146.13551,21.017384,0.072393088,205,0.96558264
148.28732,21.131186,0.075582701,204,1.0839302
150.69926,21.268469,0.063730434,205,1.2150786
153.15979,21.383365,0.10445575,205,1.3472693
155.76341,21.525356,0.093394734,205,1.4854336
159.10097,21.69763,0.11189221,204,1.6600404
163.02484,21.907236,0.096703028,205,1.8618377
168.31471,22.184116,0.11022427,205,2.1281695
175.42735,22.529146,0.16355034,205,2.4764503
192.30107,23.411986,0.66565973,205,3.2614657
