index,eigenvalue
1,1.9638217
2,0.92547339
3,0.27625164
4,0.16796722
5,0.14128875
6,0.11896641
7,0.08406662
8,0.071751303
9,0.034397718
10,0.029850813
11,0.018110936
12,0.014920107
13,0.013461571
14,0.0070336929
15,0.0061625103
16,0.0040226609
17,0.0035646367
18,0.0028132252
19,0.0022625145
20,0.0018891961
21,0.0016847049
22,0.0016389314
23,0.0015122524
24,0.0013528103
25,0.001156532
26,0.00092530781
27,0.00073602424
28,0.00061714272
29,0.00051237622
30,0.00048317116
31,0.00036165814
32,0.00035157556
33,0.00033196262
34,0.00031346729
35,0.00028217612
36,0.00027012609
37,0.00024956173
38,0.00021821943
39,0.00018657517
40,0.00017933308
41,0.00015918131
42,0.00014567075
43,0.00014179084
44,0.00012910304
45,0.0001232592
46,0.00010854262
47,0.00010710114
48,9.9918889e-05
49,9.0007853e-05
50,8.5585225e-05
51,7.9312211e-05
52,6.559003e-05
53,6.4286982e-05
54,6.3358385e-05
55,5.5358498e-05
56,4.9037678e-05
57,4.8519221e-05
58,4.4087636e-05
59,4.3305243e-05
60,3.9673096e-05
61,3.6097602e-05
62,3.5108612e-05
63,3.390813e-05
64,3.1500135e-05
65,2.9439402e-05
66,2.7817824e-05
67,2.520349e-05
68,2.4430939e-05
69,2.297647e-05
70,2.2134254e-05
71,2.098878e-05
72,1.9484521e-05
73,1.8933138e-05
74,1.8298061e-05
75,1.732424e-05
76,1.6970958e-05
77,1.5483596e-05
78,1.4146754e-05
79,1.3759775e-05
80,1.3523589e-05
81,1.3186945e-05
82,1.2996433e-05
83,1.1944747e-05
84,1.1665327e-05
85,1.0832301e-05
86,1.0417318e-05
87,9.7221948e-06
88,9.4212146e-06
89,9.3169923e-06
90,8.7407664e-06
91,8.5481238e-06
92,7.94921e-06
93,7.6239563e-06
94,7.2501285e-06
95,7.1683319e-06
96,6.7551226e-06
97,6.5983027e-06
98,6.2719819e-06
99,5.9485057e-06
100,5.5764841e-06
101,5.3589356e-06
102,5.1937087e-06
103,5.06193e-06
104,5.0098014e-06
105,4.4101737e-06
106,4.2943207e-06
107,4.1496411e-06
108,4.0901707e-06
109,3.9308071e-06
110,3.7968638e-06
111,3.4994159e-06
112,3.3672303e-06
113,3.205958e-06
114,3.1090297e-06
115,3.0447311e-06
116,2.9936592e-06
117,2.8577911e-06
118,2.6708312e-06
119,2.4656101e-06
120,2.4544104e-06
121,2.2602111e-06
122,2.2182149e-06
123,2.1901836e-06
124,2.0589936e-06
125,2.0137669e-06
126,1.9895761e-06
127,1.9577398e-06
128,1.8573245e-06
129,1.7502325e-06
130,1.678374e-06
131,1.6282799e-06
132,1.5707636e-06
133,1.5272543e-06
134,1.4834672e-06
135,1.4516488e-06
136,1.3868726e-06
137,1.3747794e-06
138,1.3513438e-06
139,1.3076971e-06
140,1.2359944e-06
141,1.2193368e-06
142,1.1875312e-06
143,1.1406268e-06
144,1.1146447e-06
145,1.0456406e-06
146,1.0347783e-06
147,1.0158514e-06
148,9.6554513e-07
149,9.3198125e-07
150,9.1570852e-07
151,8.674835e-07
152,8.5718697e-07
153,8.3075939e-07
154,8.1230365e-07
155,7.7993518e-07
156,7.6414609e-07
157,7.5895719e-07
158,7.2838323e-07
159,6.8643931e-07
160,6.7587963e-07
161,6.6228626e-07
162,6.3616362e-07
163,6.0733375e-07
164,5.8992468e-07
165,5.8132775e-07
166,5.7047563e-07
167,5.5699231e-07
168,5.4075507e-07
169,5.2553094e-07
170,5.1697093e-07
171,4.9730197e-07
172,4.8903942e-07
173,4.6478967e-07
174,4.6238709e-07
175,4.4592529e-07
176,4.3912045e-07
177,4.1992894e-07
178,4.156012e-07
179,3.9813418e-07
180,3.8729115e-07
181,3.7105864e-07
182,3.6805576e-07
183,3.6408094e-07
184,3.5743635e-07
185,3.4659949e-07
186,3.3965333e-07
187,3.3529573e-07
188,3.2922959e-07
189,3.1692959e-07
190,3.0920552e-07
191,3.0707816e-07
192,2.9151856e-07
193,2.8881073e-07
194,2.8505823e-07
195,2.6444291e-07
196,2.6298286e-07
197,2.5653755e-07
198,2.5228239e-07
199,2.4952077e-07
200,2.349735e-07
201,2.3045984e-07
202,2.2604041e-07
203,2.1550775e-07
204,2.1263735e-07
205,2.0798084e-07
206,2.0085892e-07
207,1.9844184e-07
208,1.9647329e-07
209,1.9173929e-07
210,1.8730806e-07
211,1.8401801e-07
212,1.7785227e-07
213,1.7625679e-07
214,1.6618633e-07
215,1.6254775e-07
216,1.6099927e-07
217,1.5835668e-07
218,1.5429453e-07
219,1.5047497e-07
220,1.4961321e-07
221,1.4856378e-07
222,1.4265364e-07
223,1.3779374e-07
224,1.3037292e-07
225,1.2911573e-07
226,1.2584761e-07
227,1.2318842e-07
228,1.1778926e-07
229,1.1692024e-07
230,1.1391106e-07
231,1.1330031e-07
232,1.0997344e-07
233,1.0861078e-07
234,1.0586407e-07
235,1.0471244e-07
236,1.0246577e-07
237,1.0126004e-07
238,9.8699175e-08
239,9.6181624e-08
240,9.3909793e-08
241,9.2378582e-08
242,9.0559108e-08
243,8.8638462e-08
244,8.6911321e-08
245,8.6194755e-08
246,8.5106532e-08
247,8.2499485e-08
248,8.0234273e-08
249,7.9406773e-08
250,7.8219165e-08
251,7.4752188e-08
252,7.353371e-08
253,7.1491075e-08
254,7.1053982e-08
255,6.8121894e-08
256,6.7230088e-08
257,6.5691625e-08
258,6.5299133e-08
259,6.3377103e-08
260,6.1683883e-08
261,6.1114106e-08
262,6.0900038e-08
263,5.9299002e-08
264,5.8405662e-08
265,5.6835914e-08
266,5.5955884e-08
267,5.4376184e-08
268,5.4017425e-08
269,5.3652538e-08
270,5.2331492e-08
271,5.1861868e-08
272,5.0233987e-08
273,4.7845531e-08
274,4.6899639e-08
275,4.6219455e-08
276,4.5633859e-08
277,4.4782211e-08
278,4.3666647e-08
279,4.3602224e-08
280,4.2488942e-08
281,4.1073115e-08
282,3.9494232e-08
283,3.8674024e-08
284,3.7908584e-08
285,3.6772971e-08
286,3.6280771e-08
287,3.5735501e-08
288,3.4729231e-08
289,3.4425186e-08
290,3.4088262e-08
291,3.3379048e-08
292,3.24973e-08
293,3.2263022e-08
294,3.1589044e-08
295,3.1060628e-08
296,3.056807e-08
297,3.0244388e-08
298,2.971058e-08
299,2.8921136e-08
300,2.8647177e-08
301,2.7894721e-08
302,2.6682834e-08
303,2.6122878e-08
304,2.5777054e-08
305,2.5338565e-08
306,2.5144071e-08
307,2.4864782e-08
308,2.4200223e-08
309,2.3704853e-08
310,2.3491774e-08
311,2.3126269e-08
312,2.2779665e-08
313,2.2693558e-08
314,2.1847063e-08
315,2.1665731e-08
316,2.0976763e-08
317,2.0655272e-08
318,2.0129228e-08
319,2.0026842e-08
320,1.9634506e-08
321,1.925115e-08
322,1.9166792e-08
323,1.8535699e-08
324,1.7996576e-08
325,1.7960842e-08
326,1.7618021e-08
327,1.7369083e-08
328,1.6881088e-08
329,1.6692227e-08
330,1.6273021e-08
331,1.6094595e-08
332,1.5764074e-08
333,1.5524192e-08
334,1.5140618e-08
335,1.4753426e-08
336,1.4577753e-08
337,1.4240196e-08
338,1.3868716e-08
339,1.3632707e-08
340,1.3459486e-08
341,1.3197962e-08
342,1.30419e-08
343,1.287185e-08
344,1.2571355e-08
345,1.2523839e-08
346,1.210753e-08
347,1.1938012e-08
348,1.1835588e-08
349,1.1564574e-08
350,1.1364778e-08
351,1.1223756e-08
352,1.0910327e-08
353,1.075086e-08
354,1.0530582e-08
355,1.0232382e-08
356,1.0206361e-08
357,1.0054976e-08
358,1.0018035e-08
359,9.8210907e-09
360,9.6035778e-09
361,9.5270883e-09
362,9.5129237e-09
363,9.2905236e-09
364,9.056831e-09
365,8.9433162e-09
366,8.6809896e-09
367,8.6739302e-09
368,8.4696258e-09
369,8.4113852e-09
370,8.2618559e-09
371,8.1363772e-09
372,8.1021123e-09
373,7.8748734e-09
374,7.7415888e-09
375,7.645671e-09
376,7.434704e-09
377,7.4177803e-09
378,7.1796891e-09
379,7.156691e-09
380,6.9271986e-09
381,6.7995797e-09
382,6.7292928e-09
383,6.6740793e-09
384,6.6049821e-09
385,6.5080785e-09
386,6.4464792e-09
387,6.3274514e-09
388,6.2658713e-09
389,6.034671e-09
390,5.9556796e-09
391,5.8560744e-09
392,5.8122668e-09
393,5.7530842e-09
394,5.5903381e-09
395,5.5409831e-09
396,5.4714427e-09
397,5.4058736e-09
398,5.2254021e-09
399,5.1814231e-09
400,5.1528998e-09
401,5.0871493e-09
402,4.9738358e-09
403,4.946131e-09
404,4.8899911e-09
405,4.7604122e-09
406,4.608018e-09
407,4.541002e-09
408,4.4845798e-09
409,4.4600475e-09
410,4.4101639e-09
411,4.3300511e-09
412,4.255292e-09
413,4.1578265e-09
414,4.1097691e-09
415,4.0397616e-09
416,3.9710817e-09
417,3.9245677e-09
418,3.808987e-09
419,3.7976853e-09
420,3.7168922e-09
421,3.6751376e-09
422,3.6220988e-09
423,3.615856e-09
424,3.5244836e-09
425,3.4882836e-09
426,3.4739176e-09
427,3.3347199e-09
428,3.2721201e-09
429,3.2532122e-09
430,3.229228e-09
431,3.1606745e-09
432,3.1150043e-09
433,3.0842457e-09
434,3.0058437e-09
435,2.9419478e-09
436,2.8836342e-09
437,2.8484861e-09
438,2.8428067e-09
439,2.7979238e-09
440,2.787016e-09
441,2.7653637e-09
442,2.6954019e-09
443,2.6903886e-09
444,2.6294065e-09
445,2.5754105e-09
446,2.5323636e-09
447,2.4901161e-09
448,2.4481595e-09
449,2.4073501e-09
450,2.3702632e-09
451,2.3423806e-09
452,2.30883e-09
453,2.2793309e-09
454,2.2510155e-09
455,2.2207358e-09
456,2.1876437e-09
457,2.1676234e-09
458,2.1308164e-09
459,2.1208974e-09
460,2.0713173e-09
461,2.0444244e-09
462,2.0160577e-09
463,1.9749979e-09
464,1.9715273e-09
465,1.934995e-09
466,1.9066961e-09
467,1.8807339e-09
468,1.8309056e-09
469,1.8127245e-09
470,1.7825679e-09
471,1.771835e-09
472,1.7404939e-09
473,1.7120275e-09
474,1.6934124e-09
475,1.683357e-09
476,1.6656297e-09
477,1.6449486e-09
478,1.6369596e-09
479,1.5970257e-09
480,1.5669938e-09
481,1.5538085e-09
482,1.5401487e-09
483,1.5320048e-09
484,1.5022098e-09
485,1.4918931e-09
486,1.4455671e-09
487,1.428164e-09
488,1.4048227e-09
489,1.382484e-09
490,1.3746395e-09
491,1.3277275e-09
492,1.3241822e-09
493,1.2976784e-09
494,1.2623391e-09
495,1.2480233e-09
496,1.2333575e-09
497,1.2156354e-09
498,1.2028647e-09
499,1.1836982e-09
500,1.1694325e-09
501,1.1429249e-09
502,1.1236236e-09
503,1.1171499e-09
504,1.1069874e-09
505,1.0984316e-09
506,1.0753279e-09
507,1.0586992e-09
508,1.0536374e-09
509,1.0318683e-09
510,1.0187091e-09
511,9.9784267e-10
512,9.8679419e-10
513,9.8449346e-10
514,9.7891055e-10
515,9.5484024e-10
516,9.3880221e-10
517,9.2275836e-10
518,9.0876652e-10
519,8.8959438e-10
520,8.75052e-10
521,8.653814e-10
522,8.5335818e-10
523,8.2909084e-10
524,8.2673572e-10
525,8.2082437e-10
526,8.0458985e-10
527,7.8741767e-10
528,7.8025144e-10
529,7.7966596e-10
530,7.5852431e-10
531,7.5594911e-10
532,7.3258452e-10
533,7.2569722e-10
534,7.1550121e-10
535,7.0803403e-10
536,7.0077203e-10
537,6.9034481e-10
538,6.7383716e-10
539,6.6914683e-10
540,6.6196861e-10
541,6.5356116e-10
542,6.4076482e-10
543,6.3628877e-10
544,6.2998744e-10
545,6.1812297e-10
546,6.0591958e-10
547,6.0081378e-10
548,5.955885e-10
549,5.8685542e-10
550,5.8100031e-10
551,5.7865012e-10
552,5.6619875e-10
553,5.649029e-10
554,5.4590475e-10
555,5.4058886e-10
556,5.2783811e-10
557,5.2700081e-10
558,5.1642907e-10
559,5.0847963e-10
560,5.0125039e-10
561,5.0005845e-10
562,4.9393246e-10
563,4.8475649e-10
564,4.8021169e-10
565,4.7504208e-10
566,4.6950066e-10
567,4.6048429e-10
568,4.5384934e-10
569,4.4601898e-10
570,4.4174439e-10
571,4.3859821e-10
572,4.2840917e-10
573,4.2056186e-10
574,4.1396761e-10
575,4.1147174e-10
576,4.055563e-10
577,4.0049297e-10
578,3.9444515e-10
579,3.8836083e-10
580,3.8409815e-10
581,3.7714998e-10
582,3.7403191e-10
583,3.6810628e-10
584,3.670354e-10
585,3.5967311e-10
586,3.5330906e-10
587,3.5252864e-10
588,3.4545077e-10
589,3.3810531e-10
590,3.3584275e-10
591,3.3073657e-10
