step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.99942601,0.35726692,9.3827837e+11,2.8489549,492
88,0.99962546,0.18870336,9.1978385e+11,3.0456495,506
126,0.99931993,0.21358079,8.7804438e+11,3.0358581,507
179,0.99989071,0.22829071,9.7187063e+11,3.0693754,506
254,0.99994971,0.12980195,8.6965767e+11,3.0421535,503
362,0.99993741,0.2742433,8.9787767e+11,3.2324101,509
514,0.99992541,0.21626408,9.9381232e+11,3.1166968,502
732,0.99989265,0.17215707,9.115734e+11,3.0854063,506
1041,0.99988502,0.28142842,9.3411453e+11,3.1403793,503
1482,0.99938559,0.21624407,9.4524199e+11,3.1240028,504
2108,0.99914498,0.54581549,9.6565744e+11,3.0898012,500
3000,0.99838017,0.36466754,9.4678352e+11,3.0970405,501
3500,0.99279676,0.17325229,9.9335147e+11,3.1315584,1032
