step,E_raw,E_clip,stderr,var
62,1.6735686,1.671302,0.0049909877,0.022836459
88,1.6649103,1.6647795,0.0033974646,0.0046827659
126,1.6595506,1.6592823,0.0015483172,0.0014609083
179,1.6603714,1.6603693,0.0010624292,0.00061982032
254,1.6602228,1.6602182,0.00038551399,0.00010495029
362,1.6600053,1.6599785,0.0003152047,4.3731517e-05
514,1.6595897,1.6595135,0.00020200217,1.6693962e-05
732,1.6596673,1.6595407,0.00011644064,1.2140578e-05
1041,1.6600881,1.6598013,0.00012056029,7.2511422e-06
1482,1.6597697,1.6597487,0.00010500033,4.9671007e-06
2108,1.6597029,1.6597113,0.00011429187,5.3101059e-06
3000,1.6595992,1.6595891,7.903318e-05,3.0897229e-06
3500,1.6597394,1.6597631,1.2740813e-05,1.3315422e-06
