mode,mu,sr_weight,plain_weight,residual_power
1,4021.9068,1,1,6.4329152e-06
2,1895.3695,1,0.47126142,1.7155443e-05
3,565.76335,1,0.14067043,2.5976224e-05
4,343.99687,1,0.085530791,0.00024937747
5,289.35936,1,0.071945816,1.8079205e-05
6,243.6432,1,0.060579027,1.4397496e-08
7,172.16844,1,0.042807665,5.9875346e-06
8,146.94667,1,0.036536568,2.164608e-05
9,70.446526,1,0.017515703,1.6593775e-07
10,61.134465,1,0.015200368,7.6385223e-06
11,37.091196,1,0.0092222914,4.6100209e-05
12,30.55638,1,0.0075974858,6.2534542e-05
13,27.569297,1,0.0068547828,8.7685467e-05
14,14.405003,1,0.0035816353,3.2397904e-06
15,12.620821,1,0.0031380193,2.6001085e-06
16,8.2384096,1,0.002048384,1.249543e-06
17,7.300376,1,0.001815153,1.0678085e-05
18,5.7614852,1,0.0014325258,9.6336506e-06
19,4.6336298,1,0.0011520978,0.00010414198
20,3.8690736,1,0.00096199982,4.4081308e-06
21,3.4502757,1,0.00085787063,9.9571276e-09
22,3.3565315,1,0.00083456224,4.6498112e-06
23,3.0970929,1,0.00077005588,5.7726873e-05
24,2.7705556,1,0.00068886618,1.6072553e-05
25,2.3685776,1,0.00058891907,9.1773705e-05
26,1.8950304,1,0.00047117711,0.00014464892
27,1.5073777,1,0.0003747918,3.8393311e-05
28,1.2639083,1,0.00031425599,4.9357157e-06
29,1.0493465,1,0.00026090772,7.3857399e-05
30,0.98953453,1,0.00024603617,2.0580465e-06
31,0.74067587,1,0.00018416038,6.6197166e-05
32,0.72002675,1,0.00017902622,9.9091957e-06
33,0.67985945,1,0.00016903909,3.5217337e-05
34,0.64198101,1,0.00015962106,1.0784156e-06
35,0.57789669,1,0.00014368724,2.9658641e-07
36,0.55321822,1,0.00013755123,4.5894311e-05
37,0.51110241,1,0.00012707963,8.6025242e-06
38,0.4469134,1,0.00011111978,7.0901035e-05
39,0.38210594,1,9.5006166e-05,5.2556226e-06
40,0.36727415,1,9.1318415e-05,1.2048204e-05
41,0.32600332,1,8.1056907e-05,9.4438506e-06
42,0.29833369,1,7.4177177e-05,1.4767416e-05
43,0.29038763,1,7.2201483e-05,7.723774e-06
44,0.26440302,1,6.5740714e-05,1.1625656e-07
45,0.25243483,1,6.2764964e-05,5.1379025e-06
46,0.22229529,1,5.527112e-05,2.0155719e-06
47,0.21934313,1,5.4537101e-05,6.1617527e-05
48,0.20463388,1,5.0879818e-05,3.6115325e-05
49,0.18433608,1,4.5833008e-05,3.9647315e-06
50,0.17527854,1,4.3580956e-05,7.7579507e-06
51,0.16243141,1,4.0386667e-05,5.3428146e-07
52,0.13432838,1,3.3399179e-05,1.2848029e-06
53,0.13165974,1,3.2735652e-05,3.7188321e-05
54,0.12975797,1,3.22628e-05,3.7191118e-07
55,0.1133742,1,2.8189168e-05,8.5128378e-07
56,0.10042916,1,2.4970535e-05,3.2175383e-05
57,0.099367364,1,2.4706531e-05,1.0511087e-05
58,0.090291478,1,2.2449918e-05,1.8190295e-06
59,0.088689137,1,2.2051515e-05,3.3733382e-06
60,0.0812505,1,2.0201985e-05,5.3542209e-08
61,0.073927889,1,1.8381304e-05,2.8564172e-07
62,0.071902437,1,1.7877699e-05,3.3889254e-05
63,0.069443849,1,1.72664e-05,3.2189767e-07
64,0.064512277,1,1.6040222e-05,4.7659532e-07
65,0.060291895,1,1.4990873e-05,1.7921313e-05
66,0.056970903,1,1.4165148e-05,6.6588285e-06
67,0.051616747,1,1.2833899e-05,2.2450891e-06
68,0.050034563,1,1.2440508e-05,5.42697e-07
69,0.047055811,1,1.1699876e-05,2.1689253e-06
70,0.045330952,1,1.127101e-05,9.6470254e-06
71,0.042985022,1,1.0687722e-05,2.1266152e-06
72,0.039904299,1,9.9217365e-06,2.6514711e-08
73,0.038775066,1,9.6409659e-06,8.3466899e-08
74,0.03747443,1,9.317578e-06,2.802244e-06
75,0.035480043,1,8.821697e-06,7.1022616e-06
76,0.034756522,1,8.641802e-06,7.8053237e-07
77,0.031710404,1,7.8844206e-06,2.304769e-06
78,0.028972551,1,7.2036855e-06,1.7790246e-05
79,0.02818002,1,7.0066318e-06,1.1112224e-05
80,0.02769631,1,6.886363e-06,5.0692228e-06
81,0.027006862,1,6.71494e-06,1.5088611e-06
82,0.026616694,1,6.6179291e-06,4.7981104e-06
83,0.024462843,1,6.0823993e-06,1.3818572e-07
84,0.023890589,1,5.940115e-06,9.4316102e-07
85,0.022184553,1,5.5159293e-06,1.6054408e-06
86,0.021334667,1,5.3046149e-06,3.1201208e-06
87,0.019911055,1,4.9506506e-06,2.0006677e-06
88,0.019294648,1,4.7973881e-06,8.3454938e-07
89,0.0190812,1,4.7443169e-06,9.8074753e-06
90,0.01790109,1,4.4508962e-06,4.9688143e-07
91,0.017506557,1,4.3528004e-06,1.8315141e-06
92,0.016279982,1,4.0478268e-06,8.3785472e-06
93,0.015613862,1,3.882204e-06,8.9831366e-08
94,0.014848263,1,3.6918467e-06,5.9466168e-06
95,0.014680744,1,3.650195e-06,1.0686e-06
96,0.013834491,1,3.4397841e-06,1.8772091e-06
97,0.013513324,1,3.3599297e-06,2.4253269e-06
98,0.012845019,1,3.1937635e-06,5.104782e-06
99,0.01218254,1,3.0290458e-06,3.7187968e-08
100,0.011420639,1,2.8396082e-06,1.8029003e-05
101,0.0109751,1,2.7288301e-06,1.5879613e-06
102,0.010636715,1,2.6446947e-06,3.7022795e-06
103,0.010366833,1,2.5775915e-06,5.9226294e-06
104,0.010260073,1,2.551047e-06,6.956702e-07
105,0.0090320358,1,2.2457099e-06,2.3544152e-09
106,0.0087947687,1,2.1867162e-06,1.8366315e-08
107,0.0084984651,1,2.1130438e-06,9.5115195e-06
108,0.0083766696,1,2.0827608e-06,6.8531585e-07
109,0.008050293,1,2.001611e-06,1.7457119e-06
110,0.007775977,1,1.9334056e-06,8.1331306e-06
111,0.0071668037,1,1.7819418e-06,4.8059867e-05
112,0.0068960876,1,1.7146314e-06,6.9888283e-06
113,0.0065658019,1,1.6325097e-06,3.3171889e-06
114,0.0063672929,1,1.5831528e-06,2.7084576e-05
115,0.0062356093,1,1.5504112e-06,4.1843591e-07
116,0.006131014,1,1.5244048e-06,9.325647e-08
117,0.0058527561,1,1.4552193e-06,1.7613881e-05
118,0.0054698624,1,1.3600172e-06,7.9887095e-07
119,0.0050495695,1,1.2555163e-06,3.1943604e-06
120,0.0050266324,1,1.2498133e-06,1.5660904e-05
121,0.0046289124,1,1.1509248e-06,4.0976947e-06
122,0.0045429042,1,1.1295399e-06,2.5504542e-05
123,0.004485496,1,1.115266e-06,2.8378656e-07
124,0.0042168189,1,1.0484626e-06,5.7848466e-08
125,0.0041241946,1,1.0254327e-06,7.7173976e-07
126,0.0040746519,1,1.0131145e-06,3.9055727e-05
127,0.0040094511,1,9.9690304e-07,6.126617e-06
128,0.0038038006,1,9.4577047e-07,1.0054203e-06
129,0.0035844762,1,8.9123801e-07,3.5648231e-06
130,0.0034373099,1,8.5464684e-07,2.6676682e-05
131,0.0033347173,1,8.2913839e-07,4.6105921e-06
132,0.0032169239,1,7.9985045e-07,1.1164801e-06
133,0.0031278168,1,7.7769502e-07,7.2626671e-06
134,0.0030381408,1,7.5539812e-07,7.7954248e-07
135,0.0029729767,1,7.3919583e-07,1.9557136e-05
136,0.0028403151,1,7.0621107e-07,4.467934e-06
137,0.0028155482,1,7.0005307e-07,1.8674647e-06
138,0.0027675521,1,6.881194e-07,2.7990767e-06
139,0.0026781637,1,6.6589402e-07,1.968567e-05
140,0.0025313166,1,6.2938223e-07,6.1513337e-07
141,0.0024972017,1,6.2089994e-07,2.5097142e-06
142,0.0024320639,1,6.0470419e-07,9.6056084e-07
143,0.0023360037,1,5.8081996e-07,5.0220524e-07
144,0.0022827923,1,5.6758956e-07,1.8241307e-08
145,0.0021414719,1,5.3245191e-07,6.9980212e-06
146,0.0021192259,1,5.269207e-07,1.1828112e-05
147,0.0020804636,1,5.172829e-07,4.408989e-07
148,0.0019774364,1,4.916664e-07,3.8602203e-07
149,0.0019086976,1,4.745753e-07,2.9185835e-06
150,0.0018753711,1,4.6628904e-07,1.5254499e-06
151,0.0017766062,1,4.4173232e-07,8.4011315e-07
152,0.0017555189,1,4.3648921e-07,1.8181467e-06
153,0.0017013952,1,4.2303199e-07,2.1426673e-05
154,0.0016635979,1,4.1363412e-07,5.333967e-06
155,0.0015973072,1,3.9715174e-07,6.051456e-06
156,0.0015649712,1,3.8911176e-07,1.9263735e-06
157,0.0015543443,1,3.8646951e-07,5.2073644e-06
158,0.0014917289,1,3.7090091e-07,1.4102102e-05
159,0.0014058277,1,3.4954259e-07,8.5451128e-07
160,0.0013842015,1,3.4416548e-07,1.6193708e-06
161,0.0013563623,1,3.3724359e-07,2.5714178e-06
162,0.0013028631,1,3.2394164e-07,3.5786314e-06
163,0.0012438195,1,3.0926115e-07,1.056431e-05
164,0.0012081657,1,3.0039626e-07,2.6884943e-07
165,0.0011905592,1,2.9601861e-07,1.130119e-05
166,0.0011683341,1,2.9049258e-07,4.8089081e-06
167,0.0011407203,1,2.8362673e-07,1.7115582e-05
168,0.0011074664,1,2.7535854e-07,7.3658109e-07
169,0.0010762874,1,2.6760625e-07,1.2461767e-07
170,0.0010587565,1,2.6324739e-07,5.6594342e-06
171,0.0010184744,1,2.5323174e-07,4.1140707e-06
172,0.0010015527,1,2.4902435e-07,1.2702366e-06
173,0.00095188925,1,2.3667611e-07,7.7845512e-07
174,0.00094696877,1,2.3545269e-07,9.7504411e-06
175,0.000913255,1,2.2707016e-07,9.6025671e-08
176,0.00089931869,1,2.2360506e-07,6.9050165e-07
177,0.00086001446,1,2.1383252e-07,6.5672557e-07
178,0.00085115126,1,2.1162879e-07,6.0932009e-09
179,0.00081537879,1,2.0273438e-07,6.8412477e-06
180,0.00079317227,1,1.9721299e-07,1.4333044e-06
181,0.0007599281,1,1.8894722e-07,4.4601933e-08
182,0.00075377819,1,1.8741812e-07,1.1132103e-05
183,0.00074563777,1,1.853941e-07,5.6903517e-06
184,0.00073202965,1,1.820106e-07,5.7914489e-06
185,0.00070983576,1,1.7649235e-07,2.5447433e-08
186,0.00069561002,1,1.7295528e-07,6.7379438e-11
187,0.00068668565,1,1.7073634e-07,3.0191133e-06
188,0.0006742622,1,1.676474e-07,6.5498958e-08
189,0.00064907179,1,1.613841e-07,2.8989002e-07
190,0.00063325291,1,1.5745092e-07,2.266639e-06
191,0.00062889607,1,1.5636764e-07,3.2602607e-06
192,0.00059703001,1,1.4844452e-07,9.7114489e-06
193,0.00059148438,1,1.4706566e-07,1.3082515e-05
194,0.00058379925,1,1.4515484e-07,9.5111442e-06
195,0.00054157908,1,1.3465729e-07,4.1068507e-06
196,0.00053858891,1,1.3391382e-07,1.120936e-06
197,0.00052538891,1,1.306318e-07,1.6011058e-05
198,0.00051667433,1,1.2846502e-07,1.7065795e-09
199,0.00051101855,1,1.2705878e-07,2.0780169e-07
200,0.00048122572,1,1.1965114e-07,5.2991934e-08
201,0.00047198175,1,1.1735273e-07,6.0421901e-06
202,0.00046293077,1,1.1510231e-07,3.1520439e-06
203,0.00044135987,1,1.0973896e-07,2.3235677e-08
204,0.00043548128,1,1.0827732e-07,3.4789088e-08
205,0.00042594476,1,1.0590617e-07,9.1522104e-06
206,0.00041135907,1,1.0227961e-07,9.5728701e-09
207,0.00040640889,1,1.0104881e-07,1.0365236e-06
208,0.0004023773,1,1.000464e-07,3.5069672e-06
209,0.00039268207,1,9.7635796e-08,6.8482148e-07
210,0.00038360691,1,9.5379365e-08,4.7583588e-07
211,0.00037686888,1,9.3704033e-08,7.4573811e-07
212,0.00036424145,1,9.0564369e-08,8.3957448e-06
213,0.00036097391,1,8.9751935e-08,3.4638e-08
214,0.0003403496,1,8.4623941e-08,5.7770458e-06
215,0.00033289779,1,8.2771136e-08,1.4352742e-07
216,0.0003297265,1,8.1982631e-08,4.3331479e-06
217,0.00032431448,1,8.0636996e-08,9.2203364e-06
218,0.0003159952,1,7.8568504e-08,1.8280702e-06
219,0.00030817274,1,7.6623541e-08,5.0662154e-06
220,0.00030640785,1,7.6184721e-08,6.6371875e-07
221,0.00030425862,1,7.5650341e-08,1.6655373e-07
222,0.00029215465,1,7.2640832e-08,1.0936239e-05
223,0.00028220157,1,7.0166116e-08,1.1901582e-05
224,0.00026700374,1,6.6387353e-08,3.8543663e-06
225,0.00026442902,1,6.5747178e-08,1.2870191e-05
226,0.00025773591,1,6.4083014e-08,1.0855194e-05
227,0.00025228988,1,6.2728924e-08,6.411464e-07
228,0.00024123241,1,5.9979612e-08,1.6943096e-05
229,0.00023945266,1,5.9537099e-08,1.3703275e-06
230,0.00023328985,1,5.8004787e-08,1.5536662e-05
231,0.00023203903,1,5.7693787e-08,3.321487e-06
232,0.0002252256,1,5.5999707e-08,3.9357326e-07
233,0.00022243488,1,5.5305828e-08,2.7952339e-06
234,0.00021680961,1,5.390717e-08,1.250629e-05
235,0.00021445108,1,5.3320748e-08,2.4112506e-06
236,0.00020984989,1,5.2176716e-08,1.5747619e-05
237,0.00020738057,1,5.1562748e-08,1.480591e-06
238,0.00020213591,1,5.0258726e-08,1.548759e-06
239,0.00019697997,1,4.8976761e-08,7.184254e-06
240,0.00019232726,1,4.7819919e-08,1.5361389e-06
241,0.00018919134,1,4.7040209e-08,4.9816583e-07
242,0.00018546505,1,4.6113713e-08,4.8429535e-05
243,0.00018153157,1,4.5135699e-08,2.8837325e-05
244,0.00017799439,1,4.4256219e-08,2.7767224e-08
245,0.00017652686,1,4.3891335e-08,4.1969378e-06
246,0.00017429818,1,4.33372e-08,8.6645667e-06
247,0.00016895895,1,4.2009663e-08,1.7565548e-07
248,0.00016431979,1,4.0856191e-08,3.7546295e-06
249,0.00016262507,1,4.0434819e-08,2.897359e-07
250,0.00016019285,1,3.9830075e-08,3.8951773e-07
251,0.00015309248,1,3.8064652e-08,2.6111811e-05
252,0.00015059704,1,3.7444189e-08,4.3892382e-05
253,0.00014641372,1,3.6404057e-08,6.2312762e-06
254,0.00014551855,1,3.6181484e-08,4.0197439e-06
255,0.00013951364,1,3.4688432e-08,2.0835167e-05
256,0.00013768722,1,3.4234314e-08,2.6011572e-05
257,0.00013453645,1,3.3450912e-08,2.4923386e-06
258,0.00013373262,1,3.325105e-08,9.4632137e-06
259,0.00012979631,1,3.2272331e-08,1.6403103e-05
260,0.00012632859,1,3.1410124e-08,1.5074562e-08
261,0.00012516169,1,3.1119988e-08,2.8628763e-07
262,0.00012472328,1,3.1010982e-08,4.6263148e-06
263,0.00012144436,1,3.0195717e-08,2.6417944e-06
264,0.0001196148,1,2.9740818e-08,8.6782759e-06
265,0.00011639995,1,2.8941484e-08,5.6573341e-09
266,0.00011459765,1,2.8493363e-08,6.2151028e-07
267,0.00011136243,1,2.7688963e-08,6.1327765e-06
268,0.00011062769,1,2.7506278e-08,4.1512361e-05
269,0.0001098804,1,2.7320474e-08,3.8675198e-05
