r,J_learned,J_learned_std,count,J_exact
70.417423,16.399359,0.69587312,205,-4.3988428
85.185363,17.369114,0.18218574,205,-3.125269
91.877108,17.825743,0.15843283,205,-2.5969063
96.839214,18.184663,0.12627645,205,-2.221878
100.50866,18.451298,0.082808158,204,-1.9529969
103.67275,18.682428,0.07482594,205,-1.7265724
106.26674,18.8691,0.057183085,205,-1.5445203
108.96835,19.062419,0.055280365,205,-1.358202
111.19045,19.217306,0.043797527,204,-1.207378
113.15408,19.355465,0.046460598,205,-1.0758621
115.06883,19.485181,0.046741074,205,-0.94917016
116.7198,19.598512,0.046153585,205,-0.84113017
118.31374,19.700424,0.054475152,205,-0.73785077
120.01703,19.811509,0.057818014,204,-0.62857974
121.69323,19.923279,0.0542954,205,-0.52212614
123.34796,20.022002,0.06294419,205,-0.41806437
124.87852,20.109379,0.070274226,205,-0.32270169
126.40706,20.208281,0.068866204,204,-0.22830273
127.96291,20.301214,0.078770548,205,-0.13306065
129.37626,20.395766,0.061940201,205,-0.047266332
130.94319,20.476173,0.07743464,205,0.047060143
132.49254,20.568705,0.077172965,205,0.1395246
133.87382,20.657659,0.080010572,204,0.22129681
135.36038,20.732583,0.083186427,205,0.30861643
137.03132,20.826339,0.083050444,205,0.40593394
138.69035,20.915788,0.09219976,205,0.5017017
140.19249,21.007238,0.085858883,204,0.58769036
141.94641,21.095961,0.094914079,205,0.68723848
143.94505,21.207918,0.085301237,205,0.79957733
145.74135,21.300635,0.08621846,205,0.89956456
147.91659,21.410801,0.092852133,205,1.0194311
150.2734,21.529364,0.095832719,204,1.1478363
152.93372,21.670946,0.098393029,205,1.2909903
155.71491,21.803128,0.091249549,205,1.4386759
159.13779,21.977798,0.095064742,205,1.6177512
163.31458,22.193578,0.08937393,204,1.8323927
168.23738,22.459418,0.11063525,205,2.0801216
175.08706,22.847626,0.15706504,205,2.4158346
185.75492,23.537088,0.31515051,205,2.9192552
216.60058,25.976404,2.2978731,205,4.2588719
