mode,mu,sr_weight,plain_weight,residual_power
1,104666.36,1,1,6.5858033e-05
2,5921.6337,1,0.056576285,0.00040216199
3,2518.8095,1,0.02406513,1.141214e-06
4,1617.0841,1,0.015449893,0.00012676017
5,1171.0057,1,0.011187985,5.3724354e-07
6,1126.7588,1,0.010765243,4.7969763e-08
7,968.14969,1,0.009249865,4.1416088e-05
8,850.76639,1,0.0081283653,1.4048613e-07
9,687.22657,1,0.0065658783,1.0744005e-05
10,205.93947,1,0.0019675803,0.00048608764
11,124.95287,1,0.0011938207,1.4635106e-06
12,104.84868,1,0.001001742,3.71862e-05
13,68.693963,1,0.00065631368,3.2901381e-05
14,48.810504,1,0.00046634377,2.4659587e-06
15,30.825841,1,0.00029451527,3.2821636e-07
16,27.924843,1,0.00026679865,1.2254938e-05
17,26.438132,1,0.00025259436,2.6770736e-07
18,23.434858,1,0.00022390057,6.1799953e-06
19,22.390622,1,0.00021392377,1.2369607e-07
20,16.920863,1,0.00016166477,1.7797102e-07
21,15.38594,1,0.00014699986,2.9316187e-06
22,13.996865,1,0.0001337284,4.3417028e-06
23,13.209586,1,0.0001262066,4.9100878e-07
24,10.447444,1,9.9816638e-05,1.6541129e-07
25,7.9847518,1,7.6287662e-05,4.1526327e-08
26,6.0951649,1,5.8234231e-05,1.0762355e-06
27,5.4562561,1,5.2129988e-05,8.3105994e-06
28,5.0281155,1,4.8039462e-05,2.2104888e-06
29,4.8631983,1,4.6463815e-05,1.0558513e-05
30,3.3122605,1,3.1645894e-05,1.6480976e-06
31,2.8967333,1,2.7675877e-05,1.0734707e-05
32,2.618534,1,2.5017914e-05,2.3088841e-05
33,2.3183323,1,2.2149737e-05,5.0601891e-06
34,2.037509,1,1.9466704e-05,8.1142497e-07
35,1.9312678,1,1.8451657e-05,2.7464177e-06
36,1.6971504,1,1.6214861e-05,5.5454207e-07
37,1.6142594,1,1.5422906e-05,1.2220051e-06
38,1.428375,1,1.3646936e-05,7.335928e-08
39,1.1202342,1,1.0702906e-05,5.5921323e-08
40,1.0660621,1,1.0185336e-05,3.5780745e-07
41,0.85928033,1,8.2097088e-06,3.9066145e-07
42,0.82180278,1,7.851642e-06,1.6818476e-07
43,0.65243307,1,6.2334553e-06,1.382715e-08
44,0.62235187,1,5.9460544e-06,3.4284777e-06
45,0.47589142,1,4.5467467e-06,5.5604185e-06
46,0.42681163,1,4.0778302e-06,7.430923e-07
47,0.39613455,1,3.7847362e-06,8.3815063e-07
48,0.36459047,1,3.4833587e-06,5.0431843e-07
49,0.32400794,1,3.0956264e-06,3.3760429e-07
50,0.3026851,1,2.8919044e-06,4.4728988e-07
51,0.25450466,1,2.4315804e-06,6.4871983e-07
52,0.2296102,1,2.1937344e-06,3.4551572e-08
53,0.20219314,1,1.9317873e-06,1.0853986e-06
54,0.19086495,1,1.8235558e-06,5.9131181e-08
55,0.17987552,1,1.718561e-06,1.1822384e-07
56,0.15867551,1,1.5160125e-06,1.4473506e-07
57,0.14495128,1,1.3848889e-06,1.2127291e-08
58,0.13485695,1,1.288446e-06,6.7870759e-08
59,0.12867291,1,1.2293626e-06,1.1121413e-07
60,0.1215509,1,1.1613178e-06,4.4410288e-07
61,0.098806604,1,9.4401492e-07,1.2286082e-06
62,0.090414546,1,8.6383579e-07,2.9154428e-07
63,0.082347365,1,7.8676058e-07,1.5542964e-07
64,0.081842021,1,7.8193243e-07,4.8644216e-08
65,0.074527768,1,7.1205084e-07,1.6436253e-08
66,0.069799328,1,6.6687453e-07,1.3712922e-08
67,0.063932923,1,6.108259e-07,2.6312923e-08
68,0.060105632,1,5.7425932e-07,3.2760597e-07
69,0.051571798,1,4.9272564e-07,2.0976005e-07
70,0.046629993,1,4.4551079e-07,4.2848537e-08
71,0.044745006,1,4.2750132e-07,4.2522368e-07
72,0.042649089,1,4.0747657e-07,2.922768e-07
73,0.041941127,1,4.0071258e-07,1.8802146e-07
74,0.036108024,1,3.4498214e-07,1.134917e-08
75,0.033731108,1,3.2227268e-07,4.5291749e-08
76,0.032767977,1,3.1307077e-07,1.8595575e-07
77,0.028894529,1,2.7606319e-07,1.8998668e-07
78,0.026708708,1,2.5517949e-07,1.2431217e-08
79,0.025790649,1,2.464082e-07,2.1375378e-08
80,0.025271872,1,2.4145172e-07,1.9269472e-08
81,0.022465398,1,2.1463819e-07,2.6176944e-08
82,0.02170729,1,2.073951e-07,4.5337458e-08
83,0.021309977,1,2.035991e-07,1.6758591e-07
84,0.019834435,1,1.8950153e-07,1.307545e-07
85,0.017766718,1,1.6974621e-07,2.7986902e-09
86,0.0153983,1,1.4711795e-07,1.2978592e-08
87,0.014800488,1,1.4140635e-07,6.1663819e-08
88,0.014266712,1,1.3630656e-07,6.6916779e-08
89,0.0129293,1,1.2352871e-07,2.0126385e-09
90,0.012010754,1,1.1475277e-07,4.452702e-08
91,0.011771123,1,1.1246329e-07,1.4764215e-10
92,0.01058391,1,1.0112046e-07,2.6954653e-08
93,0.010068243,1,9.6193689e-08,4.5780451e-08
94,0.0093864865,1,8.9680071e-08,6.274183e-09
95,0.0087696976,1,8.3787166e-08,1.2739763e-08
96,0.0085289031,1,8.1486575e-08,4.1442722e-09
97,0.008056661,1,7.6974695e-08,7.2550537e-09
98,0.0072084228,1,6.8870485e-08,1.6998305e-08
99,0.0070833502,1,6.7675519e-08,1.7874167e-08
100,0.0064600636,1,6.1720535e-08,3.588005e-08
101,0.0061247734,1,5.8517116e-08,4.3361037e-10
102,0.0055360278,1,5.2892141e-08,1.1993987e-09
103,0.0052425195,1,5.0087913e-08,1.2606742e-08
104,0.0050952353,1,4.8680736e-08,6.5714966e-09
105,0.0045900472,1,4.3854084e-08,1.0805599e-09
106,0.0044970977,1,4.2966028e-08,2.6781967e-10
107,0.0041950462,1,4.0080177e-08,8.2981098e-09
108,0.0038732161,1,3.7005358e-08,4.7505028e-09
109,0.0037804049,1,3.6118625e-08,1.1025949e-09
110,0.0036980122,1,3.5331431e-08,1.1315041e-09
111,0.0036427917,1,3.4803845e-08,4.9376808e-09
112,0.0031919568,1,3.0496492e-08,3.7065699e-09
113,0.0030809706,1,2.9436111e-08,6.5612881e-09
114,0.0029842719,1,2.8512236e-08,5.728522e-09
115,0.0028722604,1,2.7442059e-08,4.9158016e-10
116,0.0027825157,1,2.6584623e-08,2.6407767e-08
117,0.0023498858,1,2.2451204e-08,8.5991604e-10
118,0.0022386344,1,2.138829e-08,1.6200673e-11
119,0.0021178114,1,2.0233926e-08,9.7710712e-09
120,0.0020894916,1,1.9963354e-08,1.2770961e-08
121,0.0019623466,1,1.874859e-08,1.313387e-09
122,0.001902121,1,1.8173184e-08,6.0680348e-09
123,0.0016762828,1,1.6015488e-08,2.6242778e-09
