step,E_raw,E_clip,stderr,var
62,1.6648014,1.6631355,0.0056268464,0.021387649
88,1.6682505,1.6681518,0.0022181209,0.0050772347
126,1.6601829,1.6599042,0.0013261709,0.0014099842
179,1.6609727,1.6608847,0.00079047238,0.00068235489
254,1.6599125,1.6599125,0.00038349519,0.00014505767
362,1.6594622,1.6595719,0.00023113315,3.8018011e-05
514,1.6593771,1.6593732,0.00016384988,1.8495624e-05
732,1.6598304,1.65964,9.5169329e-05,1.0632375e-05
1041,1.6598558,1.6596141,8.6860527e-05,6.9317452e-06
1482,1.6598635,1.6597237,6.1413593e-05,4.034374e-06
2108,1.6597738,1.659768,4.5128876e-05,2.4088986e-06
3000,1.6597588,1.6597053,5.1605393e-05,2.3704586e-06
3500,1.6597674,1.659785,1.1586044e-05,1.2548763e-06
