r,J_learned,J_learned_std,count,J_exact
0.51139941,0.45844513,0.11614038,205,-0.91338421
0.83096276,0.67044793,0.036361889,205,-0.70618355
1.002105,0.76912847,0.023681132,205,-0.60786056
1.1396303,0.8430474,0.019177454,205,-0.53405105
1.2534107,0.9011008,0.014258403,204,-0.47607719
1.3472856,0.94702484,0.011523459,205,-0.43016063
1.4382585,0.98996206,0.012697905,205,-0.38718988
1.5294515,1.03163,0.012231395,205,-0.34552087
1.6139187,1.0690802,0.0099534609,204,-0.30810116
1.6929372,1.1031215,0.0094444074,205,-0.27405918
1.7666525,1.1340788,0.0087607665,205,-0.24309731
1.8394718,1.1639648,0.008247001,205,-0.21322851
1.9044252,1.1900611,0.0075306104,205,-0.18716014
1.9721191,1.2166646,0.0077976222,204,-0.16054317
2.0412298,1.2433061,0.007690935,205,-0.13392568
2.1085155,1.2686894,0.0072954213,205,-0.10852933
2.1750836,1.293323,0.0084662132,205,-0.083887055
2.2457554,1.3189891,0.0062658187,204,-0.058231044
2.3100637,1.3419055,0.0066347802,205,-0.035320332
2.3794038,1.3661471,0.0068764149,205,-0.011064156
2.4435309,1.3881718,0.0060254911,205,0.010970246
2.5134269,1.4117805,0.0066314426,205,0.034566701
2.5785054,1.4333588,0.0059798487,204,0.056156469
2.6398026,1.4533706,0.0057013621,205,0.07616767
2.7066103,1.4748406,0.0071418153,205,0.097631347
2.7820494,1.4986738,0.0064490229,205,0.12144822
2.8519942,1.5203368,0.0063406592,204,0.14314633
2.9247067,1.5425474,0.0070613119,205,0.16532473
3.0022743,1.5657752,0.0069914569,205,0.18857352
3.0780889,1.5881287,0.006693106,205,0.21090158
3.1559269,1.6106357,0.0066128359,205,0.23343318
3.2420549,1.6351734,0.0071597449,204,0.25791759
3.3376129,1.6617717,0.0083458771,205,0.28455392
3.448067,1.6919046,0.0093003481,205,0.31467804
3.5719584,1.7248583,0.0093677057,205,0.34765774
3.7037172,1.7590541,0.0099392238,204,0.38183907
3.8726287,1.8015074,0.013593127,205,0.42438711
4.1039791,1.8576032,0.018526928,205,0.4804988
4.4046466,1.9270073,0.022554462,205,0.54999502
5.098409,2.0713044,0.09008608,205,0.69751781
