mode,mu,sr_weight,plain_weight,residual_power
1,4040.2947,1,1,9.070289e-07
2,1838.6265,1,0.45507237,4.1158358e-05
3,614.96898,1,0.15220894,8.1194311e-06
4,356.86408,1,0.088326249,0.00014294898
5,286.02106,1,0.070792129,9.5303234e-06
6,224.22602,1,0.055497441,1.1388729e-05
7,179.6766,1,0.044471161,1.5742666e-07
8,150.44595,1,0.03723638,3.8788492e-06
9,79.389813,1,0.01964951,2.0308662e-05
10,63.343449,1,0.015677928,1.0731373e-05
11,37.625788,1,0.0093126344,8.7763221e-06
12,31.233019,1,0.0077303814,1.2401395e-06
13,28.93604,1,0.0071618637,4.6986279e-05
14,16.580676,1,0.0041038283,6.9915123e-06
15,14.061809,1,0.003480392,1.1000585e-05
16,9.7940109,1,0.0024240833,8.195244e-06
17,7.4285114,1,0.0018386063,3.6456295e-06
18,6.3958804,1,0.0015830232,2.5105218e-05
19,5.2510646,1,0.0012996737,2.9606887e-05
20,4.1722103,1,0.00103265,2.8265201e-06
21,3.9306571,1,0.00097286397,5.0477349e-05
22,3.5787121,1,0.00088575523,6.4909742e-07
23,2.9522018,1,0.00073068972,1.4157124e-05
24,2.8178328,1,0.0006974325,2.1320861e-05
25,2.5518505,1,0.0006316001,3.2762934e-05
26,1.9685015,1,0.00048721729,1.7845209e-05
27,1.5203663,1,0.00037630084,3.8356973e-09
28,1.3784344,1,0.00034117175,7.3434317e-05
29,1.1369462,1,0.00028140179,9.2498238e-06
30,1.0601465,1,0.00026239337,2.1636122e-06
31,0.82305371,1,0.00020371131,1.0523483e-05
32,0.76317091,1,0.00018888991,8.4522848e-05
33,0.71652689,1,0.0001773452,4.477991e-06
34,0.68004724,1,0.00016831625,2.5521462e-05
35,0.67515408,1,0.00016710516,2.6588649e-06
36,0.62521544,1,0.00015474501,4.9233676e-05
37,0.57034205,1,0.00014116348,5.8549138e-05
38,0.52139117,1,0.00012904781,5.4343572e-07
39,0.45618774,1,0.00011290952,4.3165377e-05
40,0.40879144,1,0.00010117862,1.7115916e-06
41,0.38915377,1,9.6318164e-05,2.2356084e-06
42,0.33870486,1,8.3831722e-05,4.6422412e-05
43,0.32846672,1,8.1297713e-05,3.2371615e-06
44,0.28874389,1,7.1466047e-05,8.4769474e-06
45,0.27609699,1,6.8335854e-05,1.3046113e-05
46,0.25285682,1,6.2583756e-05,7.774671e-07
47,0.24791347,1,6.1360244e-05,1.0026634e-05
48,0.2331785,1,5.7713241e-05,4.8500552e-05
49,0.21557056,1,5.3355157e-05,4.4768382e-06
50,0.19157344,1,4.7415708e-05,2.7331309e-06
51,0.17204335,1,4.2581881e-05,6.8595283e-06
52,0.16408891,1,4.0613105e-05,1.9474982e-06
53,0.14313161,1,3.5426032e-05,3.2864806e-06
54,0.13838303,1,3.4250727e-05,2.621059e-06
55,0.12793254,1,3.166416e-05,1.7592175e-06
56,0.12467261,1,3.0857306e-05,3.0016051e-06
57,0.11335659,1,2.8056515e-05,5.0439919e-07
58,0.10346724,1,2.5608835e-05,1.2715674e-05
59,0.098956575,1,2.4492415e-05,8.4069403e-06
60,0.094126823,1,2.3297019e-05,3.224139e-06
61,0.088402888,1,2.1880307e-05,1.3426542e-05
62,0.081531945,1,2.0179703e-05,1.2262201e-05
63,0.077511761,1,1.918468e-05,1.2810003e-07
64,0.074398757,1,1.8414191e-05,1.6215652e-05
65,0.072005319,1,1.7821799e-05,1.0568332e-05
66,0.063052542,1,1.5605926e-05,2.3621666e-05
67,0.059499149,1,1.4726438e-05,2.9212717e-06
68,0.057347333,1,1.4193849e-05,2.5955086e-08
69,0.055883211,1,1.3831469e-05,4.3523669e-07
70,0.052515611,1,1.2997966e-05,1.1092774e-05
71,0.049486837,1,1.2248324e-05,2.1743603e-06
72,0.047762742,1,1.1821599e-05,1.2131734e-06
73,0.045079483,1,1.1157474e-05,3.7694054e-07
74,0.043615561,1,1.0795144e-05,4.6295808e-06
75,0.041446527,1,1.0258293e-05,5.9573862e-07
76,0.039085996,1,9.6740457e-06,4.4913211e-06
77,0.037009361,1,9.1600647e-06,2.5645555e-07
78,0.036383696,1,9.0052083e-06,4.227084e-08
79,0.032813829,1,8.1216424e-06,1.9993833e-05
80,0.032315312,1,7.9982561e-06,2.9355913e-05
81,0.029586693,1,7.3229046e-06,3.5871572e-06
82,0.029148372,1,7.2144174e-06,1.2017293e-09
83,0.028173795,1,6.973203e-06,1.2192881e-05
84,0.027055232,1,6.6963512e-06,4.9185821e-07
