index,eigenvalue
1,30.125067
2,2.6074471
3,1.1907031
4,1.0954195
5,0.96587065
6,0.85590256
7,0.30409809
8,0.26956526
9,0.24455691
10,0.047727764
11,0.034575214
12,0.031781336
13,0.025039831
14,0.021424284
15,0.01767595
16,0.013559254
17,0.012751878
18,0.011544821
19,0.0098395409
20,0.0085620579
21,0.0068798064
22,0.0044282088
23,0.0026482694
24,0.0024610238
25,0.0022073229
26,0.0020764216
27,0.0017912588
28,0.0016062328
29,0.0012816637
30,0.00098749353
31,0.00087168932
32,0.00079731421
33,0.00066579514
34,0.00055246401
35,0.00046865011
36,0.00041729761
37,0.00030313476
38,0.0002566981
39,0.00022507125
40,0.00020299971
41,0.00018786131
42,0.00016885209
43,0.00015190966
44,0.00013644221
45,0.00011949785
46,0.00010403294
47,0.00010054624
48,8.8994354e-05
49,8.1040136e-05
50,6.4355654e-05
51,5.1635128e-05
52,5.0091249e-05
53,4.4256029e-05
54,3.8494945e-05
55,3.7664295e-05
56,3.4934212e-05
57,3.3622117e-05
58,3.1187807e-05
59,2.5513563e-05
60,2.1712303e-05
61,2.0403149e-05
62,1.9889773e-05
63,1.8131079e-05
64,1.6891961e-05
65,1.5260297e-05
66,1.3795294e-05
67,1.2621205e-05
68,1.1262878e-05
69,1.020616e-05
70,8.5082752e-06
71,8.0761123e-06
72,7.9926819e-06
73,6.767744e-06
74,6.5709566e-06
75,6.146141e-06
76,6.0047019e-06
77,5.7710989e-06
78,5.2431523e-06
79,4.9188966e-06
80,4.5373222e-06
81,4.127493e-06
82,3.3660881e-06
83,3.3151038e-06
84,3.2639253e-06
85,2.9683898e-06
86,2.7583221e-06
87,2.581773e-06
88,2.3992269e-06
89,2.1996508e-06
90,1.9556462e-06
91,1.7884663e-06
92,1.7169732e-06
93,1.6326271e-06
94,1.4438405e-06
95,1.3578237e-06
96,1.2415083e-06
97,1.1766819e-06
98,1.1342619e-06
99,1.0366274e-06
100,9.2035516e-07
101,8.5003107e-07
102,7.8914028e-07
103,7.5857165e-07
104,6.9941503e-07
105,6.403127e-07
106,6.0857392e-07
107,5.7125171e-07
108,5.5372765e-07
109,5.0050762e-07
110,4.8278809e-07
111,4.3571794e-07
112,4.2718447e-07
113,3.9924427e-07
114,3.8640508e-07
115,3.5897866e-07
116,3.2192818e-07
117,3.1187692e-07
118,2.8820369e-07
119,2.7895223e-07
120,2.6385712e-07
121,2.512234e-07
122,2.2352968e-07
123,2.0910427e-07
124,2.0137228e-07
125,1.891727e-07
126,1.7556915e-07
127,1.7303773e-07
128,1.6090543e-07
129,1.443686e-07
130,1.4106762e-07
131,1.360372e-07
132,1.2630465e-07
133,1.2418838e-07
134,1.1889594e-07
135,1.1520269e-07
136,1.0965946e-07
137,9.687423e-08
138,9.3686052e-08
139,8.3366387e-08
140,8.1906206e-08
141,8.1022901e-08
142,7.1655966e-08
143,7.084186e-08
144,6.5402926e-08
145,6.4604298e-08
146,6.2741842e-08
147,5.9372349e-08
148,5.6020956e-08
149,5.4960535e-08
150,5.1422793e-08
151,5.0424873e-08
152,4.5532132e-08
153,4.4533206e-08
154,4.3247391e-08
155,4.0717044e-08
156,3.8562754e-08
157,3.5918227e-08
158,3.4052748e-08
159,3.0348832e-08
160,2.9176624e-08
161,2.8098367e-08
162,2.7252001e-08
163,2.5067091e-08
164,2.4337692e-08
165,2.2882078e-08
166,2.2154477e-08
167,2.1256154e-08
168,1.9511976e-08
169,1.8413526e-08
170,1.7772246e-08
171,1.6703578e-08
172,1.5584712e-08
173,1.478331e-08
174,1.4245216e-08
175,1.3422839e-08
176,1.2811909e-08
177,1.2566051e-08
178,1.1290988e-08
179,1.1067937e-08
180,1.0875916e-08
181,1.0194714e-08
182,9.9213883e-09
183,9.4661782e-09
184,9.0604694e-09
185,8.6228976e-09
186,8.359183e-09
187,7.9106422e-09
188,7.865157e-09
189,7.1714492e-09
190,7.0063098e-09
191,6.7607352e-09
192,6.7215826e-09
193,5.9944553e-09
194,5.8684751e-09
195,5.7374038e-09
196,5.3234021e-09
197,5.0087313e-09
198,4.7803542e-09
199,4.5708738e-09
200,4.3967751e-09
201,4.2247201e-09
202,4.0187898e-09
203,3.7330529e-09
204,3.6125194e-09
205,3.4270763e-09
206,3.2976203e-09
207,3.2890043e-09
208,2.9795401e-09
209,2.874285e-09
210,2.8272725e-09
211,2.7504884e-09
212,2.6156374e-09
213,2.49456e-09
214,2.4460815e-09
215,2.3146149e-09
216,2.2689647e-09
217,2.1867383e-09
218,2.1229532e-09
219,2.015108e-09
220,1.9191942e-09
221,1.8603471e-09
222,1.796188e-09
223,1.7210949e-09
224,1.6536509e-09
225,1.6085268e-09
226,1.5513485e-09
227,1.4517189e-09
228,1.4397771e-09
229,1.3975594e-09
230,1.3251696e-09
231,1.3090314e-09
232,1.2890887e-09
233,1.2220703e-09
234,1.1632107e-09
235,1.130658e-09
236,1.0699623e-09
237,9.856396e-10
238,9.5100964e-10
239,9.1475147e-10
240,8.5841001e-10
241,8.4305974e-10
242,8.0227967e-10
243,7.6880435e-10
244,7.3143249e-10
245,7.0214427e-10
246,6.6412066e-10
247,6.5295624e-10
248,6.2974817e-10
249,6.0116797e-10
250,5.8365856e-10
251,5.4678192e-10
252,5.4467454e-10
253,5.1845593e-10
254,4.7947211e-10
255,4.7175931e-10
256,4.6490372e-10
257,4.4295735e-10
258,4.3746637e-10
259,4.0886904e-10
260,3.8624035e-10
261,3.7149605e-10
262,3.6562374e-10
263,3.5493592e-10
264,3.2974956e-10
265,3.0952436e-10
266,3.0712735e-10
267,2.970586e-10
268,2.9420631e-10
269,2.6672492e-10
270,2.5874039e-10
271,2.5094935e-10
272,2.3703097e-10
273,2.2997682e-10
274,2.2264289e-10
275,2.1879599e-10
276,2.0985724e-10
277,1.9641468e-10
278,1.8985258e-10
279,1.8794707e-10
280,1.8565399e-10
281,1.8381687e-10
282,1.7128348e-10
283,1.6780575e-10
284,1.5860306e-10
285,1.5412714e-10
286,1.5071345e-10
287,1.4789366e-10
288,1.4440682e-10
289,1.3673105e-10
290,1.3056774e-10
291,1.2834022e-10
292,1.2320283e-10
293,1.1782902e-10
294,1.1540689e-10
295,1.1417979e-10
296,1.1075084e-10
297,1.0362839e-10
298,1.028358e-10
299,9.8945294e-11
300,9.8384201e-11
301,9.392457e-11
302,8.9106121e-11
303,8.5316399e-11
304,8.1903638e-11
305,7.8378499e-11
306,7.7487969e-11
307,7.3022424e-11
308,7.0209742e-11
309,6.9691136e-11
310,6.6999768e-11
311,6.6495092e-11
312,6.4649898e-11
313,6.2525231e-11
314,5.9366176e-11
315,5.7466819e-11
316,5.6037879e-11
317,5.4363418e-11
318,5.3678027e-11
319,5.1692676e-11
320,4.9927106e-11
321,4.8412197e-11
322,4.7760303e-11
323,4.683182e-11
324,4.5640463e-11
325,4.4315936e-11
326,4.1679904e-11
327,3.7987023e-11
328,3.7632625e-11
329,3.7067357e-11
330,3.5250213e-11
331,3.4706078e-11
332,3.4010179e-11
333,3.2896549e-11
334,3.0916838e-11
335,3.0108464e-11
336,2.9317634e-11
337,2.8182428e-11
338,2.7271267e-11
339,2.6357833e-11
340,2.5994375e-11
341,2.4922982e-11
342,2.3930988e-11
343,2.2785551e-11
344,2.2556503e-11
345,2.1398112e-11
346,2.0571422e-11
347,1.9818399e-11
348,1.9555574e-11
349,1.9227186e-11
350,1.8579935e-11
351,1.8022195e-11
352,1.7301691e-11
353,1.6879728e-11
354,1.5854467e-11
355,1.5532139e-11
356,1.5178979e-11
357,1.4380797e-11
358,1.3855106e-11
359,1.3654342e-11
360,1.3589064e-11
361,1.2590455e-11
362,1.2302525e-11
363,1.1928132e-11
364,1.1729672e-11
365,1.1427023e-11
366,1.1352187e-11
367,1.0622604e-11
368,1.0008909e-11
369,9.7424628e-12
370,9.3960107e-12
371,9.1204553e-12
372,8.9567431e-12
373,8.8924165e-12
374,8.3932655e-12
375,8.2233094e-12
376,8.0544614e-12
377,7.6188085e-12
378,7.3590163e-12
379,7.1686857e-12
380,6.817921e-12
381,6.6800919e-12
382,6.6047659e-12
383,6.5489005e-12
384,6.2398076e-12
385,6.1286888e-12
386,5.8996214e-12
387,5.7437555e-12
388,5.4607152e-12
389,5.2303738e-12
390,5.112153e-12
391,5.0431398e-12
392,4.9858652e-12
393,4.8184859e-12
394,4.5941674e-12
395,4.4768188e-12
396,4.2562363e-12
397,4.1356118e-12
398,4.1150011e-12
399,3.9989779e-12
400,3.8454028e-12
401,3.7977462e-12
402,3.762165e-12
403,3.7008982e-12
404,3.4866128e-12
405,3.3611559e-12
406,3.3023461e-12
407,3.2584475e-12
408,3.105264e-12
409,3.0820555e-12
410,3.0145022e-12
411,2.9357048e-12
412,2.8953924e-12
413,2.6974058e-12
414,2.6565741e-12
415,2.6336261e-12
416,2.5224676e-12
417,2.4134774e-12
418,2.4092249e-12
419,2.3433543e-12
420,2.2432018e-12
421,2.1850994e-12
422,2.1248298e-12
423,2.0731754e-12
424,1.9779477e-12
425,1.9598203e-12
426,1.8880473e-12
427,1.869756e-12
428,1.8252392e-12
429,1.7382415e-12
430,1.6278659e-12
431,1.6274442e-12
432,1.6144507e-12
433,1.6076518e-12
434,1.508013e-12
435,1.4741698e-12
436,1.4647661e-12
437,1.4082781e-12
438,1.4064469e-12
439,1.3620052e-12
440,1.3286467e-12
441,1.2277726e-12
442,1.2188536e-12
443,1.2165619e-12
444,1.1985575e-12
445,1.1544251e-12
446,1.0939801e-12
447,1.0747142e-12
448,1.0242113e-12
449,1.0241316e-12
450,1.0117608e-12
451,9.4336804e-13
452,9.2046413e-13
453,9.1811511e-13
454,8.7388813e-13
455,8.7293764e-13
456,8.3633806e-13
457,8.2976143e-13
458,7.7877189e-13
459,7.7808835e-13
460,7.5168889e-13
461,7.081207e-13
462,6.8175285e-13
463,6.7305523e-13
464,6.4325004e-13
465,6.2266133e-13
466,6.198889e-13
467,6.1787206e-13
468,6.0401759e-13
469,5.959097e-13
470,5.9258042e-13
471,5.7467025e-13
472,5.5009984e-13
473,5.2947098e-13
474,5.2525107e-13
475,5.087311e-13
476,4.9503396e-13
477,4.9077582e-13
478,4.6757331e-13
479,4.5453073e-13
480,4.4045399e-13
481,4.3011705e-13
482,4.2381634e-13
483,4.1929899e-13
484,4.1640222e-13
485,3.9306153e-13
486,3.7511971e-13
487,3.529867e-13
488,3.5201486e-13
489,3.4912836e-13
490,3.4615009e-13
491,3.4127331e-13
492,3.2855599e-13
493,3.2430537e-13
494,3.1095853e-13
495,3.0760406e-13
496,3.0135077e-13
497,2.9271777e-13
498,2.7510249e-13
499,2.7268186e-13
500,2.6024441e-13
501,2.5625915e-13
502,2.5471466e-13
503,2.5211012e-13
504,2.3657232e-13
505,2.3595958e-13
506,2.3588227e-13
507,2.2568426e-13
508,2.1496807e-13
509,1.9622003e-13
510,1.9243113e-13
511,1.8707028e-13
512,1.8668184e-13
513,1.8211196e-13
514,1.8204852e-13
515,1.7924895e-13
516,1.7318967e-13
517,1.708091e-13
518,1.6549785e-13
519,1.6292505e-13
520,1.6276831e-13
521,1.590247e-13
522,1.5695886e-13
523,1.5534164e-13
524,1.5247022e-13
525,1.4707736e-13
526,1.458003e-13
527,1.376329e-13
528,1.3611243e-13
529,1.2672546e-13
530,1.2521283e-13
531,1.2320448e-13
532,1.2277669e-13
533,1.1699373e-13
534,1.1522397e-13
535,1.0683413e-13
536,1.0475549e-13
537,1.032386e-13
538,8.7347707e-14
539,8.5767841e-14
540,8.5730776e-14
541,8.5188681e-14
542,8.5083735e-14
543,8.4644093e-14
544,8.4117964e-14
545,8.3528949e-14
546,8.1109831e-14
547,7.7469176e-14
