step,cos_sr,cos_plain,kappa_S,eff_rank_S,num_rank_S
62,0.99828758,0.31865643,9.7246063e+11,2.0175826,742
88,0.99954689,0.37071945,9.9930752e+11,3.0969231,753
126,0.99967355,0.29920386,9.9363384e+11,3.0602956,748
179,0.99994039,0.20631358,9.7134768e+11,3.3058066,770
254,0.99990365,0.19433676,9.8036967e+11,3.379311,790
362,0.9998666,0.19631105,9.9973508e+11,3.57583,779
514,0.99980757,0.14196792,9.9681128e+11,3.2581582,771
732,0.99971756,0.10942253,9.7742508e+11,3.5057336,789
1041,0.99876472,0.12442154,9.8774888e+11,3.4000891,779
1482,0.99882021,0.10402766,9.7777606e+11,3.3812406,768
2108,0.9990401,0.15115111,9.7872309e+11,3.3728051,775
3000,0.99956238,0.40420401,9.7437452e+11,3.4052384,756
3500,0.9977704,0.073958462,9.9456546e+11,3.4847531,988
