/itf-fi-ml/home/aleksns/Thesis/scripts/wigner_null_bootstrap.py:101: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  b = torch.load(str(pt), map_location="cpu")
N= 6 w=0.001  dcos=0.058459 published=0.058459
N= 6 w=0.01   dcos=0.038604 published=0.038604
N= 6 w=0.1    dcos=0.023352 published=0.023352
N= 6 w=0.5    dcos=0.014999 published=0.014999
N= 6 w=1.0    dcos=0.012153 published=0.012153
N=12 w=0.001  dcos=0.026353 published=0.026353
N=12 w=0.01   dcos=0.012420 published=0.012420
N=12 w=0.1    dcos=0.008480 published=0.008480
N=12 w=0.5    dcos=0.006309 published=0.006309
N=12 w=1.0    dcos=0.005622 published=0.005622
N=20 w=0.001  dcos=0.009537 published=0.009537
N=20 w=0.01   dcos=0.004717 published=0.004717
N=20 w=0.1    dcos=0.004034 published=0.004034
N=20 w=0.5    dcos=0.003194 published=0.003194
N=20 w=1.0    dcos=0.002792 published=0.002792
