ansatz,N,omega,E,E_per_particle,rel_err,Gamma,dx_mean,dx_per_particle,dx_rank,dx_rank_over_2N,BF_improvement_pct,lindemann,corr_rank
bf,12,0.001,,,,,8.5401890588541,0.711682421571175,12.873997933041563,0.5364165805433985,,0.43424753748531847,1.543503110770464
bf,12,0.01,,,,,0.7827231049872445,0.06522692541560371,21.11500170308893,0.8797917376287053,,0.40164284080136275,1.729187388563623
bf,12,0.1,,,,,0.7487607220050365,0.062396726833753045,21.969803420947034,0.9154084758727931,,0.41348755032787243,2.8356978414918146
bf,12,0.5,,,,,0.13764609443132328,0.01147050786927694,21.989788196946403,0.9162411748727668,,0.425685456194004,1.9475198218210643
bf,12,1.0,,,,,0.08115206639782832,0.006762672199819027,21.96720462366129,0.9153001926525537,,0.4306562785759163,1.9895429206367308
bf,2,0.01,0.07389634348527979,0.036948171742639896,0.07630482838541297,3.9037648230474233,0.41495378584781073,0.20747689292390536,1.992871615333626,0.4982179038334065,-0.08209341004533148,0.2559233328204816,1.2260242098754786
bf,2,0.1,0.44075116527158725,0.22037558263579363,0.008810256224678905,1.8779037536367789,0.00046563671374737735,0.00023281835687368867,1.9969643259715761,0.49924108149289403,0.002850520796476416,0.34621612952485153,1.2632494861781223
bf,2,0.5,1.7002972657261257,0.8501486328630629,2.4417398631211404,1.4608088478452033,0.00320550268932399,0.001602751344661995,1.9999651435729824,0.4999912858932456,-0.17728097453546857,0.47090904837648906,1.3265269352135105
bf,2,1.0,2.9999359438771247,1.4999679719385623,0.002135204095843335,0.912430915893655,0.0026343348985687206,0.0013171674492843603,1.9920097984866376,0.4980024496216594,0.010278856228022284,0.4332507900147637,1.26297213936395
bf,6,0.001,0.1660274755510657,0.027671245925177616,83.39725244489344,11.501357062462716,30.024464397102186,5.004077399517031,6.016902578976505,0.501408548248042,-17.76719965554649,0.37259242481477994,1.4232996350413114
bf,6,0.01,0.6913920380443602,0.11523200634072671,13.575995244454976,12.341766430016541,0.17697148744268698,0.029495247907114497,9.258337810865829,0.7715281509054858,0.03353275015292698,0.3383777659539058,1.2288358272075262
bf,6,0.1,3.557642176987006,0.5929403628311677,0.10670616337227894,5.852863946175748,0.47796492405143437,0.07966082067523907,9.982614143564785,0.831884511963732,0.7695986977523736,0.37412324837428984,1.7011262556602529
