ansatz,N,omega,n_layers_hooked,mean_eff_rank,min_eff_rank,max_eff_rank,mean_dead_frac,bottleneck_layer,bottleneck_rank,grad_norm_mean,grad_norm_max,grad_norm_min,grad_norm_ratio
bf,12,0.001,10,2.040304756164551,1.0,4.248976230621338,0.03203125,rho.4,1.0,47686.826042737506,259713.93507859687,256.0,1014.507558900769
bf,12,0.01,10,2.2006924867630007,1.0,4.086095809936523,0.0375,rho.4,1.0,27151.26982035511,183945.2022666582,256.0,718.5359463541336
bf,12,0.1,10,3.1777823090553285,1.0,5.979650974273682,0.0078125,rho.4,1.0,23727.479570619427,120284.17068617627,131.97561448021366,911.4120904828958
bf,12,0.5,10,2.5083083271980287,1.0,4.033301830291748,0.0015625,rho.4,1.0,6244.235250412533,21810.115683703967,256.0,85.19576438946862
bf,12,1.0,10,2.966968035697937,1.0,4.837890625,0.00234375,rho.4,1.0,6153.370278882991,27393.894458599465,210.14320652456055,130.35822052804642
bf,2,0.01,10,1.6377405881881715,1.0,3.5720040798187256,0.07578125,rho.4,1.0,1730.2105816889516,17026.16006120165,10.084772646751146,1688.3038078886887
bf,2,0.1,10,1.9053552985191344,1.0,3.7042195796966553,0.0,rho.4,1.0,360.9842100074476,1541.4429548777605,34.923199347460766,44.138079662791185
bf,2,0.5,10,2.16167893409729,1.0,3.4602222442626953,0.0,rho.4,1.0,152.857968237422,554.2988423762458,1.5100179573731647,367.08096064003576
bf,2,1.0,10,2.038270878791809,1.0,3.57011342048645,0.0,rho.4,1.0,178.9006831627338,699.8194106784634,1.0253429210582379,682.5223018618907
bf,6,0.001,10,2.546902823448181,1.0,4.558913230895996,0.0359375,rho.4,1.0,15110.088879742032,62432.519128712986,256.0,243.8770278465351
bf,6,0.01,10,2.1611395716667174,1.0,3.886131763458252,0.04609375,rho.4,1.0,9399.24660634,42981.82370437971,256.0,167.89774884523325
bf,6,0.1,10,2.98658492565155,1.0,5.3334245681762695,0.0328125,rho.4,1.0,11285.718157181624,66030.68251606867,61.53207604002742,1073.10994144119
bf,6,0.5,10,4.302770674228668,1.0,11.093338966369629,0.0,rho.4,1.0,2097.1956718002198,9500.084217538608,76.44079346441619,124.28029311287793
bf,6,1.0,10,2.729014205932617,1.0,5.065070629119873,0.0,rho.4,1.0,1125.7039060085012,3827.18253273203,135.3083335781103,28.284898878920032
ctnn,12,0.001,10,2.149370312690735,1.0,4.21613073348999,0.0,rho.4,1.0,49059.527447855944,259565.5164303902,256.0,1013.9277985562118
ctnn,12,0.01,10,2.1621612429618837,1.0,4.152819633483887,0.0375,rho.4,1.0,39159.36135974299,297390.26986487233,256.0,1161.6807416596575
ctnn,12,0.1,10,3.2214153528213503,1.0,6.029988765716553,0.00859375,rho.4,1.0,23647.83140299623,114788.96170227262,142.53109620702966,805.3608283173451
ctnn,12,0.5,10,2.755132758617401,1.0,4.48212194442749,0.0015625,rho.4,1.0,6366.281994562769,23820.03917815556,221.8701723913676,107.36025902633831
ctnn,12,1.0,10,2.8549515843391418,1.0,4.722455024719238,0.00390625,rho.4,1.0,5825.833774675306,27029.68557087661,102.70254531084423,263.1841838882116
ctnn,20,0.001,10,2.180729055404663,1.0,3.9876627922058105,0.0296875,rho.4,1.0,165876.66104097257,1122751.6465021828,256.0,4385.748619149152
ctnn,20,0.01,10,2.1892390131950377,1.0,4.0162529945373535,0.01328125,rho.4,1.0,64769.24067229136,284929.50699275814,256.0,1113.0058866904615
ctnn,20,0.1,10,2.7983105540275575,1.0,4.2716264724731445,0.05234375,rho.4,1.0,67266.17256257328,483347.1213920356,36.1808024054438,13359.215088035491
ctnn,20,0.5,10,2.4015532970428466,1.0,4.162964820861816,0.046875,rho.4,1.0,17021.155675392863,93883.98608838877,151.07785775589014,621.4278351767831
ctnn,20,1.0,10,2.274534320831299,1.0,3.8119657039642334,0.04453125,rho.4,1.0,10601.105820114943,50189.91017663662,127.86204284513722,392.5317401460978
ctnn,2,0.001,10,1.543963372707367,1.0,3.639780282974243,0.0921875,rho.4,1.0,95362.51701525056,796777.3933440932,22.29432644461733,35739.02065726971
ctnn,2,0.01,10,1.5137775540351868,1.0,3.714179754257202,0.0921875,rho.4,1.0,96067.43007485007,920216.8992923589,38.64313856738943,23813.20289726469
ctnn,2,0.1,10,2.080000162124634,1.0,3.6696572303771973,0.0,rho.4,1.0,402.392628832368,1512.4274574461729,58.3644340389441,25.913511924693633
ctnn,2,0.5,10,2.2352760553359987,1.0,3.7687082290649414,0.0,rho.4,1.0,193.4473259211419,805.6371199844622,1.7341369181111437,464.5752659841751
ctnn,2,1.0,10,2.1111156582832336,1.0,3.4170236587524414,0.0,rho.4,1.0,173.42572656993102,685.1374588441454,1.2643783389793894,541.8769348715597
ctnn,6,0.001,10,2.5027549624443055,1.0,4.5354390144348145,0.0375,rho.4,1.0,14314.974640032664,58674.87702553536,256.0,229.1987383809975
ctnn,6,0.01,10,2.281901252269745,1.0,4.2444658279418945,0.046875,rho.4,1.0,9750.302716493148,45375.157832720404,256.0,177.24671028406408
ctnn,6,0.1,10,3.514353883266449,1.0,6.69082498550415,0.03515625,rho.4,1.0,10537.943072221666,60962.911907635775,17.69357792016136,3445.482433384497
ctnn,6,0.5,10,4.331527376174927,1.0,11.059645652770996,0.0,rho.4,1.0,1981.9633633686474,8556.667759712402,20.597441760380924,415.4238113284102
ctnn,6,1.0,10,2.8616581201553344,1.0,5.028440475463867,0.0,rho.4,1.0,1319.4519602363982,4352.030798452183,40.934656561796295,106.31653381242408
