ansatz,N,omega,ell,Gamma_Vi_T,lindemann,T_fraction,V_int_fraction,V_trap_fraction,correlation_regime,melting_state,dominant_energy,BF_importance_abs,BF_importance_rel,rel_error_pct,dx_mean,dx_rank,cka_change,corr_rank,is_low_omega,is_high_omega,is_small_N,is_large_N
bf,12,0.001,31.622776601683796,,0.43424753748531847,,,,unknown,liquid,unknown,,,,8.5401890588541,12.873997933041563,0.021168529987335205,1.543503110770464,True,False,False,True
bf,12,0.01,10.0,,0.40164284080136275,,,,unknown,liquid,unknown,,,,0.7827231049872445,21.11500170308893,0.0037481188774108887,1.729187388563623,True,False,False,True
bf,12,0.1,3.162277660168379,,0.41348755032787243,,,,unknown,liquid,unknown,,,,0.7487607220050365,21.969803420947034,0.011461734771728516,2.8356978414918146,False,False,False,True
bf,12,0.5,1.414213562373095,,0.425685456194004,,,,unknown,liquid,unknown,,,,0.13764609443132328,21.989788196946403,0.007226228713989258,1.9475198218210643,False,True,False,True
bf,12,1.0,1.0,,0.4306562785759163,,,,unknown,liquid,unknown,,,,0.08115206639782832,21.96720462366129,0.0025383830070495605,1.9895429206367308,False,True,False,True
bf,2,0.01,10.0,3.9037648230474233,0.2559233328204816,0.13104970558728157,0.5115872307423511,0.35736306367036746,moderately_correlated,crossover,interaction,6.061426794634617e-05,0.0008202607204566295,0.07630482838541297,0.41495378584781073,1.992871615333626,0.00022488832473754883,1.2260242098754786,True,False,True,False
bf,2,0.1,3.162277660168379,1.8779037536367789,0.34621612952485153,0.20833479240837036,0.39123268867681776,0.4004325189148118,weakly_correlated,liquid,trap,-1.2564061767972312e-05,2.8506020534807752e-05,0.008810256224678905,0.00046563671374737735,1.9969643259715761,-1.1920928955078125e-07,1.2632494861781223,False,False,True,False
bf,2,0.5,1.414213562373095,1.4608088478452033,0.47090904837648906,0.25948952956306104,0.379064600708909,0.36144586972803,weakly_correlated,liquid,interaction,0.0030089692326999984,0.0017696724527843039,2.4417398631211404,0.00320550268932399,1.9999651435729824,2.8371810913085938e-05,1.3265269352135105,False,True,True,False
bf,2,1.0,1.0,0.912430915893655,0.4332507900147637,0.2991939470533498,0.27299380713972565,0.4278122458069245,weakly_correlated,liquid,trap,-0.00030839080165101507,0.00010279912885488149,0.002135204095843335,0.0026343348985687206,1.9920097984866376,1.0132789611816406e-05,1.26297213936395,False,True,True,False
bf,6,0.001,31.622776601683796,11.501357062462716,0.37259242481477994,0.04332450192739646,0.49829056622034085,0.4583849318522626,strongly_correlated,liquid,interaction,0.025048089069367785,0.15086713199866517,83.39725244489344,30.024464397102186,6.016902578976505,0.5475702285766602,1.4232996350413114,True,False,True,False
bf,6,0.01,10.0,12.341766430016541,0.3383777659539058,0.048881854923132566,0.6032884361272562,0.34782970894961074,strongly_correlated,liquid,interaction,-0.00023192053402787405,0.00033543998378094406,13.575995244454976,0.17697148744268698,9.258337810865829,0.0003777146339416504,1.2288358272075262,True,False,True,False
bf,6,0.1,3.162277660168379,5.852863946175748,0.37412324837428984,0.09253457388364565,0.5415922712583255,0.3658731548580288,strongly_correlated,liquid,interaction,-0.027591914882401092,0.007755674547845869,0.10670616337227894,0.47796492405143437,9.982614143564785,0.006124377250671387,1.7011262556602529,False,False,True,False
bf,6,0.5,1.414213562373095,3.241015536886272,0.4009919005690751,0.14526646497213463,0.47081086996323374,0.38392266506463163,moderately_correlated,liquid,interaction,-0.1267330261441355,0.010745768101988991,0.07570320337887879,0.17298347850216422,9.994034804760817,0.007747173309326172,3.0488717381878736,False,True,True,False
bf,6,1.0,1.0,2.327403617442137,0.4109026819297149,0.1829485029024799,0.42579500746085497,0.39125648963666515,moderately_correlated,liquid,interaction,-0.4204240190703743,0.02081086709246257,0.2124004610705618,0.19511074690306876,9.907170814636338,0.0011796355247497559,1.3834742119765033,False,True,True,False
ctnn,12,0.001,31.622776601683796,44.51808165006605,0.4333803959440898,0.014572847987462318,0.6487552365798482,0.33667191543268915,strongly_correlated,liquid,interaction,-0.0006402530900569969,0.001241204400332119,48.41678857360807,0.5330623837872801,21.89717859315506,0.000217437744140625,1.659563313654738,True,False,False,True
ctnn,12,0.01,10.0,21.147177546772642,0.4007716510369237,0.029638856965112623,0.6267781705246357,0.34358297251025155,strongly_correlated,liquid,interaction,-0.00444436537777726,0.0017963369483625635,23.706339777414385,0.2959962995517606,21.913939405878985,0.0020975470542907715,1.5397827416762104,True,False,False,True
ctnn,12,0.1,3.162277660168379,9.455404653012865,0.4140695418409838,0.061831589062485266,0.5846426949246026,0.35352571601291216,strongly_correlated,liquid,interaction,-0.054332724733191284,0.0044274997378257715,0.014747155628071098,0.3047562320563647,21.907376452398715,0.007493913173675537,3.0836516148072026,False,False,False,True
ctnn,12,0.5,1.414213562373095,4.965904634160943,0.4240862837089339,0.1056282310856003,0.5245397222462055,0.36983204666819436,moderately_correlated,liquid,interaction,-0.2127278602594842,0.005432460199420895,0.0024012102101829717,0.13612589374887968,21.891380040260923,0.007306575775146484,2.323612924451858,False,True,False,True
ctnn,12,1.0,1.0,3.578923843436148,0.4307660421031777,0.1358458601432475,0.4861819878987608,0.3779721519579917,moderately_correlated,liquid,interaction,-0.39757505680815086,0.006050870734951837,0.008110933901471532,0.09126556007164721,21.9145026299277,0.004507839679718018,1.761658421060411,False,True,False,True
ctnn,20,0.001,31.622776601683796,,0.4800078014457353,,,,unknown,liquid,unknown,,,,0.7421582035448232,37.68058057193248,0.000759422779083252,2.5942106325662286,True,False,False,True
ctnn,20,0.01,10.0,,0.5078444901039098,,,,unknown,liquid,unknown,,,,0.4638940486842973,37.36994482141585,0.00011330842971801758,1.0898332065060863,True,False,False,True
ctnn,20,0.1,3.162277660168379,,0.43674076408443385,,,,unknown,liquid,unknown,,,,0.23862528669784844,37.76327944163584,0.0032116174697875977,2.19827920912373,False,False,False,True
ctnn,20,0.5,1.414213562373095,,0.4440781540311078,,,,unknown,liquid,unknown,,,,0.13934677339213816,37.591081222641066,0.00965970754623413,2.304808319978887,False,True,False,True
ctnn,20,1.0,1.0,,0.4472691741206403,,,,unknown,liquid,unknown,,,,0.09922506594550039,37.62834266356003,0.008987665176391602,2.31925755709677,False,True,False,True
ctnn,2,0.001,31.622776601683796,8.411523311425242,0.18997649739958483,0.06868220989610478,0.5777220096212868,0.35359578048260853,strongly_correlated,near_solid,interaction,2.865283959745807e-05,0.002076586431394981,98.62019518358261,0.09559284086576521,1.8609024500731293,3.743171691894531e-05,1.0001773330131842,True,False,True,False
ctnn,2,0.01,10.0,3.9097304956861016,0.2588907508402087,0.1272370572241936,0.4974626028107873,0.37530033996501927,moderately_correlated,crossover,interaction,9.398553428310863e-05,0.0012710581314192707,0.13915289877326215,3.978659599421954e-17,1.0123214673086216,0.0,1.0373857056628344,True,False,True,False
ctnn,2,0.1,3.162277660168379,1.8760943480146413,0.342773373119126,0.20769225078912698,0.38965025783192053,0.40265749137895274,weakly_correlated,liquid,trap,8.193297825309642e-06,1.858743158073914e-05,0.0017558419654416539,1.4514365876711568e-07,1.0477848205478293,1.7881393432617188e-07,1.308462719575378,False,False,True,False
ctnn,2,0.5,1.414213562373095,1.1579842977273815,0.406271932486549,0.2705776955066635,0.313324722711977,0.41609758178135964,weakly_correlated,liquid,trap,0.0001989759203517849,0.00011987811415761833,0.0029264781325752214,1.0855436483648895e-07,1.7121640539345209,0.0,1.2483485513996138,False,True,True,False
ctnn,2,1.0,1.0,0.9159707627339355,0.43026743041282645,0.2977911876032303,0.2727680212443753,0.429440791152394,weakly_correlated,liquid,trap,-0.00034387971273197593,0.00011462593955493468,0.0005507965530486084,0.028999046562662147,1.9997637044245091,6.079673767089844e-05,1.5270447832938887,False,True,True,False
ctnn,6,0.001,31.622776601683796,,0.33258901104923766,,,,unknown,liquid,unknown,,,,0.5273643408904897,9.965319917902466,0.000838935375213623,1.520773219388642,True,False,True,False
ctnn,6,0.01,10.0,12.774726644022078,0.33906992497502886,0.047299503951589376,0.6042382333793963,0.34846226266901437,strongly_correlated,liquid,interaction,-0.0014619446491439536,0.0021179852031974304,13.718433505996689,0.3515469543258992,9.889004638218443,0.002066969871520996,1.3800879086204763,True,False,True,False
ctnn,6,0.1,3.162277660168379,5.895245278801082,0.3741446123302919,0.09233634953790004,0.5443454286750317,0.3633182217870686,strongly_correlated,liquid,interaction,-0.01434072768176975,0.0040353281120782585,0.001555889442124188,0.303548632127994,9.972171413879693,0.005410194396972656,2.729192266352312,False,False,True,False
ctnn,6,0.5,1.414213562373095,3.241593363128008,0.3997417529790021,0.14615132486654148,0.4737631646997463,0.38008551043371225,moderately_correlated,liquid,interaction,-0.06491274749471287,0.005509201119246276,0.018954506343330284,0.13202413187660314,9.994234189732286,0.008935153484344482,2.6915924290837916,False,True,True,False
ctnn,6,1.0,1.0,2.3993147178590237,0.40947038476958003,0.17925555508977029,0.4300904915848749,0.3906539533253551,moderately_correlated,liquid,interaction,-0.14304518858140014,0.007096094265542047,0.005065602570468443,0.08867179075369203,9.984286682065749,0.021176517009735107,2.685060800915454,False,True,True,False
