N,omega,S,occ,cuts,pt,used_key,frames,r_median,r_max,cos_poly,cos_uni,Delta_cos,Delta_cos_CI95,p_null,JS_poly,JS_uni,CE_gain,L2_poly,psi_mag_mean,psi_mag_std,psi_phase_cvar,psi_phase_Rayleigh_p,d_eff,d95,EVR1,EVR2
6,0.001,2,"(1, 5)","(1,)",../results/tables/6/omega_0.00100/20251230_143725/gr_N6_run_omega_0.00100.pt,samples_X_bohr,30000,130.65644524072553,230.90071596137398,0.9961454116817728,0.9404488108140809,0.0556966008676919,"[+0.05147,+0.05328]",0.0,0.003939045401636945,0.05439531140897816,0.15886476717422138,0.008380490607769246,0.7063213342353983,0.19690258431975657,0.06488411434952235,0.0,3.35667381150906,10,0.5109259579106042,0.1466288119775854
6,0.01,2,"(1, 5)","(1,)",../results/tables/6/omega_0.01000/20251231_002529/gr_N6_run_omega_0.01000.pt,samples_X_bohr,30000,27.921422086693838,56.43183286844189,0.9955044547038389,0.9536646419904349,0.04183981271340398,"[+0.03864,+0.03972]",0.0,0.005221142821388335,0.03620773370804109,0.09826903938625176,0.008622680400197529,0.45691784542570224,0.20845368834346228,0.06439260790586787,0.0,2.7153989563151284,10,0.5866513476151949,0.10557856495168062
6,0.1,2,"(1, 5)","(1,)",../results/tables/6/omega_0.10000/20251030_093416/gr_N6_run_omega_0.10000.pt,samples_X_bohr,1192000,6.241347348373523,17.552744619142203,0.9993077937900817,0.9746496467009248,0.024658147089156923,"[+0.02304,+0.02321]",0.0,0.0008035708865350144,0.01721684848450939,0.05588901687026393,0.0033514686534762118,0.4127118160539683,0.1988299793984361,0.0646263059973663,0.0,2.1730353970928227,8,0.6666321484141399,0.08688148578260198
6,0.5,2,"(1, 5)","(1,)",../results/tables/6/omega_0.50000/20251030_093432/gr_N6_run_omega_0.50000.pt,samples_X_bohr,1192000,2.26615130671668,7.036304957679159,0.9988249265671991,0.983038659325489,0.015786267241710172,"[+0.01471,+0.01492]",0.0,0.0005722646498308836,0.009213634592931709,0.031093145648210196,0.004433817341293831,0.40091926148170043,0.19609598748808335,0.06449943851359585,0.0,1.9624176851072381,8,0.7045589496640631,0.08190839588515117
6,1.0,2,"(1, 5)","(1,)",../results/tables/6/omega_1.00000/20251030_093439/gr_N6_run_omega_1.00000.pt,samples_X_bohr,1192000,1.4898711585655222,4.889486861583942,0.9982713429818417,0.9855314401975709,0.01273990278427084,"[+0.01185,+0.01207]",0.0,0.0009474304699338305,0.007099316370484551,0.022401066171291006,0.005454796863473504,0.3998138097964142,0.19627683701113227,0.06450100120141766,0.0,1.8955005149389357,7,0.7178078119795575,0.0801292313380337
12,0.001,2,"(3, 9)","(3,)",../results/tables/12/omega_0.00100/20251230_182838/gr_N20_run_omega_0.00100.pt,samples_X_bohr,42757,181.28724784942438,288.35953361552663,0.9931855861972327,0.9635414663335309,0.029644119863701857,"[+0.02893,+0.0293]",0.0,0.00470332773582414,0.030763252051423506,0.0811693647664935,0.009693905776708093,0.4739305672680811,0.20717109833500427,0.020207342184203503,0.0,3.6189105921794162,27,0.5081681393547847,0.08060403390229166
12,0.01,2,"(1, 11)","(1,)",../results/tables/12/omega_0.01000/20251230_201654/gr_N12_run_omega_0.01000.pt,samples_X_bohr,25200,38.39840332497165,71.53584331548386,0.9952334428719083,0.9813068065276792,0.013926636344229082,"[+0.01356,+0.0138]",0.0,0.003614572655923876,0.018038073920431285,0.04487684782146939,0.008141453398988653,0.27218224551825687,0.13827460951275936,0.01352030625449796,0.0,2.5056668576438645,20,0.6235016950391561,0.06297396664766121
12,0.1,2,"(1, 11)","(1,)",../results/tables/12/omega_0.10000/20251104_173835/gr_N12_run_omega_0.10000.pt,samples_X_bohr,238400,8.333371064812859,19.129431355032967,0.999491698331663,0.9899815362361362,0.009510162095526797,"[+0.009311,+0.009391]",0.0,0.00028707179314204354,0.008725175330859961,0.028433432833374184,0.0027530246703304628,0.2693384311305508,0.1369909788227282,0.013551498189629307,0.0,2.010648626444663,15,0.6994123208600286,0.06773789843777937
12,0.5,2,"(1, 11)","(1,)",../results/tables/12/omega_0.50000/20251104_152827/gr_N12_run_omega_0.50000.pt,samples_X_bohr,66800,2.972632903005375,7.460804048583425,0.9997140599992216,0.9926952487332606,0.007018811265960934,"[+0.006806,+0.006999]",0.0,0.0001696384755666265,0.005097462875548347,0.017580482372894224,0.002049901970128747,0.2684147611159462,0.13594141884170485,0.013588788723816192,0.0,1.7963454079207286,12,0.741343325676493,0.0669608816991723
12,1.0,2,"(1, 11)","(1,)",../results/tables/12/omega_1.00000/20251104_194000/gr_N12_run_omega_1.00000.pt,samples_X_bohr,238400,1.9251362630646924,5.017731467128567,0.9997297231173502,0.9935998836250014,0.006129839492348799,"[+0.005986,+0.006079]",0.0,0.0003181156049746769,0.004016277329353286,0.01329235977822929,0.0020128934688669474,0.26824371691425064,0.13659467492261637,0.013535482255282005,0.0,1.745027107584066,11,0.7524765811496926,0.06652108016970276
20,0.001,3,"(1, 7, 12)","(1, 8)",../results/tables/20/omega_0.00100/20260102_172150/gr_N12_run_omega_0.00100.pt,samples_X_bohr,25200,222.52157874923486,349.89806038084583,0.9946845673479772,0.9820990449369701,0.012585522411007077,"[+0.01244,+0.01256]",0.0,0.00409700634690961,0.017675534617642735,0.041631518883976426,0.008093437109486854,0.3776457073080511,0.1805830427744343,0.010278783876808695,0.0,3.369815067002478,40,0.5343172157287647,0.05648369468057659
20,0.01,2,"(1, 19)","(1,)",../results/tables/20/omega_0.01000/20251231_002549/gr_N20_run_omega_0.01000.pt,samples_X_bohr,42900,46.5223731957746,118.5341896398864,0.99605780374735,0.991296313080828,0.004761490666521984,"[+0.004639,+0.0048]",0.0,0.003805423228648238,0.008965521764680115,0.014326010064253936,0.0071142190668361475,0.20275655575153587,0.10421803183312232,0.004567913844110261,0.0,1.1955631571039786,6,0.914315928849256,0.015284136463469706
20,0.1,2,"(1, 19)","(1,)",../results/tables/20/omega_0.10000/20251228_113215/gr_N12_run_omega_0.10000.pt,samples_X_bohr,42900,10.041652837176764,21.914459730590483,0.9990798319737725,0.9948288841856471,0.004250947788125403,"[+0.004195,+0.004253]",0.0,0.0007143318156700682,0.0053846653591714,0.015519393246378854,0.0035658178002120804,0.2034014662967676,0.10527976718032392,0.0045762590971887285,0.0,1.8256679740604127,18,0.73588911694652,0.06586826236866658
20,0.5,2,"(1, 19)","(1,)",../results/tables/20/omega_0.50000/20251228_135142/gr_N20_run_omega_0.50000.pt,samples_X_bohr,42900,3.5527086650206394,8.194300279051289,0.9995726354413282,0.996137540860447,0.003435094580881204,"[+0.003377,+0.003453]",0.0,0.00020745434647300289,0.0032357136180127402,0.010722199155471124,0.0024744549538115467,0.2029401169895505,0.10444185369367093,0.004536999284466714,0.0,1.657210737212785,14,0.7730379809168257,0.06704431538009939
20,1.0,2,"(1, 19)","(1,)",../results/tables/20/omega_1.00000/20251228_180301/gr_N20_run_omega_1.00000.pt,samples_X_bohr,42900,2.3044756252322935,6.1321808292268285,0.99967619517304,0.9966079544367982,0.0030682407362417896,"[+0.003007,+0.003095]",0.0,0.00018213250662666588,0.0025969640889098753,0.008694484283724435,0.0021567482094924455,0.2034957519676881,0.10493199296059183,0.004550463322730458,0.0,1.6032784324247495,12,0.7862578642307836,0.06573865984693793
