N,omega,S,occ,cuts,pt,frames,r_median,r_max,psi_mag_mean,psi_mag_std,ang_effrank_per_shell,ang_m1_per_shell,ang_m2_per_shell,rad_effrank_per_shell,rad_m1_per_shell,rad_m2_per_shell,breathing_frac_per_shell,EVR1,EVR2
6,0.001,2,"(1, 5)","(1,)",../results/tables/6/omega_0.00100/20251230_143725/gr_N6_run_omega_0.00100.pt,30000,130.960604744063,205.3632797187717,0.6535834020789028,0.21609367948304492,"-,1.061","-,0.005","-,0.004","-,1.955","-,0.393","-,0.607","-,0.163",0.1285802157996865,0.12184336628935498
6,0.01,2,"(1, 5)","(1,)",../results/tables/6/omega_0.01000/20251231_002529/gr_N6_run_omega_0.01000.pt,30000,27.921681215643492,54.97387068273739,0.4340517771976358,0.21008382067882198,"-,1.395","-,0.045","-,0.035","-,1.951","-,0.389","-,0.611","-,0.147",0.11630899873086518,0.11489466689702178
6,0.1,2,"(1, 5)","(1,)",../results/tables/6/omega_0.10000/20251030_093416/gr_N6_run_omega_0.10000.pt,1192000,6.204304506903641,16.287760112454748,0.40276804859518306,0.1970815728732478,"-,1.712","-,0.080","-,0.075","-,1.964","-,0.405","-,0.595","-,0.166",0.11438282852581622,0.11353004750058693
6,0.5,2,"(1, 5)","(1,)",../results/tables/6/omega_0.50000/20251030_093432/gr_N6_run_omega_0.50000.pt,1192000,2.2336345595012723,6.427125676056949,0.39705373972383784,0.19491288814812657,"-,1.913","-,0.098","-,0.107","-,1.973","-,0.417","-,0.583","-,0.188",0.1141973153698033,0.11292936698184626
6,1.0,2,"(1, 5)","(1,)",../results/tables/6/omega_1.00000/20251030_093439/gr_N6_run_omega_1.00000.pt,1192000,1.4619732302476611,4.372135353463587,0.3972503629205637,0.19516845709244454,"-,1.978","-,0.103","-,0.119","-,1.976","-,0.422","-,0.578","-,0.199",0.11455380559782236,0.11322386879283614
12,0.001,2,"(3, 9)","(3,)",../results/tables/12/omega_0.00100/20251230_182838/gr_N20_run_omega_0.00100.pt,42757,181.5554999262169,282.92067677801924,0.46027165581198803,0.20440896752925428,"1.275,1.369","0.066,0.028","-,0.014","1.000,3.831","1.000,0.147","-,0.222","0.124,0.045",0.10376194938135358,0.10064118767171976
12,0.01,2,"(1, 11)","(1,)",../results/tables/12/omega_0.01000/20251230_201654/gr_N12_run_omega_0.01000.pt,25200,38.49468210594107,69.31582157566159,0.27464616924142515,0.1391593627529346,"-,2.370","-,0.055","-,0.046","-,4.631","-,0.089","-,0.140","-,0.023",0.09534967099891833,0.09316575058670563
12,0.1,2,"(1, 11)","(1,)",../results/tables/12/omega_0.10000/20251104_173835/gr_N12_run_omega_0.10000.pt,238400,8.337503385951731,19.36539954325233,0.2698032411281783,0.1373624560642604,"-,2.738","-,0.060","-,0.058","-,4.766","-,0.104","-,0.161","-,0.037",0.08730188713081832,0.08719579545969593
12,0.5,2,"(1, 11)","(1,)",../results/tables/12/omega_0.50000/20251104_152827/gr_N12_run_omega_0.50000.pt,66800,2.966766728061173,7.171537890013004,0.2682984612218873,0.13592341633927657,"-,2.975","-,0.064","-,0.066","-,4.847","-,0.118","-,0.174","-,0.049",0.08869387895446283,0.08767946309727756
12,1.0,2,"(1, 11)","(1,)",../results/tables/12/omega_1.00000/20251104_194000/gr_N12_run_omega_1.00000.pt,238400,1.9201493079422516,5.068823469356581,0.2679525538597551,0.13649100590835284,"-,3.036","-,0.065","-,0.068","-,4.868","-,0.122","-,0.179","-,0.053",0.08677638858706134,0.08616349512300746
20,0.001,3,"(1, 7, 12)","(1, 8)",../results/tables/20/omega_0.00100/20260102_172150/gr_N12_run_omega_0.00100.pt,25200,222.90598061342374,337.2218141020556,0.3746320332218051,0.1794932625428235,"-,1.796,3.395","-,0.088,0.117","-,0.038,0.065","-,2.931,5.752","-,0.256,0.098","-,0.313,0.116","-,0.031,0.032",0.10931948186608792,0.09800566237075546
20,0.01,2,"(1, 19)","(1,)",../results/tables/20/omega_0.01000/20251231_002549/gr_N20_run_omega_0.01000.pt,42900,46.477513935172674,82.81861380781014,0.20455874522870043,0.10918939741380597,"-,3.506","-,0.043","-,0.035","-,7.933","-,0.027","-,0.044","-,0.037",0.10281803865030756,0.09673487582668683
20,0.1,2,"(1, 19)","(1,)",../results/tables/20/omega_0.10000/20251228_113215/gr_N12_run_omega_0.10000.pt,42900,10.043453988234003,21.278379487351824,0.20401045676299923,0.105527733917325,"-,3.805","-,0.046","-,0.045","-,8.376","-,0.037","-,0.060","-,0.013",0.09327190546581536,0.09168179445425993
20,0.5,2,"(1, 19)","(1,)",../results/tables/20/omega_0.50000/20251228_135142/gr_N20_run_omega_0.50000.pt,42900,3.552644450230801,8.1393006164678,0.2033378247525811,0.10468487180977376,"-,4.126","-,0.051","-,0.053","-,8.575","-,0.045","-,0.071","-,0.018",0.09349462956149636,0.0894665155440707
20,1.0,2,"(1, 19)","(1,)",../results/tables/20/omega_1.00000/20251228_180301/gr_N20_run_omega_1.00000.pt,42900,2.3046663721837746,5.857239569197547,0.20389658448104955,0.10429470412552602,"-,4.206","-,0.053","-,0.056","-,8.639","-,0.049","-,0.074","-,0.021",0.09261442318411145,0.09231610143166008
