N,omega,S,occ,cuts,pt,used_key,frames,psi_mag_mean,psi_mag_std,ang_effrank_per_shell,ang_m1_per_shell,ang_m2_per_shell,rad_effrank_per_shell,rad_m1_per_shell,rad_m2_per_shell,breathing_frac_per_shell,classical_E,classical_breathing_mode_index,classical_breathing_lambda,classical_breathing_dot,classical_breathing_weight,classical_effrank,classical_soft_weight_3,classical_soft_k_eff_3,classical_soft_weight_5,classical_soft_k_eff_5,classical_soft_weight_10,classical_soft_k_eff_10,principal_angles_deg,principal_angle_mean_deg,principal_angle_max_deg,soft_capture_k,soft_capture_k_dim,weighted_angle_deg,varrank_principal_angles_deg,varrank_capture_k,varrank_weighted_angle_deg,comm_rel,var_k50,var_k80,var_k95,alpha_var_vs_lambda,alpha_R2
2,0.001,1,"(2,)",(),../results/tables/2/omega_0.00100/20251218_161124/gr_N2_run_omega_0.00100.pt,samples_X_bohr,66800,nan,nan,1.128,-12.000,-12.000,49.038,-0.830,-0.731,-0.000000,0.01191546859953143,0,2.8345420336906648e-06,1.0,1.0,0.9999999999999989,1.0,3,1.0,5,1.0,10,0.00,0.0,0.0,1.0,1,0.0,0.00,1.0,0.0,0.0,1,1,1,nan,nan
2,0.01,1,"(2,)",(),../results/tables/2/omega_0.01000/20251029_231316/gr_N2_run_omega_0.01000.pt,samples_X_bohr,40192000,nan,nan,1.129,-12.000,-12.000,48.073,-0.677,-0.575,-0.000000,0.05526047271556998,0,0.0003000392115765028,1.0,1.0,0.9999999999999989,1.0,3,1.0,5,1.0,10,0.00,0.0,0.0,1.0,1,0.0,0.00,1.0,0.0,0.0,1,1,1,nan,nan
2,0.1,1,"(2,)",(),../results/tables/2/omega_0.10000/20251029_231312/gr_N2_run_omega_0.10000.pt,samples_X_bohr,40192000,nan,nan,1.134,-12.000,-12.000,49.315,-0.554,-0.457,0.000000,0.25649639205656555,0,0.029999120932933686,1.0,1.0,0.9999999999999991,1.0,3,1.0,5,1.0,10,0.00,0.0,0.0,1.0,1,0.0,0.00,1.0,0.0,0.0,1,1,1,nan,nan
2,0.5,1,"(2,)",(),../results/tables/2/omega_0.50000/20251029_231249/gr_N2_run_omega_0.50000.pt,samples_X_bohr,40192000,nan,nan,1.144,-12.000,-12.000,49.899,-0.474,-0.379,-0.000000,0.7500000002219931,0,0.7499741941696808,1.0,1.0,0.9999999999999996,1.0,3,1.0,5,1.0,10,0.00,0.0,0.0,1.0,1,0.0,0.00,1.0,0.0,0.0,1,1,1,nan,nan
2,1.0,1,"(2,)",(),../results/tables/2/omega_1.00000/20251029_231309/gr_N2_run_omega_1.00000.pt,samples_X_bohr,40192000,nan,nan,1.151,-12.000,-12.000,50.004,-0.446,-0.351,-0.000000,1.190550788976177,0,3.000000911415793,1.0,1.0,1.0000000000000002,1.0,3,1.0,5,1.0,10,0.00,0.0,0.0,1.0,1,0.0,0.00,1.0,0.0,0.0,1,1,1,nan,nan
6,0.001,2,"(1, 5)","(1,)",../results/tables/6/omega_0.00100/20251230_143725/gr_N6_run_omega_0.00100.pt,samples_X_bohr,30000,nan,nan,"-,33.622","-,-0.872","-,-0.768","-,44.613","-,-1.191","-,-1.077","-,-0.339129",0.1335586751180185,6,3.000028972023419e-06,0.9999998295497526,0.11191698072143764,8.995631393935167,0.32869669365718873,3,0.5502524529531975,5,1.0,10,"0.00,0.00,0.00,26.81,54.73,78.82",26.725187501687326,78.81562465123136,0.6802295304675106,6,25.018881507560856,"0.00,0.00,0.00,34.57,41.30,55.85",0.7380975660806216,20.65805651282403,0.021656875436374776,5,8,9,-0.0046654190027243525,0.014819080540223406
6,0.01,2,"(1, 5)","(1,)",../results/tables/6/omega_0.01000/20251231_002529/gr_N6_run_omega_0.01000.pt,samples_X_bohr,30000,nan,nan,"-,50.538","-,-0.671","-,-0.582","-,44.486","-,-1.019","-,-0.907","-,-0.363204",0.6199244372591742,6,0.00029999928587929974,-0.9999999996643765,0.10220182519947424,8.984908080253602,0.3340040138875911,3,0.5517647370149249,5,1.0,10,"0.00,0.00,0.00,10.67,53.25,62.43",21.056846782273407,62.42527878132092,0.7347593485860987,6,20.42526895409791,"0.00,0.00,0.00,36.04,40.05,71.35",0.6933470584858262,23.936096439519996,0.040307834674472416,5,8,9,0.014293279710038532,0.020483321964836376
6,0.1,2,"(1, 5)","(1,)",../results/tables/6/omega_0.10000/20251030_093416/gr_N6_run_omega_0.10000.pt,samples_X_bohr,1192000,nan,nan,"-,55.956","-,-0.605","-,-0.523","-,45.480","-,-0.900","-,-0.792","-,-0.313256",2.8774343460793537,6,0.02999960903724422,-0.9999999967066135,0.1017717064623104,8.983215616999574,0.3341595381539337,3,0.551160328676678,5,1.0,10,"0.00,0.00,0.00,29.75,53.08,61.27",24.018617760750356,61.274631061117546,0.6989179786224513,6,23.899524330003356,"0.00,0.00,0.00,35.86,39.56,79.43",0.6849037394818103,25.677815825158273,0.041758392829735425,5,8,9,0.017126044351924705,0.02834015674135726
6,0.5,2,"(1, 5)","(1,)",../results/tables/6/omega_0.50000/20251030_093432/gr_N6_run_omega_0.50000.pt,samples_X_bohr,1192000,nan,nan,"-,58.249","-,-0.567","-,-0.491","-,46.398","-,-0.838","-,-0.732","-,-0.277808",8.413669067332858,6,0.7500014207787291,0.9999999998915221,0.10135972266197081,8.98086431736334,0.3307051648492076,3,0.5540346060316033,5,1.0,10,"0.00,0.00,0.00,46.32,52.04,86.06",30.736383235096884,86.05701968228489,0.6133906714116932,6,30.61828100109627,"0.00,0.00,0.00,22.33,38.56,65.16",0.749528376015179,20.924334381668693,0.04544074990571737,5,8,9,0.025983622368142577,0.049895551399633864
6,1.0,2,"(1, 5)","(1,)",../results/tables/6/omega_1.00000/20251030_093439/gr_N6_run_omega_1.00000.pt,samples_X_bohr,1192000,nan,nan,"-,58.725","-,-0.557","-,-0.483","-,46.483","-,-0.819","-,-0.714","-,-0.263049",13.35586712817709,6,3.0000018876694736,-0.9999999999963036,0.10136321628809467,8.980731223334406,0.3341305418684604,3,0.550548123140473,5,1.0,10,"0.00,0.00,0.00,50.37,51.90,77.53",29.965978008255803,77.5258935684633,0.6070902089896633,6,29.884362203585262,"0.00,0.00,0.00,33.12,36.68,73.95",0.7077315050620133,23.89121960309705,0.04617512662293773,5,8,9,0.02559998283208159,0.048033280749881
