N,omega,S,occ,cuts,r_means,linds,phis,zmin,fmin,dmin,K,stride,run,pt
6,0.001,2,"(1,5)",(1),"1.123, 4.290","0.626, 0.149","1.000, 0.654",26.07,0.972,5.28,30000,1,20251230_143725,../results/tables/6/omega_0.00100/20251230_143725/gr_N6_run_omega_0.00100.pt
6,0.01,2,"(1,5)",(1),"1.331, 2.964","0.418, 0.219","1.000, 0.434",4.82,0.800,1.75,30000,1,20251231_002529,../results/tables/6/omega_0.01000/20251231_002529/gr_N6_run_omega_0.01000.pt
6,0.1,2,"(1,5)",(1),"0.934, 2.151","0.412, 0.277","1.000, 0.405",3.43,0.720,1.49,1192000,24,20251030_093416,../results/tables/6/omega_0.10000/20251030_093416/gr_N6_run_omega_0.10000.pt
6,0.5,2,"(1,5)",(1),"0.758, 1.779","0.423, 0.309","1.000, 0.397",3.34,0.687,1.37,1192000,24,20251030_093432,../results/tables/6/omega_0.50000/20251030_093432/gr_N6_run_omega_0.50000.pt
6,1.0,2,"(1,5)",(1),"0.704, 1.664","0.430, 0.319","1.000, 0.397",4.04,0.674,1.33,1192000,24,20251030_093439,../results/tables/6/omega_1.00000/20251030_093439/gr_N6_run_omega_1.00000.pt
12,0.001,2,"(3,9)",(3),"2.433, 5.991","0.294, 0.145","0.611, 0.466",7.71,0.712,2.23,42000,1,20260105_112435,../results/tables/12/omega_0.00100/20260105_112435/gr_N12_run_omega_0.00100.pt
12,0.01,2,"(1,11)",(1),"1.037, 3.766","0.410, 0.284","1.000, 0.275",4.74,0.595,1.80,25200,1,20251230_201654,../results/tables/12/omega_0.01000/20251230_201654/gr_N12_run_omega_0.01000.pt
12,0.1,2,"(1,11)",(1),"0.735, 2.682","0.453, 0.309","1.000, 0.270",7.15,0.567,1.65,238400,5,20251104_173835,../results/tables/12/omega_0.10000/20251104_173835/gr_N12_run_omega_0.10000.pt
12,0.5,2,"(1,11)",(1),"0.599, 2.175","0.471, 0.330","1.000, 0.268",5.50,0.524,1.53,66800,2,20251104_152827,../results/tables/12/omega_0.50000/20251104_152827/gr_N12_run_omega_0.50000.pt
12,1.0,2,"(1,11)",(1),"0.551, 2.003","0.474, 0.337","1.000, 0.268",6.48,0.504,1.47,238400,5,20251104_194000,../results/tables/12/omega_1.00000/20251104_194000/gr_N12_run_omega_1.00000.pt
20,0.001,3,"(1,7,12)","(1,8)","1.266, 4.192, 7.833","0.466, 0.241, 0.106","1.000, 0.398, 0.375",2.16,0.373,1.50,25200,1,20260102_172150,../results/tables/20/omega_0.00100/20260102_172150/gr_N12_run_omega_0.00100.pt
20,0.01,2,"(1,19)",(1),"1.047, 4.472","0.487, 0.320","1.000, 0.205",6.72,0.542,1.79,42900,1,20251231_002549,../results/tables/20/omega_0.01000/20251231_002549/gr_N20_run_omega_0.01000.pt
20,0.1,2,"(1,19)",(1),"0.746, 3.139","0.423, 0.336","1.000, 0.204",6.13,0.464,1.51,42900,1,20251228_113215,../results/tables/20/omega_0.10000/20251228_113215/gr_N12_run_omega_0.10000.pt
20,0.5,2,"(1,19)",(1),"0.601, 2.517","0.438, 0.351","1.000, 0.203",6.53,0.420,1.38,42900,1,20251228_135142,../results/tables/20/omega_0.50000/20251228_135142/gr_N20_run_omega_0.50000.pt
20,1.0,2,"(1,19)",(1),"0.554, 2.320","0.444, 0.356","1.000, 0.204",6.06,0.406,1.33,42900,1,20251228_180301,../results/tables/20/omega_1.00000/20251228_180301/gr_N20_run_omega_1.00000.pt
