N,omega,S,occ,cuts,pt,used_key,frames,psi_mag_mean,psi_mag_std,ang_effrank_per_shell,ang_m1_per_shell,ang_m2_per_shell,rad_effrank_per_shell,rad_m1_per_shell,rad_m2_per_shell,breathing_frac_per_shell,classical_E,classical_breathing_mode_index,classical_breathing_lambda,classical_breathing_dot,classical_breathing_weight,classical_effrank,classical_soft_weight_3,classical_soft_k_eff_3,classical_soft_weight_5,classical_soft_k_eff_5,classical_soft_weight_10,classical_soft_k_eff_10,principal_angles_deg,principal_angle_mean_deg,principal_angle_max_deg,soft_capture_k,soft_capture_k_dim,weighted_angle_deg,varrank_principal_angles_deg,varrank_capture_k,varrank_weighted_angle_deg,comm_rel,var_k50,var_k80,var_k95,alpha_var_vs_lambda,alpha_R2,EVR1,EVR2,ERROR
2,0.001,1,"(2,)",(),../results/tables/2/omega_0.00100/20251218_161124/gr_N2_run_omega_0.00100.pt,samples_X_bohr,66800,0.8753582890702184,0.162710774354656,59.984,-1.000,-1.000,46.278,-0.937,-0.898,0.380223,0.011905507889761508,3,3.0000001719982634e-06,0.9999999999999999,0.4523611607522039,2.7824978800013302,0.5547176514993553,3,0.5547176514993553,5,0.5547176514993553,10,"0.00,0.00,89.86",29.95359884447204,89.86079482586882,0.5547176514993553,3,4.862906989480113,"0.00,0.00,89.86",0.5547176514993551,4.862906581290385,0.0069832750707665685,2,2,4,nan,nan,0.4537203218626808,0.44392916601379134,
2,0.01,1,"(2,)",(),../results/tables/2/omega_0.01000/20251029_231316/gr_N2_run_omega_0.01000.pt,samples_X_bohr,40192000,0.7552347736824531,0.2636966422774766,59.996,-1.000,-1.000,46.942,-0.940,-0.903,0.391669,0.05526047247960585,3,0.0003000000171998264,0.9999999999999999,0.40619093050948724,3.245084603676043,0.5946595043829321,3,0.5946595043829321,5,0.5946595043829321,10,"0.00,0.00,89.93",29.97660410192896,89.92981230578688,0.5946595043829321,3,9.363124768638073,"0.00,0.00,89.93",0.5946595043829321,9.363125150372,0.0014310162468515505,2,2,4,nan,nan,0.4065166513850275,0.40501601502211726,
2,0.1,1,"(2,)",(),../results/tables/2/omega_0.10000/20251029_231312/gr_N2_run_omega_0.10000.pt,samples_X_bohr,40192000,0.6655176464532282,0.3017063121770227,59.997,-1.000,-1.000,48.542,-0.948,-0.916,0.413499,0.2564963920015048,3,0.03000000171998264,0.9999999999999999,0.3585929064132939,3.6279340498780552,0.6413272559775143,3,0.6413272559775143,5,0.6413272559775143,10,"0.00,0.00,89.88",29.959064333726605,89.87719129363252,0.6413272559775143,3,14.832916837062957,"0.00,0.00,89.88",0.6413272559775143,14.832916481975046,0.0033239466550740253,2,3,4,nan,nan,0.35999164598409134,0.35728004093378973,
2,0.5,1,"(2,)",(),../results/tables/2/omega_0.50000/20251029_231249/gr_N2_run_omega_0.50000.pt,samples_X_bohr,40192000,0.634569472171718,0.3079238627185828,59.997,-1.000,-1.000,48.093,-0.946,-0.912,0.440385,0.7500000000000007,3,0.7500000429995659,0.9999999999999999,0.32095589008707426,3.838170873236429,0.678262323299736,3,0.678262323299736,5,0.678262323299736,10,"0.00,0.00,89.92",29.974991002220875,89.92497152788329,0.678262323299736,3,19.62847322623278,"0.00,0.00,89.92",0.678262323299736,19.628472649209538,0.001164996945730363,2,3,4,nan,nan,0.32188986389827656,0.3208053658907944,
2,1.0,1,"(2,)",(),../results/tables/2/omega_1.00000/20251029_231309/gr_N2_run_omega_1.00000.pt,samples_X_bohr,40192000,0.630050335102982,0.3081752704769432,59.997,-1.000,-1.000,47.998,-0.945,-0.911,0.451939,1.1905507889761506,3,3.0000001719982636,0.9999999999999999,0.308525115951774,3.8923277754047043,0.6922572875549742,3,0.6922572875549742,5,0.6922572875549742,10,"0.00,0.00,89.83",29.94480901172659,89.83442703517977,0.6922572875549742,3,21.37309917936503,"0.00,0.00,89.83",0.6922572875549743,21.373099179365028,0.0021603622142950087,2,3,4,nan,nan,0.3087999123985467,0.3074818854301452,
6,0.001,2,"(1, 5)","(1,)",../results/tables/6/omega_0.00100/20251230_143725/gr_N6_run_omega_0.00100.pt,samples_X_bohr,30000,0.6535834020789028,0.2160936794830447,"-,59.984","-,-1.000","-,-1.000","25.193,27.266","-0.788,-0.807","-0.653,-0.678","1.000000,0.138941",0.13355867128168067,9,3.0000000112681196e-06,1.0000000000000004,0.09980860074656864,10.404861058094962,0.19991068220174105,3,0.3041394698867446,5,0.8078769639149067,10,"1.91,34.30,41.08,73.76,89.86,90.00",55.15156473430446,89.99861716051008,0.4014355968386567,6,53.268437646144804,"0.00,0.19,16.30,33.38,47.51,71.12",0.6049771686841338,26.604112547803496,0.027691020596578936,5,9,10,0.38217543561083805,0.05531070663076654,0.11713059713084598,0.11089498926542901,
6,0.01,2,"(1, 5)","(1,)",../results/tables/6/omega_0.01000/20251231_002529/gr_N6_run_omega_0.01000.pt,samples_X_bohr,30000,0.4340517771976358,0.21008382067882123,"-,59.985","-,-1.000","-,-1.000","29.296,36.482","-0.825,-0.878","-0.693,-0.795","1.000000,0.129047",0.6199244372532087,9,0.000300000001126812,1.0000000000000004,0.09091216336371567,10.684562441998098,0.21378456191796036,3,0.31705861843541694,5,0.8109693663303946,10,"5.47,37.65,54.37,66.37,89.83,89.93",57.27160135088271,89.93447458562312,0.40827247869840905,6,56.63567204943575,"0.02,0.29,30.50,36.02,69.48,71.87",0.6146841369023639,34.10147495254816,0.0526343105401179,5,9,10,0.26480741257274365,0.0469343689778291,0.11256999345640788,0.11021881627559975,
6,0.1,2,"(1, 5)","(1,)",../results/tables/6/omega_0.10000/20251030_093416/gr_N6_run_omega_0.10000.pt,samples_X_bohr,1192000,0.40281694465001155,0.19695331775059097,"-,59.988","-,-1.000","-,-1.000","25.204,41.023","-0.788,-0.907","-0.638,-0.844","1.000000,0.148162",2.877434345638179,9,0.030000000112681204,1.0000000000000004,0.08939800869334313,11.048919690821677,0.22139806991222544,3,0.33012686494196725,5,0.8114245329677074,10,"26.52,30.42,42.57,65.82,89.93,89.98",57.53841840044944,89.97837384691185,0.417853747509456,6,57.19650605275987,"0.00,0.11,18.17,29.47,54.29,79.76",0.6051454617440954,29.925258998749428,0.05582895515068455,5,9,10,0.18352729519546196,0.04363652072407731,0.10816410693460282,0.10794875923205928,
6,0.5,2,"(1, 5)","(1,)",../results/tables/6/omega_0.50000/20251030_093432/gr_N6_run_omega_0.50000.pt,samples_X_bohr,1192000,0.39690887871015107,0.19505336274145565,"-,59.996","-,-1.000","-,-1.000","23.657,42.347","-0.773,-0.915","-0.614,-0.858","1.000000,0.167136",8.413669067188966,9,0.7500000028170299,1.0000000000000004,0.08683287060662334,11.304364500032346,0.22631030245952807,3,0.34205111228158275,5,0.816256313523053,10,"6.42,39.34,43.89,72.11,89.86,89.94",56.92696090337512,89.9395900092205,0.4273329888499442,6,56.753054359782475,"0.03,0.09,20.32,32.49,48.04,75.58",0.5976663904706134,29.28088440723998,0.058000590838778045,5,9,11,0.13580881335694422,0.0401462533925403,0.10614323213151677,0.1056934456706279,
6,1.0,2,"(1, 5)","(1,)",../results/tables/6/omega_1.00000/20251030_093439/gr_N6_run_omega_1.00000.pt,samples_X_bohr,1192000,0.3974517526349487,0.195045316573186,"-,59.999","-,-1.000","-,-1.000","23.263,42.547","-0.769,-0.916","-0.608,-0.861","1.000000,0.175772",13.355867128168065,9,3.0000000112681198,1.0000000000000004,0.08659559413188099,11.410739200342412,0.22800676499026085,3,0.3469372908604548,5,0.8182367286058052,10,"4.83,39.44,46.96,67.83,89.94,89.96",56.49370120827052,89.96246695408993,0.4318962663941623,6,56.33715803638497,"0.03,0.17,22.75,32.48,60.96,70.65",0.5916256680420644,31.026868408038723,0.05854404048641291,6,9,11,0.1196446520775028,0.039743384614873034,0.10512951063451878,0.10491759836511957,
