N,omega,S,occ,cuts,frames_total,frames_train,frames_test,drop_frame_frac,drop_right_test,drop_right_poly,drop_right_uni,cos_poly,cos_uni,dcos,L2_poly,L2_uni,cos_min_poly,cos_mean_poly,cos_min_uni,cos_mean_uni,ang_rmse_frac,mu,sigma,sigma_theta,pt,used_key
6,0.001,2,"(1,5)",(1),30000,15000,15000,0.000000,0.000004,0.000017,0.000028,0.994236556,0.935778026,0.058458530,1.043827e-02,3.328951e-02,0.986494284,0.992236661,0.887457652,0.936075086,"-, 0.154","35.449, 135.672","22.275, 20.177","0.000, 0.194",../results/tables/6/omega_0.00100/20251230_143725/gr_N6_run_omega_0.00100.pt,samples_X_bohr
6,0.01,2,"(1,5)",(1),30000,15000,15000,0.000000,0.000004,0.000000,0.000000,0.992205405,0.953600964,0.038604442,1.140046e-02,2.685597e-02,0.984020600,0.989601028,0.937224001,0.958509400,"-, 0.254","13.334, 29.646","5.561, 6.491","0.000, 0.319",../results/tables/6/omega_0.01000/20251231_002529/gr_N6_run_omega_0.01000.pt,samples_X_bohr
6,0.1,2,"(1,5)",(1),1192000,596000,596000,0.000000,0.000006,0.000006,0.000006,0.997413145,0.974060810,0.023352335,6.830897e-03,2.034506e-02,0.994896436,0.996068726,0.961765178,0.976772470,"-, 0.323","2.955, 6.799","1.216, 1.882","0.000, 0.405",../results/tables/6/omega_0.10000/20251030_093416/gr_N6_run_omega_0.10000.pt,samples_X_bohr
6,0.5,2,"(1,5)",(1),1192000,596000,596000,0.000000,0.000006,0.000000,0.000000,0.998583102,0.983583968,0.014999134,5.089853e-03,1.630506e-02,0.996858576,0.997132589,0.974080972,0.984844612,"-, 0.371","1.069, 2.516","0.455, 0.779","0.000, 0.466",../results/tables/6/omega_0.50000/20251030_093432/gr_N6_run_omega_0.50000.pt,samples_X_bohr
6,1.0,2,"(1,5)",(1),1192000,596000,596000,0.000000,0.000005,0.000000,0.000000,0.998779087,0.986625877,0.012153210,4.694522e-03,1.475390e-02,0.996968128,0.997337025,0.979201540,0.987602380,"-, 0.389","0.703, 1.664","0.304, 0.532","0.000, 0.489",../results/tables/6/omega_1.00000/20251030_093439/gr_N6_run_omega_1.00000.pt,samples_X_bohr
12,0.001,2,"(3,9)",(3),42757,21378,21379,0.000000,0.000006,0.000098,0.000077,0.986750112,0.960396835,0.026353277,1.339136e-02,2.298411e-02,0.973458663,0.983836493,0.809316785,0.913699650,"0.182, 0.230","77.217, 188.922","23.458, 27.391","0.380, 0.161",../results/tables/12/omega_0.00100/20251230_182838/gr_N20_run_omega_0.00100.pt,samples_X_bohr
12,0.01,2,"(1,11)",(1),25200,12600,12600,0.000000,0.000008,0.000270,0.000216,0.992912389,0.980492055,0.012420334,9.923300e-03,1.641670e-02,0.990839465,0.993471843,0.973577028,0.984741829,"-, 0.367","10.341, 37.662","4.265, 10.697","0.000, 0.210",../results/tables/12/omega_0.01000/20251230_201654/gr_N12_run_omega_0.01000.pt,samples_X_bohr
12,0.1,2,"(1,11)",(1),238400,119200,119200,0.000000,0.000007,0.000049,0.000037,0.998045769,0.989565779,0.008479990,5.431008e-03,1.238595e-02,0.997270016,0.998071589,0.985269040,0.991991710,"-, 0.437","2.323, 8.481","1.053, 2.628","0.000, 0.250",../results/tables/12/omega_0.10000/20251104_173835/gr_N12_run_omega_0.10000.pt,samples_X_bohr
12,0.5,2,"(1,11)",(1),66800,33400,33400,0.000000,0.000009,0.000010,0.000019,0.998985943,0.992676957,0.006308987,4.012316e-03,1.051837e-02,0.998542358,0.998871705,0.989621262,0.994366573,"-, 0.495","0.846, 3.078","0.400, 1.015","0.000, 0.283",../results/tables/12/omega_0.50000/20251104_152827/gr_N12_run_omega_0.50000.pt,samples_X_bohr
12,1.0,2,"(1,11)",(1),238400,119200,119200,0.000000,0.000005,0.000006,0.000006,0.999291656,0.993669654,0.005622002,3.357225e-03,9.847041e-03,0.998942350,0.999211443,0.990958681,0.995178021,"-, 0.518","0.553, 2.003","0.262, 0.676","0.000, 0.296",../results/tables/12/omega_1.00000/20251104_194000/gr_N12_run_omega_1.00000.pt,samples_X_bohr
20,0.001,3,"(1,7,12)","(1,8)",25200,12600,12600,0.000000,0.000000,0.000056,0.000044,0.991528678,0.981991752,0.009536926,1.018947e-02,1.491005e-02,0.976583522,0.987966869,0.937245504,0.974142796,"-, 0.307, 0.277","39.937, 132.560, 247.709","18.652, 31.895, 26.283","0.000, 0.276, 0.145",../results/tables/20/omega_0.00100/20260102_172150/gr_N12_run_omega_0.00100.pt,samples_X_bohr
20,0.01,2,"(1,19)",(1),42900,21450,21450,0.000000,0.000001,0.000480,0.000465,0.994742226,0.990025670,0.004716556,8.214148e-03,1.136491e-02,0.982817724,0.988277858,0.982825183,0.985304884,"-, 0.546","10.394, 44.632","4.375, 14.256","0.000, 0.180",../results/tables/20/omega_0.01000/20251231_002549/gr_N20_run_omega_0.01000.pt,samples_X_bohr
20,0.1,2,"(1,19)",(1),42900,21450,21450,0.000000,0.000005,0.000157,0.000162,0.998242146,0.994208629,0.004033518,4.947762e-03,8.971995e-03,0.993148690,0.995361823,0.992525854,0.992861047,"-, 0.551","2.361, 9.927","0.996, 3.337","0.000, 0.182",../results/tables/20/omega_0.10000/20251228_113215/gr_N12_run_omega_0.10000.pt,samples_X_bohr
20,0.5,2,"(1,19)",(1),42900,21450,21450,0.000000,0.000006,0.000056,0.000053,0.999018825,0.995824566,0.003194259,3.778886e-03,7.784049e-03,0.995933363,0.997257121,0.994561542,0.995163592,"-, 0.622","0.848, 3.559","0.373, 1.248","0.000, 0.206",../results/tables/20/omega_0.50000/20251228_135142/gr_N20_run_omega_0.50000.pt,samples_X_bohr
20,1.0,2,"(1,19)",(1),42900,21450,21450,0.000000,0.000006,0.000043,0.000036,0.999202513,0.996410450,0.002792064,3.433074e-03,7.251046e-03,0.996378308,0.997589939,0.995268374,0.995749628,"-, 0.652","0.555, 2.319","0.246, 0.826","0.000, 0.216",../results/tables/20/omega_1.00000/20251228_180301/gr_N20_run_omega_1.00000.pt,samples_X_bohr
