file	N	omega_str	omega	mcmc::step_sigma	mcmc::acc_burn	mcmc::acc_mix	pinn.rho_in::eff_rank	pinn.rho_in::idim	pinn.rho_in::pr	backflow.dx::eff_rank	backflow.dx::idim	backflow.dx::pr	bf_sweep::dlogpsi(alpha=1.0)-dlogpsi(alpha=0.0)::mean	bf_sweep::logpsi(alpha=1.0)::std	phys_mean::r_mean	phys_mean::r_min	phys_mean::shell_contrast	backflow.dx::expvar_pc1	backflow.dx::expvar_pc2	backflow.dx::expvar_pc3	backflow::dx_decomp::com_energy_frac	backflow::dx_decomp::radial_frac_of_rel	backflow::dx_decomp::rel_energy_frac	backflow::dx_decomp::tangential_frac_of_rel	backflow::near_field_dx2_share@q=0.01	backflow::near_field_dx2_share@q=0.05	backflow::near_field_dx2_share@q=0.1	ctnn::dx_head::eff_rank_mean	ctnn::dx_head::idim_mean	ctnn::edge_embed::eff_rank_mean	ctnn::edge_embed::idim_mean	ctnn::edge_update::eff_rank_mean	ctnn::edge_update::idim_mean	ctnn::node_embed::eff_rank_mean	ctnn::node_embed::idim_mean	ctnn::node_update::eff_rank_mean	ctnn::node_update::idim_mean	ctnn::rho_e_to_v::eff_rank_mean	ctnn::rho_e_to_v::idim_mean	ctnn::rho_v_to_e::eff_rank_mean	ctnn::rho_v_to_e::idim_mean	phys_mean::Pr(r<0.25)	phys_mean::r_var	phys_std::Pr(r<0.25)	phys_std::r_mean	phys_std::r_min	phys_std::r_var	phys_std::shell_contrast	pinn.rho_in::expvar_pc1	pinn.rho_in::expvar_pc2	pinn.rho_in::expvar_pc3	pinn.rho_out::eff_rank	pinn.rho_out::expvar_pc1	pinn.rho_out::idim	pinn.rho_out::pr
N2_omega0p001.json	2	0.001	0.001	13.6622	0.601365	0.600611	1.00018	1.17423	1.00003	1.54765	2.14333	1.36314	-0.00497426	0.602322	4.09688	4.09688	0.14513	0.841762	0.158238	4.85901e-11	3.99178e-16	0.524982	1	0.475018	0.750916	1.10549	0.849192	1.86866	1.55281	1.02558	1.5	1.38923	2.43694	1.99472	1.43738	3.02235	2.8185	1.24365	2.19415	1.99746	1.38746	0	0	0	0.756345	0.756345	0	0.0152942	0.999986	1.07728e-05	1.75968e-06	1	1	1.07166	1
N2_omega0p01.json	2	0.01	0.01	4.32148	0.602824	0.600573	1.03422	1.44433	1.00963	3.6239	4.99978e+11	1.6e-11	0	0.631428	2.92689	2.92689	0.145731	0.2	0.2	0.2	5.55994e-18	6.63415e-16	1.67169e-15	1.00827e-15	7.59958e-20	3.17506e-20	1.60265e-20	1.05031	1.4687	1.12899	1.49909	1.33427	2.03821	1.97553	1.44314	1.07475	1.69082	1.2668	1.80263	1.98828	1.36214	0	0	0	0.776654	0.776654	0	0.0163282	0.995214	0.00291769	0.00185195	1	1	1.07903	1
N2_omega0p1.json	2	0.1	0.1	1.38655	0.599332	0.600038	1.2976	2.30009	1.14286	3.63123	1.894e+11	1.73561e-11	-3.45798e-08	0.631924	2.1217	2.1217	0.144709	0.225697	0.193586	0.193574	0.000232194	0.526385	0.999762	0.473609	3.14374	1.79166	1.06891	1.05766	1.521	1.05226	1.52299	1.13695	2.26028	1.99454	1.4365	1.04517	1.92888	1.02994	2.02216	1.97095	1.34336	0	0	0	0.723824	0.723824	0	0.0145118	0.93327	0.0631998	0.00314578	1	1	1.06539	1
N2_omega0p5.json	2	0.5	0.5	0.624642	0.599704	0.59855	1.24259	3.04184	1.10005	3.62586	9047.84	1.61899e-11	-7.21171e-08	0.637632	1.71449	1.71449	0.14549	0.203313	0.199482	0.199074	0.00255017	0.607676	0.997417	0.392291	0.0603351	0.0506622	0.0469872	1.41937	1.55275	1.30992	1.50763	1.1974	2.36647	1.98885	1.45003	1.39859	1.99474	1.0299	2.03695	1.96481	1.37549	0.00477099	0	0.0689074	0.705836	0.705836	0	0.0159254	0.952566	0.0405255	0.00389329	1	1	1.07234	1
N2_omega1p0.json	2	1.0	1	0.440254	0.600601	0.600687	1.48781	2.90528	1.21691	1.99351	2.04239	1.9871	0.0397795	0.657981	1.63457	1.63457	0.145731	0.540281	0.459719	5.48463e-10	1.4328e-14	0.548705	1	0.451295	0.0213551	0.0737461	0.127514	1.80854	1.56308	1.04965	1.52135	1.07524	2.12421	1.99647	1.45293	1.7634	2.41745	1.02765	2.02821	1.98175	1.38798	0.00667939	0	0.0814541	0.724884	0.724884	0	0.0163282	0.904171	0.0484549	0.0432003	1	1	1.06033	1
N6_omega0p001.json	6	0.001	0.001	5.77582	0.625763	0.638989	1.51901	4.76739	1.20746	9.77212	8.71542	9.51735	-0.0408007	1.45125	5.86622	3.23543	0.089554	0.158376	0.120315	0.102488	5.90989e-34	0.587303	1	0.412697	1.02712	1.12216	1.13938	1.96786	1.5331	1.03351	2.88402	4.43262	4.33696	1.99806	1.42103	4.89463	5.07147	4.80752	4.11076	1.98756	1.35329	0	3.35227	0	0.330996	0.453845	0.451509	0.0131809	0.908269	0.0512382	0.0193962	1	1	1.07249	1
N6_omega0p01.json	6	0.01	0.01	2.12713	0.600658	0.604084	1.39062	5.06836	1.1443	9.51137	9.17513	9.0016	0.0252205	1.18663	4.10745	1.91781	0.0883344	0.166259	0.161746	0.10042	1.34565e-16	0.300217	1	0.699784	1.362	1.37156	1.3247	1.97115	1.54776	1.09573	3.17304	4.29736	4.10684	1.98986	1.46338	6.759	5.30661	4.685	4.01644	1.97836	1.35455	0	1.86184	0	0.321431	0.418519	0.368952	0.0125662	0.934074	0.0283675	0.0218901	1	1	1.06832	1
N6_omega0p1.json	6	0.1	0.1	0.686804	0.601737	0.600229	2.74367	6.14071	1.81004	9.88463	9.42614	9.76329	-0.108219	1.08948	2.96381	1.18259	0.08669	0.131702	0.125181	0.105353	3.60353e-34	0.324408	1	0.675592	1.52307	1.56428	1.50089	1.9979	1.58439	1.21396	3.12241	4.09126	4.14594	1.99929	1.4405	6.16138	4.95875	4.50475	3.9949	1.98885	1.37503	0.000254453	1.13525	0.00411081	0.318079	0.348913	0.304438	0.0127369	0.731477	0.0976513	0.0601819	1	1	1.0568	1
N6_omega0p5.json	6	0.5	0.5	0.306555	0.601365	0.599122	2.84594	6.39037	1.82859	9.93383	9.50706	9.8676	-0.00989841	1.03774	2.43704	0.865365	0.0872062	0.124288	0.109193	0.106526	3.36138e-34	0.383403	1	0.616597	1.17789	1.16217	1.14049	1.88016	1.60415	1.08399	2.74125	3.65472	3.83098	1.99982	1.4464	3.18993	3.3846	3.3594	3.51036	1.98923	1.36534	0.00120865	0.852727	0.00889471	0.301266	0.315045	0.27161	0.0124672	0.728749	0.090815	0.0626643	1	1	1.06233	1
N6_omega1p0.json	6	1.0	1	0.211041	0.606145	0.604924	2.73221	4.52227	2.10349	9.89171	9.30739	9.78807	-0.0781274	1.07653	2.27299	0.779979	0.0866695	0.124532	0.117877	0.110339	5.85808e-34	0.560276	1	0.439724	1.07998	1.20265	1.19111	1.94379	1.60349	1.08577	2.73698	3.43885	3.6722	1.99964	1.44147	2.70326	3.12913	3.25545	3.3018	1.98632	1.37929	0.00273537	0.773966	0.0132241	0.305419	0.298334	0.25706	0.0125125	0.652275	0.170899	0.141184	1	1	1.07792	1
