file,N,omega_str,mcmc::step_sigma,mcmc::acc_burn,mcmc::acc_mix,pinn.rho_in::eff_rank,pinn.rho_in::idim,backflow.dx::eff_rank,backflow.dx::idim,ctnn::node_update::eff_rank_mean,bf_sweep::dlogpsi(alpha=1)-dlogpsi(alpha=0)::mean,phys_mean::r_mean,phys_mean::r_min,phys_mean::shell_contrast,backflow.dx::expvar_pc1,backflow.dx::expvar_pc2,backflow.dx::expvar_pc3,backflow.dx::note,backflow.dx::pr,backflow::dx_decomp::com_energy_frac,backflow::dx_decomp::radial_frac_of_rel,backflow::dx_decomp::rel_energy_frac,backflow::dx_decomp::tangential_frac_of_rel,backflow::near_field_dx2_share@q=0.01,backflow::near_field_dx2_share@q=0.05,backflow::near_field_dx2_share@q=0.1,bf_sweep::logpsi(alpha=1)::std,ctnn::dx_head::eff_rank_mean,ctnn::dx_head::idim_mean,ctnn::edge_embed::eff_rank_mean,ctnn::edge_embed::idim_mean,ctnn::edge_update::eff_rank_mean,ctnn::edge_update::idim_mean,ctnn::node_embed::eff_rank_mean,ctnn::node_embed::idim_mean,ctnn::node_update::idim_mean,ctnn::rho_e_to_v::eff_rank_mean,ctnn::rho_e_to_v::idim_mean,ctnn::rho_v_to_e::eff_rank_mean,ctnn::rho_v_to_e::idim_mean,omega,phys_mean::Pr(r<0.25),phys_mean::r_var,pinn.rho_in::expvar_pc1,pinn.rho_in::expvar_pc2,pinn.rho_in::expvar_pc3,pinn.rho_in::note,pinn.rho_in::pr,pinn.rho_out::eff_rank,pinn.rho_out::expvar_pc1,pinn.rho_out::expvar_pc2,pinn.rho_out::expvar_pc3,pinn.rho_out::idim,pinn.rho_out::note,pinn.rho_out::pr
N2_omega1p0.json,2,1,0.440254,0.600601,0.600687,,,,,,0.0397795,1.63457,1.63457,0.145731,,,,,,1.4328e-14,0.548705,1,0.451295,0.0213551,0.0737461,0.127514,0.657981,,,,,,,,,,,,,,1,0.00667939,0,,,,,,,,,,,,
N2_omega0p5.json,2,0.5,0.624642,0.599704,0.59855,,,,,,-7.21171e-08,1.71449,1.71449,0.14549,,,,,,0.00255017,0.607676,0.997417,0.392291,0.0603351,0.0506622,0.0469872,0.637632,,,,,,,,,,,,,,0.5,0.00477099,0,,,,,,,,,,,,
N2_omega0p1.json,2,0.1,1.38655,0.599332,0.600038,,,,,,-3.45798e-08,2.1217,2.1217,0.144709,,,,,,0.000232194,0.526385,0.999762,0.473609,3.14374,1.79166,1.06891,0.631924,,,,,,,,,,,,,,0.1,0,0,,,,,,,,,,,,
N2_omega0p01.json,2,0.01,4.32148,0.602824,0.600573,,,,,,0,2.92689,2.92689,0.145731,,,,,,5.55994e-18,6.63415e-16,1.67169e-15,1.00827e-15,7.59958e-20,3.17506e-20,1.60265e-20,0.631428,,,,,,,,,,,,,,0.01,0,0,,,,,,,,,,,,
N2_omega0p001.json,2,0.001,13.6622,0.601365,0.600611,,,,,,-0.00497426,4.09688,4.09688,0.14513,,,,,,3.99178e-16,0.524982,1,0.475018,0.750916,1.10549,0.849192,0.602322,,,,,,,,,,,,,,0.001,0,0,,,,,,,,,,,,
N6_omega1p0.json,6,1,0.211041,0.606145,0.604924,,,,,,-0.0781274,2.27299,0.779979,0.0866695,,,,,,5.85808e-34,0.560276,1,0.439724,1.07998,1.20265,1.19111,1.07653,,,,,,,,,,,,,,1,0.00273537,0.773966,,,,,,,,,,,,
N6_omega0p5.json,6,0.5,0.306555,0.601365,0.599122,,,,,,-0.00989841,2.43704,0.865365,0.0872062,,,,,,3.36138e-34,0.383403,1,0.616597,1.17789,1.16217,1.14049,1.03774,,,,,,,,,,,,,,0.5,0.00120865,0.852727,,,,,,,,,,,,
N6_omega0p1.json,6,0.1,0.686804,0.601737,0.600229,,,,,,-0.108219,2.96381,1.18259,0.08669,,,,,,3.60353e-34,0.324408,1,0.675592,1.52307,1.56428,1.50089,1.08948,,,,,,,,,,,,,,0.1,0.000254453,1.13525,,,,,,,,,,,,
N6_omega0p01.json,6,0.01,2.12713,0.600658,0.604084,,,,,,0.0252205,4.10745,1.91781,0.0883344,,,,,,1.34565e-16,0.300217,1,0.699784,1.362,1.37156,1.3247,1.18663,,,,,,,,,,,,,,0.01,0,1.86184,,,,,,,,,,,,
N6_omega0p001.json,6,0.001,5.77582,0.625763,0.638989,,,,,,-0.0408007,5.86622,3.23543,0.089554,,,,,,5.90989e-34,0.587303,1,0.412697,1.02712,1.12216,1.13938,1.45125,,,,,,,,,,,,,,0.001,0,3.35227,,,,,,,,,,,,
